Formatted_District,Rep,Status,Dem Votes,Rep Votes,Other Votes,Dem %,Rep %,Other %,2022 Margin,Swing from 2020 presidential,Percent of 2020 turnout
AK-AL,Mary Peltola (D),Democratic hold,"137,263","112,471",0,55.0%,45.0%,0.0%,D+9.9,D+20,70%
AL-01,Jerry Carl (R),Republican hold,,"140,592","27,558",0.0%,83.6%,16.4%,R+83.6,R+55.4,51%
AL-02,Barry Moore (R),Republican hold,"58,014","137,460","3,487",29.2%,69.1%,1.8%,R+39.9,R+10.6,62%
AL-03,Mike Rogers (R),Republican hold,"47,859","135,602","6,945",25.1%,71.2%,3.6%,R+46.1,R+12.1,60%
AL-04,Robert Aderholt (R),Republican hold,"26,694","164,655","4,384",13.6%,84.1%,2.2%,R+70.5,R+8.8,60%
AL-05,Dale Strong (R),Republican hold,"62,740","142,435","7,142",29.6%,67.1%,3.4%,R+37.5,R+10.5,61%
AL-06,Gary Palmer (R),Republican hold,,"154,233","29,970",0.0%,83.7%,16.3%,R+83.7,R+53.9,52%
AL-07,Terri Sewell (D),Democratic hold,"123,233","67,416","3,291",63.5%,34.8%,1.7%,D+28.8,R+3.3,59%
AR-01,Rick Crawford (R),Republican hold,"54,598","153,774",,26.2%,73.8%,0.0%,R+47.6,R+6.7,73%
AR-02,French Hill (R),Republican hold,"86,887","147,975","11,584",35.3%,60.0%,4.7%,R+24.8,R+11.7,74%
AR-03,Steve Womack (R),Republican hold,"73,541","142,401","7,646",32.9%,63.7%,3.4%,R+30.8,R+7.4,75%
AR-04,Bruce Westerman (R),Republican hold,"56,745","153,850","6,101",26.2%,71.0%,2.8%,R+44.8,R+9.6,73%
AZ-01,David Schweikert (R),Republican hold,"179,141","182,336",,49.6%,50.4%,0.0%,R+0.9,R+2.4,78%
AZ-02,Eli Crane (R),Republican gain,"149,151","174,169",76,46.1%,53.9%,0.0%,R+7.7,D+0.1,80%
AZ-03,Ruben Gallego (D),Democratic hold,"108,599","32,475",,77.0%,23.0%,0.0%,D+54,D+3.3,62%
AZ-04,Greg Stanton (D),Democratic hold,"148,941","116,521",36,56.1%,43.9%,0.0%,D+12.2,D+1.9,72%
AZ-05,Andy Biggs (R),Republican hold,"120,275","182,464","18,851",37.4%,56.7%,5.9%,R+19.3,R+3,77%
AZ-06,Juan Ciscomani (R),Republican gain,"172,040","177,201",42,49.3%,50.7%,0.0%,R+1.5,R+1.5,80%
AZ-07,Raúl Grijalva (D),Democratic hold,"126,418","69,444",,64.5%,35.5%,0.0%,D+29.1,R+3.7,66%
AZ-08,Debbie Lesko (R),Republican hold,"7,158","197,555",,3.5%,96.5%,0.0%,R+93,R+79.5,51%
AZ-09,Paul Gosar (R),Republican hold,"4,389","192,796",,2.2%,97.8%,0.0%,R+95.5,R+69.8,54%
CA-01,Doug LaMalfa (R),Republican hold,"93,386","152,839",,37.9%,62.1%,0.0%,R+24.1,R+5.2,71%
CA-02,Jared Huffman (D),Democratic hold,"229,720","79,029",,74.4%,25.6%,0.0%,D+48.8,R+0.7,73%
CA-03,Kevin Kiley (R),Republican hold,"156,761","181,438",,46.4%,53.6%,0.0%,R+7.3,R+5.5,76%
CA-04,Mike Thompson (D),Democratic hold,"176,900","84,007",,67.8%,32.2%,0.0%,D+35.6,R+1,70%
CA-05,Tom McClintock (R),Republican hold,"109,506","173,524",,38.7%,61.3%,0.0%,R+22.6,R+10.3,71%
CA-06,Ami Bera (D),Democratic hold,"121,058","95,325",,55.9%,44.1%,0.0%,D+11.9,R+6.5,65%
CA-07,Doris Matsui (D),Democratic hold,"150,618","70,033",,68.3%,31.7%,0.0%,D+36.5,R+0.6,65%
CA-08,John Garamendi (D),Democratic hold,"145,501","46,634",,75.7%,24.3%,0.0%,D+51.5,R+2.5,60%
CA-09,Josh Harder (D),Democratic hold,"95,598","78,802",,54.8%,45.2%,0.0%,D+9.6,R+3,61%
CA-10,Mark DeSaulnier (D),Democratic hold,"198,415",,"52,965",78.9%,0.0%,21.1%,D+78.9,D+39.6,61%
CA-11,Nancy Pelosi (D),Democratic hold,"220,848","42,217",,84.0%,16.0%,0.0%,D+67.9,R+6.7,67%
CA-12,Barbara Lee (D),Democratic hold,"217,110","22,859",,90.5%,9.5%,0.0%,D+80.9,D+0.2,65%
CA-13,John Duarte,Republican gain,"66,496","67,060",,49.8%,50.2%,0.0%,R+0.4,R+11.3,58%
CA-14,Eric Swalwell (D),Democratic hold,"137,612","60,852",,69.3%,30.7%,0.0%,D+38.7,R+6.8,59%
CA-15,Kevin Mullin (D),Democratic hold,"194,874",,,100.0%,0.0%,0.0%,D+100,D+42.7,56%
CA-16,Anna Eshoo (D),Democratic hold,"241,007",,,100.0%,0.0%,0.0%,D+100,D+47,63%
CA-17,Ro Khanna (D),Democratic hold,"127,853","52,400",,70.9%,29.1%,0.0%,D+41.9,R+5.6,60%
CA-18,Zoe Lofgren (D),Democratic hold,"99,776","51,737",,65.9%,34.1%,0.0%,D+31.7,R+12.3,57%
CA-19,Jimmy Panetta (D),Democratic hold,"194,494","88,816",,68.7%,31.3%,0.0%,D+37.3,R+2.3,69%
CA-20,Kevin McCarthy (R),Republican hold,"74,932","153,844",,32.8%,67.2%,0.0%,R+34.5,R+9.6,66%
CA-21,Jim Costa (D),Democratic hold,"68,074","57,573",,54.2%,45.8%,0.0%,D+8.4,R+11.9,55%
CA-22,David Valadao (R),Republican hold,"49,859","52,993",,48.5%,51.5%,0.0%,R+3,R+15.9,55%
CA-23,Jay Obernolte (R),Republican hold,"65,908","103,197",,39.0%,61.0%,0.0%,R+22.1,R+12.2,57%
CA-24,Salud Carbajal (D),Democratic hold,"159,019","103,533",,60.6%,39.4%,0.0%,D+21.1,R+7.9,69%
CA-25,Raul Ruiz (D),Democratic hold,"87,641","65,101",,57.4%,42.6%,0.0%,D+14.8,R+0.6,58%
CA-26,Julia Brownley (D),Democratic hold,"134,575","112,214",,54.5%,45.5%,0.0%,D+9.1,R+10.9,65%
CA-27,Mike Garcia (R),Republican hold,"91,892","104,624",,46.8%,53.2%,0.0%,R+6.5,R+18.8,58%
CA-28,Judy Chu (D),Democratic hold,"150,062","76,495",,66.2%,33.8%,0.0%,D+32.5,R+1.4,61%
CA-29,Tony Cardenas (D),Democratic hold,"119,435",,,100.0%,0.0%,0.0%,D+100,D+48.7,44%
CA-30,Adam Schiff (D),Democratic hold,"211,068",,,100.0%,0.0%,0.0%,D+100,D+53.8,56%
CA-31,Grace Napolitano (D),Democratic hold,"91,472","62,153",,59.5%,40.5%,0.0%,D+19.1,R+11.9,50%
CA-32,Brad Sherman (D),Democratic hold,"167,411","74,618",,69.2%,30.8%,0.0%,D+38.3,R+2.4,62%
CA-33,Pete Aguilar (D),Democratic hold,"76,588","56,119",,57.7%,42.3%,0.0%,D+15.4,R+9.9,49%
CA-34,Jimmy Gomez (D),Democratic hold,"121,467",,,100.0%,0.0%,0.0%,D+100,D+35.8,48%
CA-35,Norma Torres (D),Democratic hold,"75,121","55,832",,57.4%,42.6%,0.0%,D+14.7,R+13.2,48%
CA-36,Ted Lieu (D),Democratic hold,"194,299","84,264",,69.8%,30.2%,0.0%,D+39.5,R+4.6,66%
CA-37,Sydney Kamlager (D),Democratic hold,"131,880",,,100.0%,0.0%,0.0%,D+100,D+26.7,47%
CA-38,Linda Sanchez (D),Democratic hold,"101,260","73,051",,58.1%,41.9%,0.0%,D+16.2,R+14,51%
CA-39,Mark Takano (D),Democratic hold,"75,896","55,701",,57.7%,42.3%,0.0%,D+15.3,R+10.8,49%
CA-40,Young Kim (R),Republican hold,"122,722","161,589",,43.2%,56.8%,0.0%,R+13.7,R+15.5,67%
CA-41,Ken Calvert (R),Republican hold,"112,769","123,869",,47.7%,52.3%,0.0%,R+4.7,R+3.6,64%
CA-42,Robert Garcia (D),Democratic hold,"99,217","45,903",,68.4%,31.6%,0.0%,D+36.7,R+9.1,50%
CA-43,Maxine Waters (D),Democratic hold,"95,462","27,985",,77.3%,22.7%,0.0%,D+54.7,R+9.1,46%
CA-44,Nanette Barragan (D),Democratic hold,"100,160","38,554",,72.2%,27.8%,0.0%,D+44.4,R+3.8,47%
CA-45,Michelle Steel (R),Republican hold,"103,466","113,960",,47.6%,52.4%,0.0%,R+4.8,R+11,61%
CA-46,Lou Correa (D),Democratic hold,"78,041","48,257",,61.8%,38.2%,0.0%,D+23.6,R+6.8,50%
CA-47,Katie Porter (D),Democratic hold,"137,374","128,261",,51.7%,48.3%,0.0%,D+3.4,R+7.6,68%
CA-48,Darrell Issa (R),Republican hold,"101,900","155,171",,39.6%,60.4%,0.0%,R+20.7,R+8.4,66%
CA-49,Mike Levin (D),Democratic hold,"153,541","138,194",,52.6%,47.4%,0.0%,D+5.3,R+6.1,72%
CA-50,Scott Peters (D),Democratic hold,"168,816","99,819",,62.8%,37.2%,0.0%,D+25.7,R+7.4,67%
CA-51,Sara Jacobs (D),Democratic hold,"144,186","88,886",,61.9%,38.1%,0.0%,D+23.7,R+3.6,63%
CA-52,Juan Vargas (D),Democratic hold,"100,686","50,330",,66.7%,33.3%,0.0%,D+33.3,R+3.5,50%
CO-01,Diana DeGette (D),Democratic hold,"226,929","49,529","6,157",80.3%,17.5%,2.2%,D+62.8,D+1.5,71%
CO-02,Joe Neguse (D),Democratic hold,"244,107","97,700","7,032",70.0%,28.0%,2.0%,D+42,D+2.1,78%
CO-03,Lauren Boebert (R),Republican hold,"163,293","163,839",,49.9%,50.1%,0.0%,R+0.2,D+8.1,79%
CO-04,Ken Buck (R),Republican hold,"129,619","216,024","8,870",36.6%,60.9%,2.5%,R+24.4,R+5.8,80%
CO-05,Doug Lamborn (R),Republican hold,"111,978","155,528","10,449",40.3%,56.0%,3.8%,R+15.7,R+5.6,74%
CO-06,Jason Crow (D),Democratic hold,"170,140","105,084","5,531",60.6%,37.4%,2.0%,D+23.2,R+0.6,73%
CO-07,Brittany Petterson (D),Democratic hold,"204,984","150,510","8,015",56.4%,41.4%,2.2%,D+15,D+0.8,79%
CO-08,Yadera Caraveo (D),Democratic gain,"114,377","112,745","9,280",48.4%,47.7%,3.9%,D+0.7,R+3.9,69%
CT-01,John B. Larson (D),Democratic hold,"149,556","91,506","2,851",61.3%,37.5%,1.2%,D+23.8,R+4.3,68%
CT-02,Joe Courtney (D),Democratic hold,"165,946","114,506","4,579",58.2%,40.2%,1.6%,D+18,D+6.6,73%
