,TP Sex ratio (males per 100 females),TP18 Sex ratio (males per 100 females),TP65 Sex ratio (males per 100 females),One Race White,One Race Black or African American,One Race American Indian and Alaska Native,One Race Asian,One Race Asian Indian,One Race Chinese,One Race Filipino,One Race Japanese,One Race Korean,One Race Vietnamese,One Race Other Asian,One Race Native Hawaiian and Other Pacific Islander,One Race Some other race,Two Plus White and Black or African American,Two Plus White and American Indian and Alaska Native,Two Plus White and Asian,Two Plus Black or African American and American Indian and Alaska Native,        Hispanic or Latino (of any race),Latino - Mexican,Latino - Puerto Rican,Latino - Cuban,            Other Hispanic or Latino,"Citizen, 18 and over population",CVAP Male,CVAP Female
"Congressional District 1 (116th Congress), Alabama!!2019 Estimate",93.1,88.8,79.2,469886.73553800000,192449.87374800000,7023.71802,9833.205228000000,1404.743604,1404.743604,2107.115406,0.0,0.0,2809.487208,1404.743604,0.0,7726.089822000000,105.46338600000000,90.397188,75.33099,0.0,23675.454,10761.57,2869.752,1434.876,8609.256,546223.0,256178.58700000000,290044.413
"Congressional District 2 (116th Congress), Alabama!!2019 Estimate",93.2,89.5,75.5,415796.61456,213195.07944,1986.2895600000000,8607.254760000000,1324.19304,662.09652,1324.19304,662.09652,2648.38608,0.0,1324.19304,0.0,9269.351280000000,102.58784,38.470440000000000,38.470440000000000,0.0,26321.88,14848.240000000000,4724.44,674.92,6749.2,513747.0,242488.584,271258.416
"Congressional District 3 (116th Congress), Alabama!!2019 Estimate",94.9,91.0,79.2,486221.6281520000,185596.93498400000,2117.075304,12702.451824000000,705.691768,3528.4588400000000,705.691768,0.0,6351.225912000000,0.0,705.691768,705.691768,7056.9176800000000,97.63385600000000,36.612696,36.612696,0.0,20818.984,10768.44,2871.584,0.0,7178.96,550776.0,262169.37600000000,288606.624
"Congressional District 4 (116th Congress), Alabama!!2019 Estimate",96.3,95.4,78.8,585968.438328,49955.83460400000,3375.3942300000000,3375.3942300000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,675.078846,20252.36538,74.24492400000000,98.99323200000000,24.748308000000000,0.0,47434.257000000000,24060.855000000000,3437.265,687.453,19936.137,516456.0,251514.07200000000,264941.928
"Congressional District 5 (116th Congress), Alabama!!2019 Estimate",95.2,93.2,78.0,537544.2690000000,131160.80163600000,3583.6284600000000,12184.336764000000,2866.9027680000000,3583.6284600000000,716.7256920000000,0.0,1433.4513840000000,1433.4513840000000,716.7256920000000,0.0,12901.062456000000,153.05846400000000,172.19077200000000,76.52923200000000,0.0,40472.19,27962.604,4415.148,735.8580000000000,7358.58,563216.0,270343.68,292872.32
"Congressional District 6 (116th Congress), Alabama!!2019 Estimate",92.6,90.7,78.6,540541.40799,110033.8744,2750.84686,11003.38744,4126.2702900000000,2063.1351450000000,687.711715,687.711715,1375.42343,687.711715,1375.42343,0.0,12378.810870000000,71.35971,35.679855,47.57314000000000,11.893285000000000,35679.855000000000,20988.150000000000,3498.025,2798.42,8395.26,527401.0,251042.87600000000,276358.124
"Congressional District 7 (116th Congress), Alabama!!2019 Estimate",89.2,84.4,72.9,226395.38844,414396.23732000000,1323.9496400000000,7943.69784,1323.9496400000000,3309.8741,1323.9496400000000,0.0,0.0,1323.9496400000000,661.9748200000000,0.0,3971.84892,40.200900000000000,16.080360000000000,8.040180000000000,8.040180000000000,24790.555000000000,14740.330000000000,670.015,670.015,8710.195000000000,513517.0,234163.752,279353.248
"Congressional District (at Large) (116th Congress), Alaska!!2019 Estimate",108.4,108.6,97.8,432549.39069,20886.341295,106452.96531,40425.176700000000,673.752945,1347.50589,23581.353075,2021.2588350000000,5390.02356,673.752945,6063.776505,9432.541230000000,11453.800065,577.92055,1964.9298700000000,924.6728800000000,115.58411000000000,52671.240000000000,28530.255,6583.905000000000,1463.09,16093.990000000000,533151.0,278304.822,254846.17800000000
"Congressional District 1 (116th Congress), Arizona!!2019 Estimate",104.1,100.6,90.0,483522.777648,21088.220832000000,173224.67112000000,12050.411904000000,2259.452232,2259.452232,3765.7537200000000,753.1507440000000,753.1507440000000,753.1507440000000,1506.3014880000000,1506.3014880000000,33891.78348,173.62353600000000,347.24707200000000,231.49804800000000,28.937256000000000,179880.24000000000,156417.6,3910.44,782.088,18770.112,579140.0,291886.56,287253.44
"Congressional District 2 (116th Congress), Arizona!!2019 Estimate",97.9,96.4,85.7,570966.8989920000,30014.152392000000,9772.049616000000,19544.099232000000,2792.014176,4188.021264,3490.01772,1396.007088,3490.01772,2792.014176,2094.010632,1396.007088,32108.163024000000,281.547648,422.32147200000000,492.7083840000000,35.193456,215559.91800000000,187698.432,6598.773000000000,1466.394,20529.516,555917.0,274067.081,281849.919
