TBLID,GEOID,GEONAME,PROFLN,TITLE,PRF_ESTIMATE,PRF_MG_ERROR,PCT_ESTIMATE,PCT_MG_ERROR
DP02,5001800US0501,"Congressional District 1 (118th Congress), Arkansas",0,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,,,,
DP02,5001800US0501,"Congressional District 1 (118th Congress), Arkansas",0.5,,,,,
DP02,5001800US0501,"Congressional District 1 (118th Congress), Arkansas",0.8,HOUSEHOLDS BY TYPE,,,,
DP02,5001800US0501,"Congressional District 1 (118th Congress), Arkansas",1,Total households,"288,862","+/-3,653","288,862",(X)
DP02,5001800US0501,"Congressional District 1 (118th Congress), Arkansas",2,Married-couple household,"131,088","+/-5,012",45.4,+/-1.6
DP02,5001800US0501,"Congressional District 1 (118th Congress), Arkansas",3,With children of the householder under 18 years,"47,437","+/-2,927",16.4,+/-1.0
DP02,5001800US0501,"Congressional District 1 (118th Congress), Arkansas",4,Cohabiting couple household,"19,154","+/-2,558",6.6,+/-0.9
DP02,5001800US0501,"Congressional District 1 (118th Congress), Arkansas",5,With children of the householder under 18 years,"6,915","+/-1,550",2.4,+/-0.5
DP02,5001800US0501,"Congressional District 1 (118th Congress), Arkansas",6,"Male householder, no spouse/partner present","53,264","+/-2,862",18.4,+/-1.0
DP02,5001800US0501,"Congressional District 1 (118th Congress), Arkansas",7,With children of the householder under 18 years,"4,662","+/-1,314",1.6,+/-0.5
DP02,5001800US0501,"Congressional District 1 (118th Congress), Arkansas",8,Householder living alone,"38,202","+/-2,858",13.2,+/-1.0
DP02,5001800US0501,"Congressional District 1 (118th Congress), Arkansas",9,65 years and over,"13,838","+/-1,645",4.8,+/-0.6
DP02,5001800US0501,"Congressional District 1 (118th Congress), Arkansas",10,"Female householder, no spouse/partner present","85,356","+/-3,626",29.5,+/-1.2
DP02,5001800US0501,"Congressional District 1 (118th Congress), Arkansas",11,With children of the householder under 18 years,"17,783","+/-2,177",6.2,+/-0.8
DP02,5001800US0501,"Congressional District 1 (118th Congress), Arkansas",12,Householder living alone,"47,888","+/-2,877",16.6,+/-1.0
DP02,5001800US0501,"Congressional District 1 (118th Congress), Arkansas",13,65 years and over,"25,815","+/-1,870",8.9,+/-0.6
DP02,5001800US0501,"Congressional District 1 (118th Congress), Arkansas",13.3,,,,,
DP02,5001800US0501,"Congressional District 1 (118th Congress), Arkansas",14,Households with one or more people under 18 years,"90,109","+/-3,783",31.2,+/-1.3
DP02,5001800US0501,"Congressional District 1 (118th Congress), Arkansas",15,Households with one or more people 65 years and over,"100,737","+/-2,806",34.9,+/-0.9
DP02,5001800US0501,"Congressional District 1 (118th Congress), Arkansas",15.3,,,,,
DP02,5001800US0501,"Congressional District 1 (118th Congress), Arkansas",16,Average household size,2.54,+/-0.03,(X),(X)
DP02,5001800US0501,"Congressional District 1 (118th Congress), Arkansas",17,Average family size,3.15,+/-0.07,(X),(X)
DP02,5001800US0501,"Congressional District 1 (118th Congress), Arkansas",17.3,,,,,
DP02,5001800US0501,"Congressional District 1 (118th Congress), Arkansas",17.5,RELATIONSHIP,,,,
DP02,5001800US0501,"Congressional District 1 (118th Congress), Arkansas",18,Population in households,"732,373","+/-6,202","732,373",(X)
DP02,5001800US0501,"Congressional District 1 (118th Congress), Arkansas",19,Householder,"288,862","+/-3,653",39.4,+/-0.5
DP02,5001800US0501,"Congressional District 1 (118th Congress), Arkansas",20,Spouse,"132,023","+/-5,025",18.0,+/-0.7
DP02,5001800US0501,"Congressional District 1 (118th Congress), Arkansas",21,Unmarried partner,"18,377","+/-2,505",2.5,+/-0.3
DP02,5001800US0501,"Congressional District 1 (118th Congress), Arkansas",22,Child,"212,437","+/-6,877",29.0,+/-0.9
DP02,5001800US0501,"Congressional District 1 (118th Congress), Arkansas",23,Other relatives,"60,723","+/-5,432",8.3,+/-0.7
DP02,5001800US0501,"Congressional District 1 (118th Congress), Arkansas",24,Other nonrelatives,"19,951","+/-3,188",2.7,+/-0.4
DP02,5001800US0501,"Congressional District 1 (118th Congress), Arkansas",24.3,,,,,
DP02,5001800US0501,"Congressional District 1 (118th Congress), Arkansas",24.5,MARITAL STATUS,,,,
DP02,5001800US0501,"Congressional District 1 (118th Congress), Arkansas",25,Males 15 years and over,"298,054","+/-3,305","298,054",(X)
DP02,5001800US0501,"Congressional District 1 (118th Congress), Arkansas",26,Never married,"92,500","+/-4,264",31.0,+/-1.3
DP02,5001800US0501,"Congressional District 1 (118th Congress), Arkansas",27,"Now married, except separated","139,249","+/-5,388",46.7,+/-1.8
DP02,5001800US0501,"Congressional District 1 (118th Congress), Arkansas",28,Separated,"8,710","+/-1,847",2.9,+/-0.6
DP02,5001800US0501,"Congressional District 1 (118th Congress), Arkansas",29,Widowed,"11,038","+/-1,631",3.7,+/-0.5
DP02,5001800US0501,"Congressional District 1 (118th Congress), Arkansas",30,Divorced,"46,557","+/-3,846",15.6,+/-1.3
DP02,5001800US0501,"Congressional District 1 (118th Congress), Arkansas",30.3,,,,,
DP02,5001800US0501,"Congressional District 1 (118th Congress), Arkansas",31,Females 15 years and over,"309,515","+/-2,818","309,515",(X)
DP02,5001800US0501,"Congressional District 1 (118th Congress), Arkansas",32,Never married,"75,903","+/-3,918",24.5,+/-1.2
DP02,5001800US0501,"Congressional District 1 (118th Congress), Arkansas",33,"Now married, except separated","140,351","+/-5,171",45.3,+/-1.7
DP02,5001800US0501,"Congressional District 1 (118th Congress), Arkansas",34,Separated,"8,793","+/-1,592",2.8,+/-0.5
DP02,5001800US0501,"Congressional District 1 (118th Congress), Arkansas",35,Widowed,"35,259","+/-2,731",11.4,+/-0.9
DP02,5001800US0501,"Congressional District 1 (118th Congress), Arkansas",36,Divorced,"49,209","+/-3,962",15.9,+/-1.2
DP02,5001800US0501,"Congressional District 1 (118th Congress), Arkansas",36.3,,,,,
DP02,5001800US0501,"Congressional District 1 (118th Congress), Arkansas",36.5,FERTILITY,,,,
DP02,5001800US0501,"Congressional District 1 (118th Congress), Arkansas",37,Number of women 15 to 50 years old who had a birth in the past 12 months,"8,040","+/-1,455","8,040",(X)
DP02,5001800US0501,"Congressional District 1 (118th Congress), Arkansas",38,"Unmarried women (widowed, divorced, and never married)","3,384","+/-1,173",42.1,+/-10.7
