TBLID,GEOID,GEONAME,PROFLN,TITLE,PRF_ESTIMATE,PRF_MG_ERROR,PCT_ESTIMATE,PCT_MG_ERROR
DP02,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",0,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,,,,
DP02,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",0.5,,,,,
DP02,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",0.8,HOUSEHOLDS BY TYPE,,,,
DP02,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",1,Total households,"395,656","+/-4,126","395,656",(X)
DP02,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",2,Married-couple household,"186,477","+/-5,444",47.1,+/-1.3
DP02,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",3,With children of the householder under 18 years,"59,382","+/-3,549",15.0,+/-0.9
DP02,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",4,Cohabiting couple household,"25,317","+/-2,970",6.4,+/-0.7
DP02,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",5,With children of the householder under 18 years,"7,425","+/-1,706",1.9,+/-0.4
DP02,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",6,"Male householder, no spouse/partner present","67,441","+/-4,012",17.0,+/-1.0
DP02,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",7,With children of the householder under 18 years,"5,125","+/-1,433",1.3,+/-0.4
DP02,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",8,Householder living alone,"47,451","+/-3,572",12.0,+/-0.9
DP02,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",9,65 years and over,"15,499","+/-1,691",3.9,+/-0.4
DP02,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",10,"Female householder, no spouse/partner present","116,421","+/-4,501",29.4,+/-1.1
DP02,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",11,With children of the householder under 18 years,"19,781","+/-2,566",5.0,+/-0.6
DP02,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",12,Householder living alone,"67,227","+/-3,947",17.0,+/-1.0
DP02,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",13,65 years and over,"34,493","+/-2,319",8.7,+/-0.6
DP02,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",13.3,,,,,
DP02,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",14,Households with one or more people under 18 years,"105,186","+/-4,899",26.6,+/-1.2
DP02,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",15,Households with one or more people 65 years and over,"141,111","+/-2,591",35.7,+/-0.6
DP02,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",15.3,,,,,
DP02,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",16,Average household size,2.47,+/-0.03,(X),(X)
DP02,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",17,Average family size,3.06,+/-0.06,(X),(X)
DP02,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",17.3,,,,,
DP02,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",17.5,RELATIONSHIP,,,,
DP02,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",18,Population in households,"978,979",*****,"978,979",(X)
DP02,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",19,Householder,"395,656","+/-4,126",40.4,+/-0.4
DP02,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",20,Spouse,"186,087","+/-5,601",19.0,+/-0.6
DP02,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",21,Unmarried partner,"25,702","+/-3,206",2.6,+/-0.3
DP02,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",22,Child,"274,246","+/-7,433",28.0,+/-0.8
DP02,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",23,Other relatives,"68,135","+/-6,574",7.0,+/-0.7
DP02,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",24,Other nonrelatives,"29,153","+/-4,359",3.0,+/-0.4
DP02,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",24.3,,,,,
DP02,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",24.5,MARITAL STATUS,,,,
DP02,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",25,Males 15 years and over,"398,809","+/-1,010","398,809",(X)
DP02,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",26,Never married,"146,448","+/-4,913",36.7,+/-1.2
DP02,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",27,"Now married, except separated","200,061","+/-6,175",50.2,+/-1.6
DP02,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",28,Separated,"5,839","+/-1,495",1.5,+/-0.4
DP02,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",29,Widowed,"13,363","+/-1,851",3.4,+/-0.5
DP02,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",30,Divorced,"33,098","+/-3,049",8.3,+/-0.8
DP02,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",30.3,,,,,
DP02,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",31,Females 15 years and over,"433,218",+/-985,"433,218",(X)
DP02,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",32,Never married,"137,407","+/-3,835",31.7,+/-0.9
DP02,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",33,"Now married, except separated","199,912","+/-5,160",46.1,+/-1.2
DP02,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",34,Separated,"7,380","+/-1,817",1.7,+/-0.4
DP02,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",35,Widowed,"39,404","+/-2,823",9.1,+/-0.7
DP02,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",36,Divorced,"49,115","+/-3,607",11.3,+/-0.8
DP02,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",36.3,,,,,
DP02,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",36.5,FERTILITY,,,,
DP02,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",37,Number of women 15 to 50 years old who had a birth in the past 12 months,"11,651","+/-2,093","11,651",(X)
DP02,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",38,"Unmarried women (widowed, divorced, and never married)","3,964","+/-1,276",34.0,+/-8.7
DP02,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",39,"Per 1,000 unmarried women",30,+/-10,(X),(X)
DP02,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",40,"Per 1,000 women 15 to 50 years old",52,+/-9,(X),(X)
DP02,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",41,"Per 1,000 women 15 to 19 years old",13,+/-13,(X),(X)
DP02,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",42,"Per 1,000 women 20 to 34 years old",81,+/-21,(X),(X)
DP02,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",43,"Per 1,000 women 35 to 50 years old",38,+/-11,(X),(X)
