TBLID,GEOID,GEONAME,PROFLN,TITLE,PRF_ESTIMATE,PRF_MG_ERROR,PCT_ESTIMATE,PCT_MG_ERROR
DP02,5001800US2001,"Congressional District 1 (118th Congress), Kansas",0,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,,,,
DP02,5001800US2001,"Congressional District 1 (118th Congress), Kansas",0.5,,,,,
DP02,5001800US2001,"Congressional District 1 (118th Congress), Kansas",0.8,HOUSEHOLDS BY TYPE,,,,
DP02,5001800US2001,"Congressional District 1 (118th Congress), Kansas",1,Total households,"292,858","+/-3,104","292,858",(X)
DP02,5001800US2001,"Congressional District 1 (118th Congress), Kansas",2,Married-couple household,"138,198","+/-4,374",47.2,+/-1.5
DP02,5001800US2001,"Congressional District 1 (118th Congress), Kansas",3,With children of the householder under 18 years,"55,078","+/-2,950",18.8,+/-1.0
DP02,5001800US2001,"Congressional District 1 (118th Congress), Kansas",4,Cohabiting couple household,"18,027","+/-2,476",6.2,+/-0.8
DP02,5001800US2001,"Congressional District 1 (118th Congress), Kansas",5,With children of the householder under 18 years,"7,257","+/-1,629",2.5,+/-0.6
DP02,5001800US2001,"Congressional District 1 (118th Congress), Kansas",6,"Male householder, no spouse/partner present","64,885","+/-3,170",22.2,+/-1.1
DP02,5001800US2001,"Congressional District 1 (118th Congress), Kansas",7,With children of the householder under 18 years,"3,507","+/-1,000",1.2,+/-0.3
DP02,5001800US2001,"Congressional District 1 (118th Congress), Kansas",8,Householder living alone,"50,306","+/-3,076",17.2,+/-1.0
DP02,5001800US2001,"Congressional District 1 (118th Congress), Kansas",9,65 years and over,"13,286","+/-1,271",4.5,+/-0.4
DP02,5001800US2001,"Congressional District 1 (118th Congress), Kansas",10,"Female householder, no spouse/partner present","71,748","+/-3,094",24.5,+/-1.0
DP02,5001800US2001,"Congressional District 1 (118th Congress), Kansas",11,With children of the householder under 18 years,"13,396","+/-2,198",4.6,+/-0.8
DP02,5001800US2001,"Congressional District 1 (118th Congress), Kansas",12,Householder living alone,"47,236","+/-2,876",16.1,+/-0.9
DP02,5001800US2001,"Congressional District 1 (118th Congress), Kansas",13,65 years and over,"26,175","+/-1,744",8.9,+/-0.6
DP02,5001800US2001,"Congressional District 1 (118th Congress), Kansas",13.3,,,,,
DP02,5001800US2001,"Congressional District 1 (118th Congress), Kansas",14,Households with one or more people under 18 years,"84,555","+/-3,182",28.9,+/-1.0
DP02,5001800US2001,"Congressional District 1 (118th Congress), Kansas",15,Households with one or more people 65 years and over,"86,565","+/-2,279",29.6,+/-0.7
DP02,5001800US2001,"Congressional District 1 (118th Congress), Kansas",15.3,,,,,
DP02,5001800US2001,"Congressional District 1 (118th Congress), Kansas",16,Average household size,2.39,+/-0.02,(X),(X)
DP02,5001800US2001,"Congressional District 1 (118th Congress), Kansas",17,Average family size,3.07,+/-0.05,(X),(X)
DP02,5001800US2001,"Congressional District 1 (118th Congress), Kansas",17.3,,,,,
DP02,5001800US2001,"Congressional District 1 (118th Congress), Kansas",17.5,RELATIONSHIP,,,,
DP02,5001800US2001,"Congressional District 1 (118th Congress), Kansas",18,Population in households,"700,309","+/-3,432","700,309",(X)
DP02,5001800US2001,"Congressional District 1 (118th Congress), Kansas",19,Householder,"292,858","+/-3,104",41.8,+/-0.4
DP02,5001800US2001,"Congressional District 1 (118th Congress), Kansas",20,Spouse,"139,942","+/-4,250",20.0,+/-0.6
DP02,5001800US2001,"Congressional District 1 (118th Congress), Kansas",21,Unmarried partner,"16,734","+/-2,150",2.4,+/-0.3
DP02,5001800US2001,"Congressional District 1 (118th Congress), Kansas",22,Child,"197,165","+/-5,199",28.2,+/-0.7
DP02,5001800US2001,"Congressional District 1 (118th Congress), Kansas",23,Other relatives,"27,277","+/-3,153",3.9,+/-0.5
DP02,5001800US2001,"Congressional District 1 (118th Congress), Kansas",24,Other nonrelatives,"26,333","+/-4,728",3.8,+/-0.7
DP02,5001800US2001,"Congressional District 1 (118th Congress), Kansas",24.3,,,,,
DP02,5001800US2001,"Congressional District 1 (118th Congress), Kansas",24.5,MARITAL STATUS,,,,
DP02,5001800US2001,"Congressional District 1 (118th Congress), Kansas",25,Males 15 years and over,"304,438","+/-2,866","304,438",(X)
DP02,5001800US2001,"Congressional District 1 (118th Congress), Kansas",26,Never married,"110,175","+/-4,396",36.2,+/-1.3
DP02,5001800US2001,"Congressional District 1 (118th Congress), Kansas",27,"Now married, except separated","148,524","+/-4,973",48.8,+/-1.6
DP02,5001800US2001,"Congressional District 1 (118th Congress), Kansas",28,Separated,"3,616","+/-1,125",1.2,+/-0.4
DP02,5001800US2001,"Congressional District 1 (118th Congress), Kansas",29,Widowed,"8,702","+/-1,278",2.9,+/-0.4
DP02,5001800US2001,"Congressional District 1 (118th Congress), Kansas",30,Divorced,"33,421","+/-2,776",11.0,+/-0.9
DP02,5001800US2001,"Congressional District 1 (118th Congress), Kansas",30.3,,,,,
DP02,5001800US2001,"Congressional District 1 (118th Congress), Kansas",31,Females 15 years and over,"291,822","+/-2,612","291,822",(X)
DP02,5001800US2001,"Congressional District 1 (118th Congress), Kansas",32,Never married,"82,767","+/-3,078",28.4,+/-1.0
DP02,5001800US2001,"Congressional District 1 (118th Congress), Kansas",33,"Now married, except separated","144,044","+/-4,427",49.4,+/-1.5
DP02,5001800US2001,"Congressional District 1 (118th Congress), Kansas",34,Separated,"3,473","+/-1,124",1.2,+/-0.4
DP02,5001800US2001,"Congressional District 1 (118th Congress), Kansas",35,Widowed,"27,933","+/-1,881",9.6,+/-0.6
DP02,5001800US2001,"Congressional District 1 (118th Congress), Kansas",36,Divorced,"33,605","+/-2,759",11.5,+/-0.9
DP02,5001800US2001,"Congressional District 1 (118th Congress), Kansas",36.3,,,,,
DP02,5001800US2001,"Congressional District 1 (118th Congress), Kansas",36.5,FERTILITY,,,,
DP02,5001800US2001,"Congressional District 1 (118th Congress), Kansas",37,Number of women 15 to 50 years old who had a birth in the past 12 months,"9,251","+/-1,767","9,251",(X)
DP02,5001800US2001,"Congressional District 1 (118th Congress), Kansas",38,"Unmarried women (widowed, divorced, and never married)","2,946","+/-1,187",31.8,+/-9.6
DP02,5001800US2001,"Congressional District 1 (118th Congress), Kansas",39,"Per 1,000 unmarried women",33,+/-13,(X),(X)
DP02,5001800US2001,"Congressional District 1 (118th Congress), Kansas",40,"Per 1,000 women 15 to 50 years old",56,+/-11,(X),(X)
DP02,5001800US2001,"Congressional District 1 (118th Congress), Kansas",41,"Per 1,000 women 15 to 19 years old",19,+/-17,(X),(X)
DP02,5001800US2001,"Congressional District 1 (118th Congress), Kansas",42,"Per 1,000 women 20 to 34 years old",83,+/-20,(X),(X)
DP02,5001800US2001,"Congressional District 1 (118th Congress), Kansas",43,"Per 1,000 women 35 to 50 years old",41,+/-15,(X),(X)
DP02,5001800US2001,"Congressional District 1 (118th Congress), Kansas",43.3,,,,,
DP02,5001800US2001,"Congressional District 1 (118th Congress), Kansas",43.5,GRANDPARENTS,,,,
DP02,5001800US2001,"Congressional District 1 (118th Congress), Kansas",44,Number of grandparents living with own grandchildren under 18 years,"8,986","+/-1,578","8,986",(X)
DP02,5001800US2001,"Congressional District 1 (118th Congress), Kansas",45,Grandparents responsible for grandchildren,"4,134","+/-1,122",46.0,+/-9.3
DP02,5001800US2001,"Congressional District 1 (118th Congress), Kansas",45.9,Years responsible for grandchildren,,,,
DP02,5001800US2001,"Congressional District 1 (118th Congress), Kansas",46,Less than 1 year,517,+/-410,5.8,+/-4.2
DP02,5001800US2001,"Congressional District 1 (118th Congress), Kansas",47,1 or 2 years,695,+/-503,7.7,+/-5.5
DP02,5001800US2001,"Congressional District 1 (118th Congress), Kansas",48,3 or 4 years,610,+/-529,6.8,+/-5.8
DP02,5001800US2001,"Congressional District 1 (118th Congress), Kansas",49,5 or more years,"2,312","+/-1,038",25.7,+/-10.8
DP02,5001800US2001,"Congressional District 1 (118th Congress), Kansas",49.3,,,,,
DP02,5001800US2001,"Congressional District 1 (118th Congress), Kansas",50,Number of grandparents responsible for own grandchildren under 18 years,"4,134","+/-1,122","4,134",(X)
DP02,5001800US2001,"Congressional District 1 (118th Congress), Kansas",51,Who are female,"2,280",+/-689,55.2,+/-8.6
DP02,5001800US2001,"Congressional District 1 (118th Congress), Kansas",52,Who are married,"3,285","+/-1,028",79.5,+/-9.5
DP02,5001800US2001,"Congressional District 1 (118th Congress), Kansas",52.3,,,,,
DP02,5001800US2001,"Congressional District 1 (118th Congress), Kansas",52.5,SCHOOL ENROLLMENT,,,,
DP02,5001800US2001,"Congressional District 1 (118th Congress), Kansas",53,Population 3 years and over enrolled in school,"198,431","+/-5,456","198,431",(X)
DP02,5001800US2001,"Congressional District 1 (118th Congress), Kansas",54,"Nursery school, preschool","11,053","+/-1,567",5.6,+/-0.8
DP02,5001800US2001,"Congressional District 1 (118th Congress), Kansas",55,Kindergarten,"8,896","+/-1,531",4.5,+/-0.8
DP02,5001800US2001,"Congressional District 1 (118th Congress), Kansas",56,Elementary school (grades 1-8),"74,642","+/-3,048",37.6,+/-1.5
DP02,5001800US2001,"Congressional District 1 (118th Congress), Kansas",57,High school (grades 9-12),"36,418","+/-2,437",18.4,+/-1.2
DP02,5001800US2001,"Congressional District 1 (118th Congress), Kansas",58,College or graduate school,"67,422","+/-4,549",34.0,+/-1.7
DP02,5001800US2001,"Congressional District 1 (118th Congress), Kansas",58.3,,,,,
DP02,5001800US2001,"Congressional District 1 (118th Congress), Kansas",58.5,EDUCATIONAL ATTAINMENT,,,,
DP02,5001800US2001,"Congressional District 1 (118th Congress), Kansas",59,Population 25 years and over,"473,499","+/-3,528","473,499",(X)
DP02,5001800US2001,"Congressional District 1 (118th Congress), Kansas",60,Less than 9th grade,"20,575","+/-2,528",4.3,+/-0.5
DP02,5001800US2001,"Congressional District 1 (118th Congress), Kansas",61,"9th to 12th grade, no diploma","23,299","+/-2,551",4.9,+/-0.5
DP02,5001800US2001,"Congressional District 1 (118th Congress), Kansas",62,High school graduate (includes equivalency),"126,629","+/-4,896",26.7,+/-1.0
DP02,5001800US2001,"Congressional District 1 (118th Congress), Kansas",63,"Some college, no degree","113,468","+/-5,197",24.0,+/-1.1
DP02,5001800US2001,"Congressional District 1 (118th Congress), Kansas",64,Associate's degree,"46,130","+/-3,258",9.7,+/-0.7
DP02,5001800US2001,"Congressional District 1 (118th Congress), Kansas",65,Bachelor's degree,"88,912","+/-5,409",18.8,+/-1.2
DP02,5001800US2001,"Congressional District 1 (118th Congress), Kansas",66,Graduate or professional degree,"54,486","+/-3,802",11.5,+/-0.8
DP02,5001800US2001,"Congressional District 1 (118th Congress), Kansas",66.3,,,,,
DP02,5001800US2001,"Congressional District 1 (118th Congress), Kansas",67,High school graduate or higher,"429,625","+/-4,676",90.7,+/-0.7
DP02,5001800US2001,"Congressional District 1 (118th Congress), Kansas",68,Bachelor's degree or higher,"143,398","+/-5,449",30.3,+/-1.2
DP02,5001800US2001,"Congressional District 1 (118th Congress), Kansas",68.3,,,,,
DP02,5001800US2001,"Congressional District 1 (118th Congress), Kansas",68.5,VETERAN STATUS,,,,
DP02,5001800US2001,"Congressional District 1 (118th Congress), Kansas",69,Civilian population 18 years and over,"562,929","+/-3,053","562,929",(X)
DP02,5001800US2001,"Congressional District 1 (118th Congress), Kansas",70,Civilian veterans,"35,894","+/-2,419",6.4,+/-0.4
DP02,5001800US2001,"Congressional District 1 (118th Congress), Kansas",70.3,,,,,
DP02,5001800US2001,"Congressional District 1 (118th Congress), Kansas",70.5,DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION,,,,
DP02,5001800US2001,"Congressional District 1 (118th Congress), Kansas",71,Total Civilian Noninstitutionalized Population,"714,988","+/-3,449","714,988",(X)
DP02,5001800US2001,"Congressional District 1 (118th Congress), Kansas",72,With a disability,"98,632","+/-5,267",13.8,+/-0.7
DP02,5001800US2001,"Congressional District 1 (118th Congress), Kansas",72.3,,,,,
DP02,5001800US2001,"Congressional District 1 (118th Congress), Kansas",73,Under 18 years,"163,937","+/-2,699","163,937",(X)
DP02,5001800US2001,"Congressional District 1 (118th Congress), Kansas",74,With a disability,"7,150","+/-1,588",4.4,+/-1.0
DP02,5001800US2001,"Congressional District 1 (118th Congress), Kansas",74.3,,,,,
DP02,5001800US2001,"Congressional District 1 (118th Congress), Kansas",75,18 to 64 years,"433,149","+/-3,281","433,149",(X)
DP02,5001800US2001,"Congressional District 1 (118th Congress), Kansas",76,With a disability,"51,130","+/-3,732",11.8,+/-0.8
DP02,5001800US2001,"Congressional District 1 (118th Congress), Kansas",76.3,,,,,
DP02,5001800US2001,"Congressional District 1 (118th Congress), Kansas",77,65 years and over,"117,902","+/-2,335","117,902",(X)
DP02,5001800US2001,"Congressional District 1 (118th Congress), Kansas",78,With a disability,"40,352","+/-2,272",34.2,+/-1.9
DP02,5001800US2001,"Congressional District 1 (118th Congress), Kansas",78.3,,,,,
DP02,5001800US2001,"Congressional District 1 (118th Congress), Kansas",78.5,RESIDENCE 1 YEAR AGO,,,,
DP02,5001800US2001,"Congressional District 1 (118th Congress), Kansas",79,Population 1 year and over,"725,431","+/-2,927","725,431",(X)
DP02,5001800US2001,"Congressional District 1 (118th Congress), Kansas",80,Same house,"610,002","+/-7,741",84.1,+/-1.0
DP02,5001800US2001,"Congressional District 1 (118th Congress), Kansas",81,Different house (in the U.S. or abroad),"115,429","+/-7,628",15.9,+/-1.0
DP02,5001800US2001,"Congressional District 1 (118th Congress), Kansas",82,Different house in the U.S.,"110,785","+/-7,591",15.3,+/-1.0
DP02,5001800US2001,"Congressional District 1 (118th Congress), Kansas",83,Same county,"55,494","+/-5,472",7.6,+/-0.7
DP02,5001800US2001,"Congressional District 1 (118th Congress), Kansas",84,Different county,"55,291","+/-5,694",7.6,+/-0.8
DP02,5001800US2001,"Congressional District 1 (118th Congress), Kansas",85,Same state,"31,003","+/-4,187",4.3,+/-0.6
DP02,5001800US2001,"Congressional District 1 (118th Congress), Kansas",86,Different state,"24,288","+/-3,926",3.3,+/-0.5
DP02,5001800US2001,"Congressional District 1 (118th Congress), Kansas",87,Abroad,"4,644","+/-1,634",0.6,+/-0.2
DP02,5001800US2001,"Congressional District 1 (118th Congress), Kansas",87.3,,,,,
