TBLID,GEOID,GEONAME,PROFLN,TITLE,PRF_ESTIMATE,PRF_MG_ERROR,PCT_ESTIMATE,PCT_MG_ERROR
DP02,5001800US2301,"Congressional District 1 (118th Congress), Maine",0,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,,,,
DP02,5001800US2301,"Congressional District 1 (118th Congress), Maine",0.5,,,,,
DP02,5001800US2301,"Congressional District 1 (118th Congress), Maine",0.8,HOUSEHOLDS BY TYPE,,,,
DP02,5001800US2301,"Congressional District 1 (118th Congress), Maine",1,Total households,"294,515","+/-4,037","294,515",(X)
DP02,5001800US2301,"Congressional District 1 (118th Congress), Maine",2,Married-couple household,"144,467","+/-5,053",49.1,+/-1.6
DP02,5001800US2301,"Congressional District 1 (118th Congress), Maine",3,With children of the householder under 18 years,"46,759","+/-3,159",15.9,+/-1.0
DP02,5001800US2301,"Congressional District 1 (118th Congress), Maine",4,Cohabiting couple household,"27,829","+/-3,107",9.4,+/-1.0
DP02,5001800US2301,"Congressional District 1 (118th Congress), Maine",5,With children of the householder under 18 years,"5,879","+/-1,686",2.0,+/-0.6
DP02,5001800US2301,"Congressional District 1 (118th Congress), Maine",6,"Male householder, no spouse/partner present","49,044","+/-3,162",16.7,+/-1.1
DP02,5001800US2301,"Congressional District 1 (118th Congress), Maine",7,With children of the householder under 18 years,"3,079",+/-935,1.0,+/-0.3
DP02,5001800US2301,"Congressional District 1 (118th Congress), Maine",8,Householder living alone,"36,680","+/-3,249",12.5,+/-1.1
DP02,5001800US2301,"Congressional District 1 (118th Congress), Maine",9,65 years and over,"11,252","+/-1,449",3.8,+/-0.5
DP02,5001800US2301,"Congressional District 1 (118th Congress), Maine",10,"Female householder, no spouse/partner present","73,175","+/-3,470",24.8,+/-1.1
DP02,5001800US2301,"Congressional District 1 (118th Congress), Maine",11,With children of the householder under 18 years,"9,557","+/-1,666",3.2,+/-0.6
DP02,5001800US2301,"Congressional District 1 (118th Congress), Maine",12,Householder living alone,"49,698","+/-3,073",16.9,+/-1.0
DP02,5001800US2301,"Congressional District 1 (118th Congress), Maine",13,65 years and over,"27,697","+/-2,059",9.4,+/-0.7
DP02,5001800US2301,"Congressional District 1 (118th Congress), Maine",13.3,,,,,
DP02,5001800US2301,"Congressional District 1 (118th Congress), Maine",14,Households with one or more people under 18 years,"70,768","+/-4,024",24.0,+/-1.3
DP02,5001800US2301,"Congressional District 1 (118th Congress), Maine",15,Households with one or more people 65 years and over,"104,847","+/-2,586",35.6,+/-0.8
DP02,5001800US2301,"Congressional District 1 (118th Congress), Maine",15.3,,,,,
DP02,5001800US2301,"Congressional District 1 (118th Congress), Maine",16,Average household size,2.28,+/-0.03,(X),(X)
DP02,5001800US2301,"Congressional District 1 (118th Congress), Maine",17,Average family size,2.83,+/-0.06,(X),(X)
DP02,5001800US2301,"Congressional District 1 (118th Congress), Maine",17.3,,,,,
DP02,5001800US2301,"Congressional District 1 (118th Congress), Maine",17.5,RELATIONSHIP,,,,
DP02,5001800US2301,"Congressional District 1 (118th Congress), Maine",18,Population in households,"670,899","+/-4,709","670,899",(X)
DP02,5001800US2301,"Congressional District 1 (118th Congress), Maine",19,Householder,"294,515","+/-4,037",43.9,+/-0.5
