TBLID,GEOID,GEONAME,PROFLN,TITLE,PRF_ESTIMATE,PRF_MG_ERROR,PCT_ESTIMATE,PCT_MG_ERROR
DP02,5001800US2701,"Congressional District 1 (118th Congress), Minnesota",0,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,,,,
DP02,5001800US2701,"Congressional District 1 (118th Congress), Minnesota",0.5,,,,,
DP02,5001800US2701,"Congressional District 1 (118th Congress), Minnesota",0.8,HOUSEHOLDS BY TYPE,,,,
DP02,5001800US2701,"Congressional District 1 (118th Congress), Minnesota",1,Total households,"287,498","+/-2,577","287,498",(X)
DP02,5001800US2701,"Congressional District 1 (118th Congress), Minnesota",2,Married-couple household,"141,862","+/-3,669",49.3,+/-1.3
DP02,5001800US2701,"Congressional District 1 (118th Congress), Minnesota",3,With children of the householder under 18 years,"50,561","+/-2,625",17.6,+/-0.9
DP02,5001800US2701,"Congressional District 1 (118th Congress), Minnesota",4,Cohabiting couple household,"25,381","+/-2,174",8.8,+/-0.7
DP02,5001800US2701,"Congressional District 1 (118th Congress), Minnesota",5,With children of the householder under 18 years,"9,467","+/-1,242",3.3,+/-0.4
DP02,5001800US2701,"Congressional District 1 (118th Congress), Minnesota",6,"Male householder, no spouse/partner present","55,021","+/-3,114",19.1,+/-1.1
DP02,5001800US2701,"Congressional District 1 (118th Congress), Minnesota",7,With children of the householder under 18 years,"3,376",+/-797,1.2,+/-0.3
DP02,5001800US2701,"Congressional District 1 (118th Congress), Minnesota",8,Householder living alone,"42,051","+/-2,567",14.6,+/-0.9
DP02,5001800US2701,"Congressional District 1 (118th Congress), Minnesota",9,65 years and over,"12,591","+/-1,392",4.4,+/-0.5
DP02,5001800US2701,"Congressional District 1 (118th Congress), Minnesota",10,"Female householder, no spouse/partner present","65,234","+/-2,843",22.7,+/-1.0
DP02,5001800US2701,"Congressional District 1 (118th Congress), Minnesota",11,With children of the householder under 18 years,"9,590","+/-1,287",3.3,+/-0.5
DP02,5001800US2701,"Congressional District 1 (118th Congress), Minnesota",12,Householder living alone,"44,645","+/-2,519",15.5,+/-0.9
DP02,5001800US2701,"Congressional District 1 (118th Congress), Minnesota",13,65 years and over,"24,096","+/-1,751",8.4,+/-0.6
