TBLID,GEOID,GEONAME,PROFLN,TITLE,PRF_ESTIMATE,PRF_MG_ERROR,PCT_ESTIMATE,PCT_MG_ERROR
DP02,5001800US3800,"Congressional District (at Large) (118th Congress), North Dakota",0,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,,,,
DP02,5001800US3800,"Congressional District (at Large) (118th Congress), North Dakota",0.5,,,,,
DP02,5001800US3800,"Congressional District (at Large) (118th Congress), North Dakota",0.8,HOUSEHOLDS BY TYPE,,,,
DP02,5001800US3800,"Congressional District (at Large) (118th Congress), North Dakota",1,Total households,"322,511","+/-3,883","322,511",(X)
DP02,5001800US3800,"Congressional District (at Large) (118th Congress), North Dakota",2,Married-couple household,"148,550","+/-5,161",46.1,+/-1.6
DP02,5001800US3800,"Congressional District (at Large) (118th Congress), North Dakota",3,With children of the householder under 18 years,"56,211","+/-3,397",17.4,+/-1.0
DP02,5001800US3800,"Congressional District (at Large) (118th Congress), North Dakota",4,Cohabiting couple household,"23,393","+/-2,693",7.3,+/-0.8
DP02,5001800US3800,"Congressional District (at Large) (118th Congress), North Dakota",5,With children of the householder under 18 years,"8,215","+/-1,739",2.5,+/-0.5
DP02,5001800US3800,"Congressional District (at Large) (118th Congress), North Dakota",6,"Male householder, no spouse/partner present","77,595","+/-3,608",24.1,+/-1.0
DP02,5001800US3800,"Congressional District (at Large) (118th Congress), North Dakota",7,With children of the householder under 18 years,"5,174","+/-1,661",1.6,+/-0.5
DP02,5001800US3800,"Congressional District (at Large) (118th Congress), North Dakota",8,Householder living alone,"58,124","+/-3,430",18.0,+/-1.0
DP02,5001800US3800,"Congressional District (at Large) (118th Congress), North Dakota",9,65 years and over,"12,846","+/-1,286",4.0,+/-0.4
DP02,5001800US3800,"Congressional District (at Large) (118th Congress), North Dakota",10,"Female householder, no spouse/partner present","72,973","+/-3,843",22.6,+/-1.2
DP02,5001800US3800,"Congressional District (at Large) (118th Congress), North Dakota",11,With children of the householder under 18 years,"10,118","+/-1,639",3.1,+/-0.5
DP02,5001800US3800,"Congressional District (at Large) (118th Congress), North Dakota",12,Householder living alone,"48,971","+/-3,313",15.2,+/-1.0
DP02,5001800US3800,"Congressional District (at Large) (118th Congress), North Dakota",13,65 years and over,"23,323","+/-1,727",7.2,+/-0.5
