TBLID,GEOID,GEONAME,PROFLN,TITLE,PRF_ESTIMATE,PRF_MG_ERROR,PCT_ESTIMATE,PCT_MG_ERROR
DP02,5001800US3501,"Congressional District 1 (118th Congress), New Mexico",0,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,,,,
DP02,5001800US3501,"Congressional District 1 (118th Congress), New Mexico",0.5,,,,,
DP02,5001800US3501,"Congressional District 1 (118th Congress), New Mexico",0.8,HOUSEHOLDS BY TYPE,,,,
DP02,5001800US3501,"Congressional District 1 (118th Congress), New Mexico",1,Total households,"305,498","+/-4,879","305,498",(X)
DP02,5001800US3501,"Congressional District 1 (118th Congress), New Mexico",2,Married-couple household,"130,999","+/-5,159",42.9,+/-1.7
DP02,5001800US3501,"Congressional District 1 (118th Congress), New Mexico",3,With children of the householder under 18 years,"43,199","+/-3,310",14.1,+/-1.1
DP02,5001800US3501,"Congressional District 1 (118th Congress), New Mexico",4,Cohabiting couple household,"26,014","+/-2,838",8.5,+/-0.9
DP02,5001800US3501,"Congressional District 1 (118th Congress), New Mexico",5,With children of the householder under 18 years,"8,266","+/-1,685",2.7,+/-0.6
DP02,5001800US3501,"Congressional District 1 (118th Congress), New Mexico",6,"Male householder, no spouse/partner present","61,486","+/-4,028",20.1,+/-1.3
DP02,5001800US3501,"Congressional District 1 (118th Congress), New Mexico",7,With children of the householder under 18 years,"4,361","+/-1,358",1.4,+/-0.4
DP02,5001800US3501,"Congressional District 1 (118th Congress), New Mexico",8,Householder living alone,"47,656","+/-3,408",15.6,+/-1.1
DP02,5001800US3501,"Congressional District 1 (118th Congress), New Mexico",9,65 years and over,"13,034","+/-1,824",4.3,+/-0.6
DP02,5001800US3501,"Congressional District 1 (118th Congress), New Mexico",10,"Female householder, no spouse/partner present","86,999","+/-4,440",28.5,+/-1.3
DP02,5001800US3501,"Congressional District 1 (118th Congress), New Mexico",11,With children of the householder under 18 years,"13,330","+/-2,615",4.4,+/-0.8
DP02,5001800US3501,"Congressional District 1 (118th Congress), New Mexico",12,Householder living alone,"54,585","+/-3,532",17.9,+/-1.1
DP02,5001800US3501,"Congressional District 1 (118th Congress), New Mexico",13,65 years and over,"26,299","+/-2,473",8.6,+/-0.8
DP02,5001800US3501,"Congressional District 1 (118th Congress), New Mexico",13.3,,,,,
DP02,5001800US3501,"Congressional District 1 (118th Congress), New Mexico",14,Households with one or more people under 18 years,"77,265","+/-4,311",25.3,+/-1.3
DP02,5001800US3501,"Congressional District 1 (118th Congress), New Mexico",15,Households with one or more people 65 years and over,"102,010","+/-2,903",33.4,+/-0.9
DP02,5001800US3501,"Congressional District 1 (118th Congress), New Mexico",15.3,,,,,
DP02,5001800US3501,"Congressional District 1 (118th Congress), New Mexico",16,Average household size,2.30,+/-0.03,(X),(X)
DP02,5001800US3501,"Congressional District 1 (118th Congress), New Mexico",17,Average family size,2.95,+/-0.05,(X),(X)
DP02,5001800US3501,"Congressional District 1 (118th Congress), New Mexico",17.3,,,,,
DP02,5001800US3501,"Congressional District 1 (118th Congress), New Mexico",17.5,RELATIONSHIP,,,,
DP02,5001800US3501,"Congressional District 1 (118th Congress), New Mexico",18,Population in households,"702,340","+/-13,573","702,340",(X)
DP02,5001800US3501,"Congressional District 1 (118th Congress), New Mexico",19,Householder,"305,498","+/-4,879",43.5,+/-0.6
DP02,5001800US3501,"Congressional District 1 (118th Congress), New Mexico",20,Spouse,"130,537","+/-5,485",18.6,+/-0.8
DP02,5001800US3501,"Congressional District 1 (118th Congress), New Mexico",21,Unmarried partner,"24,989","+/-2,441",3.6,+/-0.3
DP02,5001800US3501,"Congressional District 1 (118th Congress), New Mexico",22,Child,"183,619","+/-7,903",26.1,+/-0.8
DP02,5001800US3501,"Congressional District 1 (118th Congress), New Mexico",23,Other relatives,"41,352","+/-5,534",5.9,+/-0.8
DP02,5001800US3501,"Congressional District 1 (118th Congress), New Mexico",24,Other nonrelatives,"16,345","+/-3,385",2.3,+/-0.5
DP02,5001800US3501,"Congressional District 1 (118th Congress), New Mexico",24.3,,,,,
DP02,5001800US3501,"Congressional District 1 (118th Congress), New Mexico",24.5,MARITAL STATUS,,,,
DP02,5001800US3501,"Congressional District 1 (118th Congress), New Mexico",25,Males 15 years and over,"293,965","+/-6,500","293,965",(X)
DP02,5001800US3501,"Congressional District 1 (118th Congress), New Mexico",26,Never married,"109,916","+/-5,841",37.4,+/-1.7
DP02,5001800US3501,"Congressional District 1 (118th Congress), New Mexico",27,"Now married, except separated","140,920","+/-6,375",47.9,+/-2.0
DP02,5001800US3501,"Congressional District 1 (118th Congress), New Mexico",28,Separated,"3,199",+/-982,1.1,+/-0.3
DP02,5001800US3501,"Congressional District 1 (118th Congress), New Mexico",29,Widowed,"8,524","+/-1,537",2.9,+/-0.5
DP02,5001800US3501,"Congressional District 1 (118th Congress), New Mexico",30,Divorced,"31,406","+/-2,961",10.7,+/-1.0
DP02,5001800US3501,"Congressional District 1 (118th Congress), New Mexico",30.3,,,,,
