TBLID,GEOID,GEONAME,PROFLN,TITLE,PRF_ESTIMATE,PRF_MG_ERROR,PCT_ESTIMATE,PCT_MG_ERROR
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",0,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,,,,
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",0.5,,,,,
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",0.8,HOUSEHOLDS BY TYPE,,,,
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",1,Total households,"316,712","+/-1,803","316,712",(X)
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",2,Married-couple household,"143,817","+/-3,462",45.4,+/-1.0
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",3,With children of the householder under 18 years,"56,804","+/-2,688",17.9,+/-0.9
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",4,Cohabiting couple household,"20,787","+/-1,615",6.6,+/-0.5
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",5,With children of the householder under 18 years,"7,313",+/-941,2.3,+/-0.3
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",6,"Male householder, no spouse/partner present","62,103","+/-2,466",19.6,+/-0.8
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",7,With children of the householder under 18 years,"5,625","+/-1,028",1.8,+/-0.3
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",8,Householder living alone,"43,198","+/-2,293",13.6,+/-0.7
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",9,65 years and over,"12,091","+/-1,033",3.8,+/-0.3
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",10,"Female householder, no spouse/partner present","90,005","+/-2,716",28.4,+/-0.9
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",11,With children of the householder under 18 years,"15,485","+/-1,445",4.9,+/-0.5
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",12,Householder living alone,"52,708","+/-2,603",16.6,+/-0.8
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",13,65 years and over,"22,832","+/-1,602",7.2,+/-0.5
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",13.3,,,,,
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",14,Households with one or more people under 18 years,"95,945","+/-3,150",30.3,+/-1.0
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",15,Households with one or more people 65 years and over,"89,638","+/-1,568",28.3,+/-0.5
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",15.3,,,,,
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",16,Average household size,2.50,+/-0.01,(X),(X)
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",17,Average family size,3.16,+/-0.04,(X),(X)
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",17.3,,,,,
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",17.5,RELATIONSHIP,,,,
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",18,Population in households,"790,366","+/-3,726","790,366",(X)
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",19,Householder,"316,712","+/-1,803",40.1,+/-0.2
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",20,Spouse,"144,153","+/-3,517",18.2,+/-0.4
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",21,Unmarried partner,"20,548","+/-1,643",2.6,+/-0.2
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",22,Child,"235,910","+/-4,193",29.8,+/-0.5
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",23,Other relatives,"51,234","+/-3,981",6.5,+/-0.5
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",24,Other nonrelatives,"21,809","+/-2,503",2.8,+/-0.3
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",24.3,,,,,
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",24.5,MARITAL STATUS,,,,
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",25,Males 15 years and over,"308,078","+/-1,598","308,078",(X)
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",26,Never married,"106,718","+/-3,119",34.6,+/-1.0
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",27,"Now married, except separated","154,260","+/-3,867",50.1,+/-1.2
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",28,Separated,"4,793",+/-810,1.6,+/-0.3
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",29,Widowed,"9,544","+/-1,161",3.1,+/-0.4
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",30,Divorced,"32,763","+/-2,130",10.6,+/-0.7
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",30.3,,,,,
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",31,Females 15 years and over,"324,957","+/-1,492","324,957",(X)
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",32,Never married,"92,268","+/-2,392",28.4,+/-0.7
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",33,"Now married, except separated","152,212","+/-3,630",46.8,+/-1.1
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",34,Separated,"6,742","+/-1,004",2.1,+/-0.3
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",35,Widowed,"27,109","+/-1,764",8.3,+/-0.5
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",36,Divorced,"46,626","+/-2,647",14.3,+/-0.8
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",36.3,,,,,
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",36.5,FERTILITY,,,,
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",37,Number of women 15 to 50 years old who had a birth in the past 12 months,"11,688","+/-1,319","11,688",(X)
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",38,"Unmarried women (widowed, divorced, and never married)","4,008",+/-818,34.3,+/-5.6
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",39,"Per 1,000 unmarried women",39,+/-8,(X),(X)
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",40,"Per 1,000 women 15 to 50 years old",62,+/-7,(X),(X)
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",41,"Per 1,000 women 15 to 19 years old",13,+/-8,(X),(X)
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",42,"Per 1,000 women 20 to 34 years old",107,+/-14,(X),(X)
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",43,"Per 1,000 women 35 to 50 years old",31,+/-8,(X),(X)
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",43.3,,,,,
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",43.5,GRANDPARENTS,,,,
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",44,Number of grandparents living with own grandchildren under 18 years,"15,931","+/-1,952","15,931",(X)
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",45,Grandparents responsible for grandchildren,"6,698","+/-1,162",42.0,+/-5.8
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",45.9,Years responsible for grandchildren,,,,
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",46,Less than 1 year,"1,079",+/-478,6.8,+/-2.8
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",47,1 or 2 years,"1,287",+/-493,8.1,+/-3.0
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",48,3 or 4 years,"1,397",+/-531,8.8,+/-3.1
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",49,5 or more years,"2,935",+/-786,18.4,+/-4.8
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",49.3,,,,,
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",50,Number of grandparents responsible for own grandchildren under 18 years,"6,698","+/-1,162","6,698",(X)
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",51,Who are female,"4,292",+/-776,64.1,+/-4.5
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",52,Who are married,"4,542","+/-1,009",67.8,+/-7.2
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",52.3,,,,,
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",52.5,SCHOOL ENROLLMENT,,,,
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",53,Population 3 years and over enrolled in school,"198,644","+/-3,618","198,644",(X)
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",54,"Nursery school, preschool","12,069","+/-1,309",6.1,+/-0.6
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",55,Kindergarten,"12,040","+/-1,279",6.1,+/-0.7
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",56,Elementary school (grades 1-8),"90,564","+/-2,186",45.6,+/-1.1
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",57,High school (grades 9-12),"43,078","+/-1,851",21.7,+/-0.9
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",58,College or graduate school,"40,893","+/-2,518",20.6,+/-1.0
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",58.3,,,,,
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",58.5,EDUCATIONAL ATTAINMENT,,,,
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",59,Population 25 years and over,"530,026","+/-1,895","530,026",(X)
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",60,Less than 9th grade,"21,792","+/-1,945",4.1,+/-0.4
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",61,"9th to 12th grade, no diploma","29,938","+/-2,255",5.6,+/-0.4
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",62,High school graduate (includes equivalency),"140,367","+/-3,913",26.5,+/-0.8
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",63,"Some college, no degree","115,573","+/-4,179",21.8,+/-0.8
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",64,Associate's degree,"44,063","+/-2,473",8.3,+/-0.5
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",65,Bachelor's degree,"115,733","+/-4,249",21.8,+/-0.8
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",66,Graduate or professional degree,"62,560","+/-3,061",11.8,+/-0.6
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",66.3,,,,,
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",67,High school graduate or higher,"478,296","+/-3,331",90.2,+/-0.5
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",68,Bachelor's degree or higher,"178,293","+/-4,978",33.6,+/-0.9
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",68.3,,,,,
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",68.5,VETERAN STATUS,,,,
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",69,Civilian population 18 years and over,"598,447","+/-2,361","598,447",(X)
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",70,Civilian veterans,"44,160","+/-2,430",7.4,+/-0.4
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",70.3,,,,,
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",70.5,DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION,,,,
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",71,Total Civilian Noninstitutionalized Population,"793,180","+/-3,657","793,180",(X)
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",72,With a disability,"113,104","+/-4,294",14.3,+/-0.5
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",72.3,,,,,
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",73,Under 18 years,"199,276","+/-1,961","199,276",(X)
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",74,With a disability,"9,367","+/-1,564",4.7,+/-0.8
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",74.3,,,,,
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",75,18 to 64 years,"474,228","+/-2,472","474,228",(X)
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",76,With a disability,"59,329","+/-3,113",12.5,+/-0.7
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",76.3,,,,,
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",77,65 years and over,"119,676","+/-1,247","119,676",(X)
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",78,With a disability,"44,408","+/-1,980",37.1,+/-1.6
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",78.3,,,,,
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",78.5,RESIDENCE 1 YEAR AGO,,,,
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",79,Population 1 year and over,"788,418","+/-3,651","788,418",(X)
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",80,Same house,"662,055","+/-8,162",84.0,+/-0.9
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",81,Different house (in the U.S. or abroad),"126,363","+/-7,348",16.0,+/-0.9
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",82,Different house in the U.S.,"124,647","+/-7,218",15.8,+/-0.9
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",83,Same county,"76,225","+/-5,463",9.7,+/-0.7
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",84,Different county,"48,422","+/-4,799",6.1,+/-0.6
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",85,Same state,"28,087","+/-3,391",3.6,+/-0.4
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",86,Different state,"20,335","+/-2,957",2.6,+/-0.4
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",87,Abroad,"1,716",+/-676,0.2,+/-0.1
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",87.3,,,,,
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",87.5,PLACE OF BIRTH,,,,
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",88,Total population,"798,974","+/-3,441","798,974",(X)
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",89,Native,"734,226","+/-4,508",91.9,+/-0.4
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",90,Born in United States,"724,484","+/-4,659",90.7,+/-0.4
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",91,State of residence,"465,434","+/-7,982",58.3,+/-0.9
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",92,Different state,"259,050","+/-7,665",32.4,+/-1.0
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",93,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","9,742","+/-1,961",1.2,+/-0.2
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",94,Foreign born,"64,748","+/-3,128",8.1,+/-0.4
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",94.3,,,,,
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",94.5,U.S. CITIZENSHIP STATUS,,,,
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",95,Foreign-born population,"64,748","+/-3,128","64,748",(X)
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",96,Naturalized U.S. citizen,"26,533","+/-2,075",41.0,+/-2.6
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",97,Not a U.S. citizen,"38,215","+/-2,553",59.0,+/-2.6
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",97.3,,,,,
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",97.5,YEAR OF ENTRY,,,,
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",98,Population born outside the United States,"74,490","+/-3,217","74,490",(X)
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",98.3,,,,,
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",99,Native,"9,742","+/-1,961","9,742",(X)
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",100,Entered 2010 or later,"3,097","+/-1,043",31.8,+/-9.1
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",101,Entered before 2010,"6,645","+/-1,644",68.2,+/-9.1
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",101.3,,,,,
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",102,Foreign born,"64,748","+/-3,128","64,748",(X)
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",103,Entered 2010 or later,"22,907","+/-2,387",35.4,+/-2.8
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",104,Entered before 2010,"41,841","+/-2,287",64.6,+/-2.8
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",104.3,,,,,
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",104.5,WORLD REGION OF BIRTH OF FOREIGN BORN,,,,
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",105,"Foreign-born population, excluding population born at sea","64,748","+/-3,128","64,748",(X)
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",106,Europe,"3,965","+/-1,075",6.1,+/-1.6
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",107,Asia,"19,053","+/-1,471",29.4,+/-2.2
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",108,Africa,"3,057","+/-1,045",4.7,+/-1.5
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",109,Oceania,901,+/-378,1.4,+/-0.6
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",110,Latin America,"36,539","+/-2,229",56.4,+/-2.2
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",111,Northern America,"1,233",+/-490,1.9,+/-0.7
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",111.3,,,,,
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",111.5,LANGUAGE SPOKEN AT HOME,,,,
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",112,Population 5 years and over,"746,567","+/-3,129","746,567",(X)
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",113,English only,"642,382","+/-4,927",86.0,+/-0.5
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",114,Language other than English,"104,185","+/-3,985",14.0,+/-0.5
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",115,"Speak English less than ""very well""","39,944","+/-2,891",5.4,+/-0.4
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",116,Spanish,"72,532","+/-2,847",9.7,+/-0.4
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",117,"Speak English less than ""very well""","27,304","+/-2,330",3.7,+/-0.3
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",118,Other Indo-European languages,"8,621","+/-1,509",1.2,+/-0.2
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",119,"Speak English less than ""very well""","1,964",+/-699,0.3,+/-0.1
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",120,Asian and Pacific Islander languages,"17,303","+/-1,991",2.3,+/-0.3
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",121,"Speak English less than ""very well""","9,381","+/-1,462",1.3,+/-0.2
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",122,Other languages,"5,729","+/-1,461",0.8,+/-0.2
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",123,"Speak English less than ""very well""","1,295",+/-471,0.2,+/-0.1
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",123.3,,,,,
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",123.5,ANCESTRY,,,,
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",124,Total population,"798,974","+/-3,441","798,974",(X)
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",125,American,"38,130","+/-3,696",4.8,+/-0.5
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",126,Arab,"3,423","+/-1,235",0.4,+/-0.2
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",127,Czech,"2,398",+/-700,0.3,+/-0.1
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",128,Danish,"1,023",+/-485,0.1,+/-0.1
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",129,Dutch,"6,887","+/-1,372",0.9,+/-0.2
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",130,English,"103,154","+/-6,016",12.9,+/-0.7
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",131,French (except Basque),"14,968","+/-2,040",1.9,+/-0.3
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",132,French Canadian,"1,280",+/-487,0.2,+/-0.1
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",133,German,"102,859","+/-5,707",12.9,+/-0.7
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",134,Greek,"1,011",+/-534,0.1,+/-0.1
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",135,Hungarian,789,+/-357,0.1,+/-0.1
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",136,Irish,"80,599","+/-4,990",10.1,+/-0.6
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",137,Italian,"15,311","+/-2,107",1.9,+/-0.3
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",138,Lithuanian,335,+/-210,0.0,+/-0.1
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",139,Norwegian,"5,721","+/-1,327",0.7,+/-0.2
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",140,Polish,"7,791","+/-1,577",1.0,+/-0.2
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",141,Portuguese,"1,150",+/-707,0.1,+/-0.1
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",142,Russian,"1,811",+/-729,0.2,+/-0.1
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",143,Scotch-Irish,"7,395","+/-1,367",0.9,+/-0.2
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",144,Scottish,"18,190","+/-2,263",2.3,+/-0.3
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",145,Slovak,209,+/-200,0.0,+/-0.1
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",146,Subsaharan African,"6,571","+/-1,724",0.8,+/-0.2
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",147,Swedish,"5,983","+/-1,527",0.7,+/-0.2
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",148,Swiss,"1,240",+/-458,0.2,+/-0.1
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",149,Ukrainian,"1,293",+/-646,0.2,+/-0.1
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",150,Welsh,"4,782",+/-958,0.6,+/-0.1
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",151,West Indian (excluding Hispanic origin groups),"2,557",+/-805,0.3,+/-0.1
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",151.3,,,,,
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",151.5,COMPUTERS AND INTERNET USE,,,,
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",152,Total households,"316,712","+/-1,803","316,712",(X)
DP02,5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",153,With a computer,"301,999","+/-2,359",95.4,+/-0.4
