TBLID,GEOID,GEONAME,PROFLN,TITLE,PRF_ESTIMATE,PRF_MG_ERROR,PCT_ESTIMATE,PCT_MG_ERROR
DP02,5001800US4701,"Congressional District 1 (118th Congress), Tennessee",0,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,,,,
DP02,5001800US4701,"Congressional District 1 (118th Congress), Tennessee",0.5,,,,,
DP02,5001800US4701,"Congressional District 1 (118th Congress), Tennessee",0.8,HOUSEHOLDS BY TYPE,,,,
DP02,5001800US4701,"Congressional District 1 (118th Congress), Tennessee",1,Total households,"311,190","+/-4,131","311,190",(X)
DP02,5001800US4701,"Congressional District 1 (118th Congress), Tennessee",2,Married-couple household,"151,362","+/-4,924",48.6,+/-1.4
DP02,5001800US4701,"Congressional District 1 (118th Congress), Tennessee",3,With children of the householder under 18 years,"45,400","+/-3,418",14.6,+/-1.1
DP02,5001800US4701,"Congressional District 1 (118th Congress), Tennessee",4,Cohabiting couple household,"18,414","+/-2,695",5.9,+/-0.8
DP02,5001800US4701,"Congressional District 1 (118th Congress), Tennessee",5,With children of the householder under 18 years,"5,508","+/-1,460",1.8,+/-0.5
DP02,5001800US4701,"Congressional District 1 (118th Congress), Tennessee",6,"Male householder, no spouse/partner present","58,131","+/-3,581",18.7,+/-1.1
DP02,5001800US4701,"Congressional District 1 (118th Congress), Tennessee",7,With children of the householder under 18 years,"4,205","+/-1,232",1.4,+/-0.4
DP02,5001800US4701,"Congressional District 1 (118th Congress), Tennessee",8,Householder living alone,"43,101","+/-3,152",13.9,+/-1.0
DP02,5001800US4701,"Congressional District 1 (118th Congress), Tennessee",9,65 years and over,"13,766","+/-1,760",4.4,+/-0.6
DP02,5001800US4701,"Congressional District 1 (118th Congress), Tennessee",10,"Female householder, no spouse/partner present","83,283","+/-3,689",26.8,+/-1.2
DP02,5001800US4701,"Congressional District 1 (118th Congress), Tennessee",11,With children of the householder under 18 years,"11,580","+/-1,908",3.7,+/-0.6
DP02,5001800US4701,"Congressional District 1 (118th Congress), Tennessee",12,Householder living alone,"52,281","+/-3,305",16.8,+/-1.0
DP02,5001800US4701,"Congressional District 1 (118th Congress), Tennessee",13,65 years and over,"28,773","+/-2,303",9.2,+/-0.7
DP02,5001800US4701,"Congressional District 1 (118th Congress), Tennessee",13.3,,,,,
DP02,5001800US4701,"Congressional District 1 (118th Congress), Tennessee",14,Households with one or more people under 18 years,"77,746","+/-4,563",25.0,+/-1.4
DP02,5001800US4701,"Congressional District 1 (118th Congress), Tennessee",15,Households with one or more people 65 years and over,"114,281","+/-2,065",36.7,+/-0.7
DP02,5001800US4701,"Congressional District 1 (118th Congress), Tennessee",15.3,,,,,
DP02,5001800US4701,"Congressional District 1 (118th Congress), Tennessee",16,Average household size,2.42,+/-0.03,(X),(X)
DP02,5001800US4701,"Congressional District 1 (118th Congress), Tennessee",17,Average family size,3.03,+/-0.06,(X),(X)
DP02,5001800US4701,"Congressional District 1 (118th Congress), Tennessee",17.3,,,,,
DP02,5001800US4701,"Congressional District 1 (118th Congress), Tennessee",17.5,RELATIONSHIP,,,,
DP02,5001800US4701,"Congressional District 1 (118th Congress), Tennessee",18,Population in households,"753,926","+/-4,733","753,926",(X)
DP02,5001800US4701,"Congressional District 1 (118th Congress), Tennessee",19,Householder,"311,190","+/-4,131",41.3,+/-0.5
DP02,5001800US4701,"Congressional District 1 (118th Congress), Tennessee",20,Spouse,"151,185","+/-4,850",20.1,+/-0.6
DP02,5001800US4701,"Congressional District 1 (118th Congress), Tennessee",21,Unmarried partner,"18,782","+/-2,817",2.5,+/-0.4
DP02,5001800US4701,"Congressional District 1 (118th Congress), Tennessee",22,Child,"195,791","+/-6,313",26.0,+/-0.8
DP02,5001800US4701,"Congressional District 1 (118th Congress), Tennessee",23,Other relatives,"56,898","+/-5,886",7.5,+/-0.8
DP02,5001800US4701,"Congressional District 1 (118th Congress), Tennessee",24,Other nonrelatives,"20,080","+/-4,118",2.7,+/-0.5
DP02,5001800US4701,"Congressional District 1 (118th Congress), Tennessee",24.3,,,,,
DP02,5001800US4701,"Congressional District 1 (118th Congress), Tennessee",24.5,MARITAL STATUS,,,,
DP02,5001800US4701,"Congressional District 1 (118th Congress), Tennessee",25,Males 15 years and over,"315,425","+/-2,402","315,425",(X)
DP02,5001800US4701,"Congressional District 1 (118th Congress), Tennessee",26,Never married,"92,773","+/-3,962",29.4,+/-1.2
DP02,5001800US4701,"Congressional District 1 (118th Congress), Tennessee",27,"Now married, except separated","162,811","+/-5,274",51.6,+/-1.7
DP02,5001800US4701,"Congressional District 1 (118th Congress), Tennessee",28,Separated,"6,391","+/-1,762",2.0,+/-0.6
DP02,5001800US4701,"Congressional District 1 (118th Congress), Tennessee",29,Widowed,"12,741","+/-1,773",4.0,+/-0.6
DP02,5001800US4701,"Congressional District 1 (118th Congress), Tennessee",30,Divorced,"40,709","+/-3,899",12.9,+/-1.2
DP02,5001800US4701,"Congressional District 1 (118th Congress), Tennessee",30.3,,,,,
DP02,5001800US4701,"Congressional District 1 (118th Congress), Tennessee",31,Females 15 years and over,"332,769","+/-2,103","332,769",(X)
DP02,5001800US4701,"Congressional District 1 (118th Congress), Tennessee",32,Never married,"78,137","+/-3,715",23.5,+/-1.1
DP02,5001800US4701,"Congressional District 1 (118th Congress), Tennessee",33,"Now married, except separated","162,520","+/-5,366",48.8,+/-1.6
DP02,5001800US4701,"Congressional District 1 (118th Congress), Tennessee",34,Separated,"9,346","+/-1,766",2.8,+/-0.5
DP02,5001800US4701,"Congressional District 1 (118th Congress), Tennessee",35,Widowed,"36,562","+/-2,783",11.0,+/-0.8
DP02,5001800US4701,"Congressional District 1 (118th Congress), Tennessee",36,Divorced,"46,204","+/-3,466",13.9,+/-1.0
DP02,5001800US4701,"Congressional District 1 (118th Congress), Tennessee",36.3,,,,,
DP02,5001800US4701,"Congressional District 1 (118th Congress), Tennessee",36.5,FERTILITY,,,,
DP02,5001800US4701,"Congressional District 1 (118th Congress), Tennessee",37,Number of women 15 to 50 years old who had a birth in the past 12 months,"7,735","+/-1,874","7,735",(X)
DP02,5001800US4701,"Congressional District 1 (118th Congress), Tennessee",38,"Unmarried women (widowed, divorced, and never married)","2,046",+/-906,26.5,+/-10.4
DP02,5001800US4701,"Congressional District 1 (118th Congress), Tennessee",39,"Per 1,000 unmarried women",23,+/-10,(X),(X)
DP02,5001800US4701,"Congressional District 1 (118th Congress), Tennessee",40,"Per 1,000 women 15 to 50 years old",46,+/-11,(X),(X)
DP02,5001800US4701,"Congressional District 1 (118th Congress), Tennessee",41,"Per 1,000 women 15 to 19 years old",16,+/-15,(X),(X)
DP02,5001800US4701,"Congressional District 1 (118th Congress), Tennessee",42,"Per 1,000 women 20 to 34 years old",92,+/-26,(X),(X)
DP02,5001800US4701,"Congressional District 1 (118th Congress), Tennessee",43,"Per 1,000 women 35 to 50 years old",13,+/-6,(X),(X)
DP02,5001800US4701,"Congressional District 1 (118th Congress), Tennessee",43.3,,,,,
DP02,5001800US4701,"Congressional District 1 (118th Congress), Tennessee",43.5,GRANDPARENTS,,,,
DP02,5001800US4701,"Congressional District 1 (118th Congress), Tennessee",44,Number of grandparents living with own grandchildren under 18 years,"19,278","+/-3,314","19,278",(X)
DP02,5001800US4701,"Congressional District 1 (118th Congress), Tennessee",45,Grandparents responsible for grandchildren,"7,453","+/-1,828",38.7,+/-7.4
DP02,5001800US4701,"Congressional District 1 (118th Congress), Tennessee",45.9,Years responsible for grandchildren,,,,
DP02,5001800US4701,"Congressional District 1 (118th Congress), Tennessee",46,Less than 1 year,"1,017",+/-691,5.3,+/-3.4
DP02,5001800US4701,"Congressional District 1 (118th Congress), Tennessee",47,1 or 2 years,908,+/-665,4.7,+/-3.2
DP02,5001800US4701,"Congressional District 1 (118th Congress), Tennessee",48,3 or 4 years,890,+/-492,4.6,+/-2.4
DP02,5001800US4701,"Congressional District 1 (118th Congress), Tennessee",49,5 or more years,"4,638","+/-1,333",24.1,+/-6.6
DP02,5001800US4701,"Congressional District 1 (118th Congress), Tennessee",49.3,,,,,
DP02,5001800US4701,"Congressional District 1 (118th Congress), Tennessee",50,Number of grandparents responsible for own grandchildren under 18 years,"7,453","+/-1,828","7,453",(X)
DP02,5001800US4701,"Congressional District 1 (118th Congress), Tennessee",51,Who are female,"4,979","+/-1,370",66.8,+/-5.9
DP02,5001800US4701,"Congressional District 1 (118th Congress), Tennessee",52,Who are married,"4,334","+/-1,256",58.2,+/-10.4
DP02,5001800US4701,"Congressional District 1 (118th Congress), Tennessee",52.3,,,,,
DP02,5001800US4701,"Congressional District 1 (118th Congress), Tennessee",52.5,SCHOOL ENROLLMENT,,,,
DP02,5001800US4701,"Congressional District 1 (118th Congress), Tennessee",53,Population 3 years and over enrolled in school,"157,008","+/-4,289","157,008",(X)
DP02,5001800US4701,"Congressional District 1 (118th Congress), Tennessee",54,"Nursery school, preschool","5,252","+/-1,188",3.3,+/-0.7
DP02,5001800US4701,"Congressional District 1 (118th Congress), Tennessee",55,Kindergarten,"8,576","+/-1,555",5.5,+/-1.0
DP02,5001800US4701,"Congressional District 1 (118th Congress), Tennessee",56,Elementary school (grades 1-8),"66,942","+/-2,940",42.6,+/-1.8
DP02,5001800US4701,"Congressional District 1 (118th Congress), Tennessee",57,High school (grades 9-12),"36,629","+/-1,976",23.3,+/-1.2
DP02,5001800US4701,"Congressional District 1 (118th Congress), Tennessee",58,College or graduate school,"39,609","+/-3,556",25.2,+/-1.9
DP02,5001800US4701,"Congressional District 1 (118th Congress), Tennessee",58.3,,,,,
DP02,5001800US4701,"Congressional District 1 (118th Congress), Tennessee",58.5,EDUCATIONAL ATTAINMENT,,,,
DP02,5001800US4701,"Congressional District 1 (118th Congress), Tennessee",59,Population 25 years and over,"555,840","+/-3,414","555,840",(X)
DP02,5001800US4701,"Congressional District 1 (118th Congress), Tennessee",60,Less than 9th grade,"23,304","+/-2,659",4.2,+/-0.5
DP02,5001800US4701,"Congressional District 1 (118th Congress), Tennessee",61,"9th to 12th grade, no diploma","44,062","+/-4,450",7.9,+/-0.8
DP02,5001800US4701,"Congressional District 1 (118th Congress), Tennessee",62,High school graduate (includes equivalency),"196,124","+/-7,324",35.3,+/-1.3
DP02,5001800US4701,"Congressional District 1 (118th Congress), Tennessee",63,"Some college, no degree","115,989","+/-6,177",20.9,+/-1.1
DP02,5001800US4701,"Congressional District 1 (118th Congress), Tennessee",64,Associate's degree,"51,347","+/-3,472",9.2,+/-0.6
DP02,5001800US4701,"Congressional District 1 (118th Congress), Tennessee",65,Bachelor's degree,"78,736","+/-4,193",14.2,+/-0.8
DP02,5001800US4701,"Congressional District 1 (118th Congress), Tennessee",66,Graduate or professional degree,"46,278","+/-3,691",8.3,+/-0.7
DP02,5001800US4701,"Congressional District 1 (118th Congress), Tennessee",66.3,,,,,
DP02,5001800US4701,"Congressional District 1 (118th Congress), Tennessee",67,High school graduate or higher,"488,474","+/-6,304",87.9,+/-1.0
DP02,5001800US4701,"Congressional District 1 (118th Congress), Tennessee",68,Bachelor's degree or higher,"125,014","+/-5,860",22.5,+/-1.1
DP02,5001800US4701,"Congressional District 1 (118th Congress), Tennessee",68.3,,,,,
DP02,5001800US4701,"Congressional District 1 (118th Congress), Tennessee",68.5,VETERAN STATUS,,,,
DP02,5001800US4701,"Congressional District 1 (118th Congress), Tennessee",69,Civilian population 18 years and over,"618,954","+/-3,090","618,954",(X)
DP02,5001800US4701,"Congressional District 1 (118th Congress), Tennessee",70,Civilian veterans,"54,377","+/-4,154",8.8,+/-0.7
DP02,5001800US4701,"Congressional District 1 (118th Congress), Tennessee",70.3,,,,,
DP02,5001800US4701,"Congressional District 1 (118th Congress), Tennessee",70.5,DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION,,,,
DP02,5001800US4701,"Congressional District 1 (118th Congress), Tennessee",71,Total Civilian Noninstitutionalized Population,"760,335","+/-4,390","760,335",(X)
DP02,5001800US4701,"Congressional District 1 (118th Congress), Tennessee",72,With a disability,"145,272","+/-7,210",19.1,+/-1.0
DP02,5001800US4701,"Congressional District 1 (118th Congress), Tennessee",72.3,,,,,
DP02,5001800US4701,"Congressional District 1 (118th Congress), Tennessee",73,Under 18 years,"151,748","+/-2,715","151,748",(X)
DP02,5001800US4701,"Congressional District 1 (118th Congress), Tennessee",74,With a disability,"9,233","+/-2,017",6.1,+/-1.3
DP02,5001800US4701,"Congressional District 1 (118th Congress), Tennessee",74.3,,,,,
