TBLID,GEOID,GEONAME,PROFLN,TITLE,PRF_ESTIMATE,PRF_MG_ERROR,PCT_ESTIMATE,PCT_MG_ERROR
DP02,5001800US4801,"Congressional District 1 (118th Congress), Texas",0,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,,,,
DP02,5001800US4801,"Congressional District 1 (118th Congress), Texas",0.5,,,,,
DP02,5001800US4801,"Congressional District 1 (118th Congress), Texas",0.8,HOUSEHOLDS BY TYPE,,,,
DP02,5001800US4801,"Congressional District 1 (118th Congress), Texas",1,Total households,"280,203","+/-4,079","280,203",(X)
DP02,5001800US4801,"Congressional District 1 (118th Congress), Texas",2,Married-couple household,"138,533","+/-5,785",49.4,+/-1.9
DP02,5001800US4801,"Congressional District 1 (118th Congress), Texas",3,With children of the householder under 18 years,"52,337","+/-3,670",18.7,+/-1.3
DP02,5001800US4801,"Congressional District 1 (118th Congress), Texas",4,Cohabiting couple household,"12,441","+/-2,382",4.4,+/-0.8
DP02,5001800US4801,"Congressional District 1 (118th Congress), Texas",5,With children of the householder under 18 years,"5,208","+/-1,681",1.9,+/-0.6
DP02,5001800US4801,"Congressional District 1 (118th Congress), Texas",6,"Male householder, no spouse/partner present","47,488","+/-3,479",16.9,+/-1.2
DP02,5001800US4801,"Congressional District 1 (118th Congress), Texas",7,With children of the householder under 18 years,"2,144",+/-980,0.8,+/-0.3
DP02,5001800US4801,"Congressional District 1 (118th Congress), Texas",8,Householder living alone,"35,263","+/-2,985",12.6,+/-1.1
DP02,5001800US4801,"Congressional District 1 (118th Congress), Texas",9,65 years and over,"11,083","+/-1,621",4.0,+/-0.6
DP02,5001800US4801,"Congressional District 1 (118th Congress), Texas",10,"Female householder, no spouse/partner present","81,741","+/-4,595",29.2,+/-1.6
DP02,5001800US4801,"Congressional District 1 (118th Congress), Texas",11,With children of the householder under 18 years,"17,949","+/-2,339",6.4,+/-0.8
DP02,5001800US4801,"Congressional District 1 (118th Congress), Texas",12,Householder living alone,"41,476","+/-3,341",14.8,+/-1.2
DP02,5001800US4801,"Congressional District 1 (118th Congress), Texas",13,65 years and over,"22,705","+/-2,255",8.1,+/-0.8
DP02,5001800US4801,"Congressional District 1 (118th Congress), Texas",13.3,,,,,
DP02,5001800US4801,"Congressional District 1 (118th Congress), Texas",14,Households with one or more people under 18 years,"89,107","+/-3,925",31.8,+/-1.3
DP02,5001800US4801,"Congressional District 1 (118th Congress), Texas",15,Households with one or more people 65 years and over,"95,518","+/-3,089",34.1,+/-1.1
DP02,5001800US4801,"Congressional District 1 (118th Congress), Texas",15.3,,,,,
DP02,5001800US4801,"Congressional District 1 (118th Congress), Texas",16,Average household size,2.69,+/-0.04,(X),(X)
DP02,5001800US4801,"Congressional District 1 (118th Congress), Texas",17,Average family size,3.30,+/-0.07,(X),(X)
DP02,5001800US4801,"Congressional District 1 (118th Congress), Texas",17.3,,,,,
DP02,5001800US4801,"Congressional District 1 (118th Congress), Texas",17.5,RELATIONSHIP,,,,
DP02,5001800US4801,"Congressional District 1 (118th Congress), Texas",18,Population in households,"752,828","+/-5,977","752,828",(X)
DP02,5001800US4801,"Congressional District 1 (118th Congress), Texas",19,Householder,"280,203","+/-4,079",37.2,+/-0.5
DP02,5001800US4801,"Congressional District 1 (118th Congress), Texas",20,Spouse,"139,412","+/-5,781",18.5,+/-0.8
DP02,5001800US4801,"Congressional District 1 (118th Congress), Texas",21,Unmarried partner,"11,148","+/-1,905",1.5,+/-0.3
DP02,5001800US4801,"Congressional District 1 (118th Congress), Texas",22,Child,"236,610","+/-8,392",31.4,+/-1.1
DP02,5001800US4801,"Congressional District 1 (118th Congress), Texas",23,Other relatives,"65,187","+/-6,927",8.7,+/-0.9
DP02,5001800US4801,"Congressional District 1 (118th Congress), Texas",24,Other nonrelatives,"20,268","+/-3,645",2.7,+/-0.5
DP02,5001800US4801,"Congressional District 1 (118th Congress), Texas",24.3,,,,,
DP02,5001800US4801,"Congressional District 1 (118th Congress), Texas",24.5,MARITAL STATUS,,,,
DP02,5001800US4801,"Congressional District 1 (118th Congress), Texas",25,Males 15 years and over,"304,822","+/-3,269","304,822",(X)
DP02,5001800US4801,"Congressional District 1 (118th Congress), Texas",26,Never married,"104,747","+/-4,606",34.4,+/-1.4
DP02,5001800US4801,"Congressional District 1 (118th Congress), Texas",27,"Now married, except separated","152,819","+/-5,224",50.1,+/-1.7
DP02,5001800US4801,"Congressional District 1 (118th Congress), Texas",28,Separated,"4,164","+/-1,293",1.4,+/-0.4
DP02,5001800US4801,"Congressional District 1 (118th Congress), Texas",29,Widowed,"10,073","+/-1,657",3.3,+/-0.5
DP02,5001800US4801,"Congressional District 1 (118th Congress), Texas",30,Divorced,"33,019","+/-3,011",10.8,+/-1.0
DP02,5001800US4801,"Congressional District 1 (118th Congress), Texas",30.3,,,,,
DP02,5001800US4801,"Congressional District 1 (118th Congress), Texas",31,Females 15 years and over,"318,020","+/-3,403","318,020",(X)
DP02,5001800US4801,"Congressional District 1 (118th Congress), Texas",32,Never married,"86,422","+/-4,587",27.2,+/-1.4
DP02,5001800US4801,"Congressional District 1 (118th Congress), Texas",33,"Now married, except separated","146,849","+/-6,359",46.2,+/-2.0
DP02,5001800US4801,"Congressional District 1 (118th Congress), Texas",34,Separated,"8,112","+/-1,730",2.6,+/-0.5
DP02,5001800US4801,"Congressional District 1 (118th Congress), Texas",35,Widowed,"32,538","+/-2,932",10.2,+/-0.9
DP02,5001800US4801,"Congressional District 1 (118th Congress), Texas",36,Divorced,"44,099","+/-3,422",13.9,+/-1.1
DP02,5001800US4801,"Congressional District 1 (118th Congress), Texas",36.3,,,,,
DP02,5001800US4801,"Congressional District 1 (118th Congress), Texas",36.5,FERTILITY,,,,
DP02,5001800US4801,"Congressional District 1 (118th Congress), Texas",37,Number of women 15 to 50 years old who had a birth in the past 12 months,"9,272","+/-2,068","9,272",(X)
DP02,5001800US4801,"Congressional District 1 (118th Congress), Texas",38,"Unmarried women (widowed, divorced, and never married)","4,608","+/-1,622",49.7,+/-13.0
DP02,5001800US4801,"Congressional District 1 (118th Congress), Texas",39,"Per 1,000 unmarried women",49,+/-17,(X),(X)
DP02,5001800US4801,"Congressional District 1 (118th Congress), Texas",40,"Per 1,000 women 15 to 50 years old",53,+/-12,(X),(X)
DP02,5001800US4801,"Congressional District 1 (118th Congress), Texas",41,"Per 1,000 women 15 to 19 years old",14,+/-16,(X),(X)
DP02,5001800US4801,"Congressional District 1 (118th Congress), Texas",42,"Per 1,000 women 20 to 34 years old",94,+/-24,(X),(X)
DP02,5001800US4801,"Congressional District 1 (118th Congress), Texas",43,"Per 1,000 women 35 to 50 years old",30,+/-15,(X),(X)
DP02,5001800US4801,"Congressional District 1 (118th Congress), Texas",43.3,,,,,
DP02,5001800US4801,"Congressional District 1 (118th Congress), Texas",43.5,GRANDPARENTS,,,,
