TBLID,GEOID,GEONAME,PROFLN,TITLE,PRF_ESTIMATE,PRF_MG_ERROR,PCT_ESTIMATE,PCT_MG_ERROR
DP02,5001800US5101,"Congressional District 1 (118th Congress), Virginia",0,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,,,,
DP02,5001800US5101,"Congressional District 1 (118th Congress), Virginia",0.5,,,,,
DP02,5001800US5101,"Congressional District 1 (118th Congress), Virginia",0.8,HOUSEHOLDS BY TYPE,,,,
DP02,5001800US5101,"Congressional District 1 (118th Congress), Virginia",1,Total households,"305,610","+/-4,787","305,610",(X)
DP02,5001800US5101,"Congressional District 1 (118th Congress), Virginia",2,Married-couple household,"184,079","+/-5,112",60.2,+/-1.6
DP02,5001800US5101,"Congressional District 1 (118th Congress), Virginia",3,With children of the householder under 18 years,"74,793","+/-4,468",24.5,+/-1.4
DP02,5001800US5101,"Congressional District 1 (118th Congress), Virginia",4,Cohabiting couple household,"14,045","+/-2,163",4.6,+/-0.7
DP02,5001800US5101,"Congressional District 1 (118th Congress), Virginia",5,With children of the householder under 18 years,"4,583","+/-1,176",1.5,+/-0.4
DP02,5001800US5101,"Congressional District 1 (118th Congress), Virginia",6,"Male householder, no spouse/partner present","36,771","+/-3,302",12.0,+/-1.0
DP02,5001800US5101,"Congressional District 1 (118th Congress), Virginia",7,With children of the householder under 18 years,"3,898","+/-1,404",1.3,+/-0.5
DP02,5001800US5101,"Congressional District 1 (118th Congress), Virginia",8,Householder living alone,"26,986","+/-2,766",8.8,+/-0.9
DP02,5001800US5101,"Congressional District 1 (118th Congress), Virginia",9,65 years and over,"9,891","+/-1,643",3.2,+/-0.5
DP02,5001800US5101,"Congressional District 1 (118th Congress), Virginia",10,"Female householder, no spouse/partner present","70,715","+/-4,089",23.1,+/-1.3
DP02,5001800US5101,"Congressional District 1 (118th Congress), Virginia",11,With children of the householder under 18 years,"12,506","+/-1,911",4.1,+/-0.6
DP02,5001800US5101,"Congressional District 1 (118th Congress), Virginia",12,Householder living alone,"42,428","+/-3,188",13.9,+/-1.0
DP02,5001800US5101,"Congressional District 1 (118th Congress), Virginia",13,65 years and over,"23,323","+/-2,305",7.6,+/-0.7
DP02,5001800US5101,"Congressional District 1 (118th Congress), Virginia",13.3,,,,,
DP02,5001800US5101,"Congressional District 1 (118th Congress), Virginia",14,Households with one or more people under 18 years,"103,451","+/-4,518",33.9,+/-1.4
DP02,5001800US5101,"Congressional District 1 (118th Congress), Virginia",15,Households with one or more people 65 years and over,"104,289","+/-3,048",34.1,+/-0.9
DP02,5001800US5101,"Congressional District 1 (118th Congress), Virginia",15.3,,,,,
DP02,5001800US5101,"Congressional District 1 (118th Congress), Virginia",16,Average household size,2.58,+/-0.04,(X),(X)
DP02,5001800US5101,"Congressional District 1 (118th Congress), Virginia",17,Average family size,3.05,+/-0.05,(X),(X)
DP02,5001800US5101,"Congressional District 1 (118th Congress), Virginia",17.3,,,,,
DP02,5001800US5101,"Congressional District 1 (118th Congress), Virginia",17.5,RELATIONSHIP,,,,
DP02,5001800US5101,"Congressional District 1 (118th Congress), Virginia",18,Population in households,"789,823","+/-11,996","789,823",(X)
DP02,5001800US5101,"Congressional District 1 (118th Congress), Virginia",19,Householder,"305,610","+/-4,787",38.7,+/-0.5
DP02,5001800US5101,"Congressional District 1 (118th Congress), Virginia",20,Spouse,"183,437","+/-5,018",23.2,+/-0.6
DP02,5001800US5101,"Congressional District 1 (118th Congress), Virginia",21,Unmarried partner,"14,158","+/-2,069",1.8,+/-0.3
DP02,5001800US5101,"Congressional District 1 (118th Congress), Virginia",22,Child,"235,533","+/-7,147",29.8,+/-0.7
DP02,5001800US5101,"Congressional District 1 (118th Congress), Virginia",23,Other relatives,"37,567","+/-5,018",4.8,+/-0.6
DP02,5001800US5101,"Congressional District 1 (118th Congress), Virginia",24,Other nonrelatives,"13,518","+/-2,487",1.7,+/-0.3
DP02,5001800US5101,"Congressional District 1 (118th Congress), Virginia",24.3,,,,,
DP02,5001800US5101,"Congressional District 1 (118th Congress), Virginia",24.5,MARITAL STATUS,,,,
DP02,5001800US5101,"Congressional District 1 (118th Congress), Virginia",25,Males 15 years and over,"315,512","+/-5,828","315,512",(X)
DP02,5001800US5101,"Congressional District 1 (118th Congress), Virginia",26,Never married,"88,307","+/-4,500",28.0,+/-1.2
DP02,5001800US5101,"Congressional District 1 (118th Congress), Virginia",27,"Now married, except separated","192,300","+/-5,142",60.9,+/-1.4
DP02,5001800US5101,"Congressional District 1 (118th Congress), Virginia",28,Separated,"4,641","+/-1,295",1.5,+/-0.4
DP02,5001800US5101,"Congressional District 1 (118th Congress), Virginia",29,Widowed,"7,900","+/-1,203",2.5,+/-0.4
DP02,5001800US5101,"Congressional District 1 (118th Congress), Virginia",30,Divorced,"22,364","+/-2,440",7.1,+/-0.8
DP02,5001800US5101,"Congressional District 1 (118th Congress), Virginia",30.3,,,,,
DP02,5001800US5101,"Congressional District 1 (118th Congress), Virginia",31,Females 15 years and over,"339,410","+/-5,221","339,410",(X)
DP02,5001800US5101,"Congressional District 1 (118th Congress), Virginia",32,Never married,"80,046","+/-4,208",23.6,+/-1.0
DP02,5001800US5101,"Congressional District 1 (118th Congress), Virginia",33,"Now married, except separated","189,448","+/-5,360",55.8,+/-1.6
DP02,5001800US5101,"Congressional District 1 (118th Congress), Virginia",34,Separated,"7,280","+/-1,627",2.1,+/-0.5
DP02,5001800US5101,"Congressional District 1 (118th Congress), Virginia",35,Widowed,"27,394","+/-2,729",8.1,+/-0.8
DP02,5001800US5101,"Congressional District 1 (118th Congress), Virginia",36,Divorced,"35,242","+/-3,379",10.4,+/-1.0
DP02,5001800US5101,"Congressional District 1 (118th Congress), Virginia",36.3,,,,,
DP02,5001800US5101,"Congressional District 1 (118th Congress), Virginia",36.5,FERTILITY,,,,
DP02,5001800US5101,"Congressional District 1 (118th Congress), Virginia",37,Number of women 15 to 50 years old who had a birth in the past 12 months,"8,801","+/-1,464","8,801",(X)
DP02,5001800US5101,"Congressional District 1 (118th Congress), Virginia",38,"Unmarried women (widowed, divorced, and never married)","3,416","+/-1,006",38.8,+/-9.5
DP02,5001800US5101,"Congressional District 1 (118th Congress), Virginia",39,"Per 1,000 unmarried women",40,+/-12,(X),(X)
DP02,5001800US5101,"Congressional District 1 (118th Congress), Virginia",40,"Per 1,000 women 15 to 50 years old",50,+/-8,(X),(X)
