TBLID,GEOID,GEONAME,PROFLN,TITLE,PRF_ESTIMATE,PRF_MG_ERROR,PCT_ESTIMATE,PCT_MG_ERROR
DP03,5001800US0601,"Congressional District 1 (118th Congress), California",0,SELECTED ECONOMIC CHARACTERISTICS,,,,
DP03,5001800US0601,"Congressional District 1 (118th Congress), California",0.5,,,,,
DP03,5001800US0601,"Congressional District 1 (118th Congress), California",0.8,EMPLOYMENT STATUS,,,,
DP03,5001800US0601,"Congressional District 1 (118th Congress), California",1,Population 16 years and over,"611,345","+/-3,540","611,345",(X)
DP03,5001800US0601,"Congressional District 1 (118th Congress), California",2,In labor force,"345,634","+/-6,233",56.5,+/-0.9
DP03,5001800US0601,"Congressional District 1 (118th Congress), California",3,Civilian labor force,"342,329","+/-6,279",56.0,+/-0.9
DP03,5001800US0601,"Congressional District 1 (118th Congress), California",4,Employed,"311,704","+/-7,056",51.0,+/-1.1
DP03,5001800US0601,"Congressional District 1 (118th Congress), California",5,Unemployed,"30,625","+/-3,621",5.0,+/-0.6
DP03,5001800US0601,"Congressional District 1 (118th Congress), California",6,Armed Forces,"3,305","+/-1,091",0.5,+/-0.2
DP03,5001800US0601,"Congressional District 1 (118th Congress), California",7,Not in labor force,"265,711","+/-5,454",43.5,+/-0.9
DP03,5001800US0601,"Congressional District 1 (118th Congress), California",7.3,,,,,
DP03,5001800US0601,"Congressional District 1 (118th Congress), California",8,Civilian labor force,"342,329","+/-6,279","342,329",(X)
DP03,5001800US0601,"Congressional District 1 (118th Congress), California",9,Unemployment Rate,(X),(X),8.9,+/-1.1
DP03,5001800US0601,"Congressional District 1 (118th Congress), California",9.3,,,,,
DP03,5001800US0601,"Congressional District 1 (118th Congress), California",10,Females 16 years and over,"304,389","+/-2,501","304,389",(X)
DP03,5001800US0601,"Congressional District 1 (118th Congress), California",11,In labor force,"161,323","+/-4,678",53.0,+/-1.5
DP03,5001800US0601,"Congressional District 1 (118th Congress), California",12,Civilian labor force,"160,888","+/-4,673",52.9,+/-1.5
DP03,5001800US0601,"Congressional District 1 (118th Congress), California",13,Employed,"147,462","+/-4,322",48.4,+/-1.3
DP03,5001800US0601,"Congressional District 1 (118th Congress), California",13.3,,,,,
DP03,5001800US0601,"Congressional District 1 (118th Congress), California",14,Own children of the householder under 6 years,"48,167","+/-2,673","48,167",(X)
DP03,5001800US0601,"Congressional District 1 (118th Congress), California",15,All parents in family in labor force,"27,372","+/-2,920",56.8,+/-5.2
