TBLID,GEOID,GEONAME,PROFLN,TITLE,PRF_ESTIMATE,PRF_MG_ERROR,PCT_ESTIMATE,PCT_MG_ERROR
DP03,5001800US0801,"Congressional District 1 (118th Congress), Colorado",0,SELECTED ECONOMIC CHARACTERISTICS,,,,
DP03,5001800US0801,"Congressional District 1 (118th Congress), Colorado",0.5,,,,,
DP03,5001800US0801,"Congressional District 1 (118th Congress), Colorado",0.8,EMPLOYMENT STATUS,,,,
DP03,5001800US0801,"Congressional District 1 (118th Congress), Colorado",1,Population 16 years and over,"597,974","+/-1,870","597,974",(X)
DP03,5001800US0801,"Congressional District 1 (118th Congress), Colorado",2,In labor force,"444,170","+/-5,106",74.3,+/-0.8
DP03,5001800US0801,"Congressional District 1 (118th Congress), Colorado",3,Civilian labor force,"442,608","+/-5,220",74.0,+/-0.8
DP03,5001800US0801,"Congressional District 1 (118th Congress), Colorado",4,Employed,"415,213","+/-5,055",69.4,+/-0.8
DP03,5001800US0801,"Congressional District 1 (118th Congress), Colorado",5,Unemployed,"27,395","+/-2,951",4.6,+/-0.5
DP03,5001800US0801,"Congressional District 1 (118th Congress), Colorado",6,Armed Forces,"1,562",+/-803,0.3,+/-0.1
DP03,5001800US0801,"Congressional District 1 (118th Congress), Colorado",7,Not in labor force,"153,804","+/-4,965",25.7,+/-0.8
DP03,5001800US0801,"Congressional District 1 (118th Congress), Colorado",7.3,,,,,
DP03,5001800US0801,"Congressional District 1 (118th Congress), Colorado",8,Civilian labor force,"442,608","+/-5,220","442,608",(X)
DP03,5001800US0801,"Congressional District 1 (118th Congress), Colorado",9,Unemployment Rate,(X),(X),6.2,+/-0.6
DP03,5001800US0801,"Congressional District 1 (118th Congress), Colorado",9.3,,,,,
DP03,5001800US0801,"Congressional District 1 (118th Congress), Colorado",10,Females 16 years and over,"296,710","+/-1,242","296,710",(X)
DP03,5001800US0801,"Congressional District 1 (118th Congress), Colorado",11,In labor force,"207,799","+/-3,756",70.0,+/-1.2
DP03,5001800US0801,"Congressional District 1 (118th Congress), Colorado",12,Civilian labor force,"207,716","+/-3,754",70.0,+/-1.2
DP03,5001800US0801,"Congressional District 1 (118th Congress), Colorado",13,Employed,"195,306","+/-3,680",65.8,+/-1.2
DP03,5001800US0801,"Congressional District 1 (118th Congress), Colorado",13.3,,,,,
DP03,5001800US0801,"Congressional District 1 (118th Congress), Colorado",14,Own children of the householder under 6 years,"45,014","+/-1,722","45,014",(X)
DP03,5001800US0801,"Congressional District 1 (118th Congress), Colorado",15,All parents in family in labor force,"31,737","+/-2,703",70.5,+/-5.3
DP03,5001800US0801,"Congressional District 1 (118th Congress), Colorado",15.3,,,,,
DP03,5001800US0801,"Congressional District 1 (118th Congress), Colorado",16,Own children of the householder 6 to 17 years,"81,188","+/-2,055","81,188",(X)
DP03,5001800US0801,"Congressional District 1 (118th Congress), Colorado",17,All parents in family in labor force,"61,392","+/-3,771",75.6,+/-3.9
DP03,5001800US0801,"Congressional District 1 (118th Congress), Colorado",17.3,,,,,
DP03,5001800US0801,"Congressional District 1 (118th Congress), Colorado",17.5,COMMUTING TO WORK,,,,
DP03,5001800US0801,"Congressional District 1 (118th Congress), Colorado",18,Workers 16 years and over,"408,276","+/-5,475","408,276",(X)
DP03,5001800US0801,"Congressional District 1 (118th Congress), Colorado",19,"Car, truck, or van -- drove alone","219,388","+/-7,436",53.7,+/-1.6
DP03,5001800US0801,"Congressional District 1 (118th Congress), Colorado",20,"Car, truck, or van -- carpooled","22,335","+/-3,590",5.5,+/-0.9
DP03,5001800US0801,"Congressional District 1 (118th Congress), Colorado",21,Public transportation (excluding taxicab),"11,911","+/-2,217",2.9,+/-0.5
DP03,5001800US0801,"Congressional District 1 (118th Congress), Colorado",22,Walked,"11,696","+/-1,770",2.9,+/-0.4
DP03,5001800US0801,"Congressional District 1 (118th Congress), Colorado",23,Other means,"11,876","+/-1,997",2.9,+/-0.5
DP03,5001800US0801,"Congressional District 1 (118th Congress), Colorado",24,Worked from home,"131,070","+/-5,769",32.1,+/-1.4
DP03,5001800US0801,"Congressional District 1 (118th Congress), Colorado",24.3,,,,,
DP03,5001800US0801,"Congressional District 1 (118th Congress), Colorado",25,Mean travel time to work (minutes),24.2,+/-0.6,(X),(X)
DP03,5001800US0801,"Congressional District 1 (118th Congress), Colorado",25.3,,,,,
DP03,5001800US0801,"Congressional District 1 (118th Congress), Colorado",25.5,OCCUPATION,,,,
DP03,5001800US0801,"Congressional District 1 (118th Congress), Colorado",26,Civilian employed population 16 years and over,"415,213","+/-5,055","415,213",(X)
DP03,5001800US0801,"Congressional District 1 (118th Congress), Colorado",27,"Management, business, science, and arts occupations","224,922","+/-7,276",54.2,+/-1.6
DP03,5001800US0801,"Congressional District 1 (118th Congress), Colorado",28,Service occupations,"55,759","+/-4,121",13.4,+/-1.0
DP03,5001800US0801,"Congressional District 1 (118th Congress), Colorado",29,Sales and office occupations,"73,065","+/-5,016",17.6,+/-1.2
DP03,5001800US0801,"Congressional District 1 (118th Congress), Colorado",30,"Natural resources, construction, and maintenance occupations","26,542","+/-3,171",6.4,+/-0.8
DP03,5001800US0801,"Congressional District 1 (118th Congress), Colorado",31,"Production, transportation, and material moving occupations","34,925","+/-3,127",8.4,+/-0.7
DP03,5001800US0801,"Congressional District 1 (118th Congress), Colorado",31.3,,,,,
DP03,5001800US0801,"Congressional District 1 (118th Congress), Colorado",31.5,INDUSTRY,,,,
DP03,5001800US0801,"Congressional District 1 (118th Congress), Colorado",32,Civilian employed population 16 years and over,"415,213","+/-5,055","415,213",(X)
DP03,5001800US0801,"Congressional District 1 (118th Congress), Colorado",33,"Agriculture, forestry, fishing and hunting, and mining","3,518",+/-916,0.8,+/-0.2
DP03,5001800US0801,"Congressional District 1 (118th Congress), Colorado",34,Construction,"27,073","+/-3,372",6.5,+/-0.8
DP03,5001800US0801,"Congressional District 1 (118th Congress), Colorado",35,Manufacturing,"26,351","+/-2,583",6.3,+/-0.6
DP03,5001800US0801,"Congressional District 1 (118th Congress), Colorado",36,Wholesale trade,"10,477","+/-1,542",2.5,+/-0.4
DP03,5001800US0801,"Congressional District 1 (118th Congress), Colorado",37,Retail trade,"36,435","+/-3,441",8.8,+/-0.8
DP03,5001800US0801,"Congressional District 1 (118th Congress), Colorado",38,"Transportation and warehousing, and utilities","20,017","+/-2,802",4.8,+/-0.7
DP03,5001800US0801,"Congressional District 1 (118th Congress), Colorado",39,Information,"14,678","+/-2,197",3.5,+/-0.5
DP03,5001800US0801,"Congressional District 1 (118th Congress), Colorado",40,"Finance and insurance, and real estate and rental and leasing","37,287","+/-4,064",9.0,+/-1.0
DP03,5001800US0801,"Congressional District 1 (118th Congress), Colorado",41,"Professional, scientific, and management, and administrative and waste management services","84,255","+/-4,911",20.3,+/-1.2
DP03,5001800US0801,"Congressional District 1 (118th Congress), Colorado",42,"Educational services, and health care and social assistance","88,932","+/-4,492",21.4,+/-1.0
DP03,5001800US0801,"Congressional District 1 (118th Congress), Colorado",43,"Arts, entertainment, and recreation, and accommodation and food services","29,618","+/-2,980",7.1,+/-0.7
DP03,5001800US0801,"Congressional District 1 (118th Congress), Colorado",44,"Other services, except public administration","21,485","+/-2,930",5.2,+/-0.7
DP03,5001800US0801,"Congressional District 1 (118th Congress), Colorado",45,Public administration,"15,087","+/-2,197",3.6,+/-0.5
DP03,5001800US0801,"Congressional District 1 (118th Congress), Colorado",45.3,,,,,
DP03,5001800US0801,"Congressional District 1 (118th Congress), Colorado",45.5,CLASS OF WORKER,,,,
DP03,5001800US0801,"Congressional District 1 (118th Congress), Colorado",46,Civilian employed population 16 years and over,"415,213","+/-5,055","415,213",(X)
DP03,5001800US0801,"Congressional District 1 (118th Congress), Colorado",47,Private wage and salary workers,"343,144","+/-5,027",82.6,+/-1.1
DP03,5001800US0801,"Congressional District 1 (118th Congress), Colorado",48,Government workers,"46,422","+/-3,932",11.2,+/-0.9
DP03,5001800US0801,"Congressional District 1 (118th Congress), Colorado",49,Self-employed in own not incorporated business workers,"24,884","+/-3,375",6.0,+/-0.8
DP03,5001800US0801,"Congressional District 1 (118th Congress), Colorado",50,Unpaid family workers,763,+/-451,0.2,+/-0.1
DP03,5001800US0801,"Congressional District 1 (118th Congress), Colorado",50.3,,,,,
DP03,5001800US0801,"Congressional District 1 (118th Congress), Colorado",50.5,INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),,,,
DP03,5001800US0801,"Congressional District 1 (118th Congress), Colorado",51,Total households,"329,825","+/-3,376","329,825",(X)
DP03,5001800US0801,"Congressional District 1 (118th Congress), Colorado",52,"Less than $10,000","20,126","+/-2,458",6.1,+/-0.7
DP03,5001800US0801,"Congressional District 1 (118th Congress), Colorado",53,"$10,000 to $14,999","10,970","+/-1,631",3.3,+/-0.5
DP03,5001800US0801,"Congressional District 1 (118th Congress), Colorado",54,"$15,000 to $24,999","18,296","+/-2,585",5.5,+/-0.8
DP03,5001800US0801,"Congressional District 1 (118th Congress), Colorado",55,"$25,000 to $34,999","19,664","+/-2,435",6.0,+/-0.7
DP03,5001800US0801,"Congressional District 1 (118th Congress), Colorado",56,"$35,000 to $49,999","31,534","+/-2,875",9.6,+/-0.9
DP03,5001800US0801,"Congressional District 1 (118th Congress), Colorado",57,"$50,000 to $74,999","53,422","+/-3,525",16.2,+/-1.0
DP03,5001800US0801,"Congressional District 1 (118th Congress), Colorado",58,"$75,000 to $99,999","41,470","+/-3,892",12.6,+/-1.2
DP03,5001800US0801,"Congressional District 1 (118th Congress), Colorado",59,"$100,000 to $149,999","58,066","+/-4,260",17.6,+/-1.3
DP03,5001800US0801,"Congressional District 1 (118th Congress), Colorado",60,"$150,000 to $199,999","32,102","+/-3,188",9.7,+/-1.0
DP03,5001800US0801,"Congressional District 1 (118th Congress), Colorado",61,"$200,000 or more","44,175","+/-3,165",13.4,+/-0.9
DP03,5001800US0801,"Congressional District 1 (118th Congress), Colorado",62,Median household income (dollars),"81,218","+/-2,411",(X),(X)
DP03,5001800US0801,"Congressional District 1 (118th Congress), Colorado",63,Mean household income (dollars),"114,720","+/-3,445",(X),(X)
DP03,5001800US0801,"Congressional District 1 (118th Congress), Colorado",63.3,,,,,
DP03,5001800US0801,"Congressional District 1 (118th Congress), Colorado",64,With earnings,"277,581","+/-4,757",84.2,+/-1.1
DP03,5001800US0801,"Congressional District 1 (118th Congress), Colorado",65,Mean earnings (dollars),"116,004","+/-3,551",(X),(X)
DP03,5001800US0801,"Congressional District 1 (118th Congress), Colorado",66,With Social Security,"59,969","+/-2,757",18.2,+/-0.8
