TBLID,GEOID,GEONAME,PROFLN,TITLE,PRF_ESTIMATE,PRF_MG_ERROR,PCT_ESTIMATE,PCT_MG_ERROR
DP03,5001800US1501,"Congressional District 1 (118th Congress), Hawaii",0,SELECTED ECONOMIC CHARACTERISTICS,,,,
DP03,5001800US1501,"Congressional District 1 (118th Congress), Hawaii",0.5,,,,,
DP03,5001800US1501,"Congressional District 1 (118th Congress), Hawaii",0.8,EMPLOYMENT STATUS,,,,
DP03,5001800US1501,"Congressional District 1 (118th Congress), Hawaii",1,Population 16 years and over,"587,333","+/-6,974","587,333",(X)
DP03,5001800US1501,"Congressional District 1 (118th Congress), Hawaii",2,In labor force,"378,591","+/-6,752",64.5,+/-0.8
DP03,5001800US1501,"Congressional District 1 (118th Congress), Hawaii",3,Civilian labor force,"350,288","+/-6,584",59.6,+/-0.9
DP03,5001800US1501,"Congressional District 1 (118th Congress), Hawaii",4,Employed,"327,223","+/-6,340",55.7,+/-0.9
DP03,5001800US1501,"Congressional District 1 (118th Congress), Hawaii",5,Unemployed,"23,065","+/-2,956",3.9,+/-0.5
DP03,5001800US1501,"Congressional District 1 (118th Congress), Hawaii",6,Armed Forces,"28,303","+/-3,284",4.8,+/-0.5
DP03,5001800US1501,"Congressional District 1 (118th Congress), Hawaii",7,Not in labor force,"208,742","+/-5,333",35.5,+/-0.8
DP03,5001800US1501,"Congressional District 1 (118th Congress), Hawaii",7.3,,,,,
DP03,5001800US1501,"Congressional District 1 (118th Congress), Hawaii",8,Civilian labor force,"350,288","+/-6,584","350,288",(X)
DP03,5001800US1501,"Congressional District 1 (118th Congress), Hawaii",9,Unemployment Rate,(X),(X),6.6,+/-0.8
DP03,5001800US1501,"Congressional District 1 (118th Congress), Hawaii",9.3,,,,,
DP03,5001800US1501,"Congressional District 1 (118th Congress), Hawaii",10,Females 16 years and over,"293,893","+/-4,133","293,893",(X)
DP03,5001800US1501,"Congressional District 1 (118th Congress), Hawaii",11,In labor force,"175,347","+/-4,386",59.7,+/-1.2
DP03,5001800US1501,"Congressional District 1 (118th Congress), Hawaii",12,Civilian labor force,"169,700","+/-4,395",57.7,+/-1.3
DP03,5001800US1501,"Congressional District 1 (118th Congress), Hawaii",13,Employed,"159,315","+/-4,248",54.2,+/-1.4
DP03,5001800US1501,"Congressional District 1 (118th Congress), Hawaii",13.3,,,,,
DP03,5001800US1501,"Congressional District 1 (118th Congress), Hawaii",14,Own children of the householder under 6 years,"42,759","+/-3,191","42,759",(X)
DP03,5001800US1501,"Congressional District 1 (118th Congress), Hawaii",15,All parents in family in labor force,"24,985","+/-2,868",58.4,+/-4.9
DP03,5001800US1501,"Congressional District 1 (118th Congress), Hawaii",15.3,,,,,
DP03,5001800US1501,"Congressional District 1 (118th Congress), Hawaii",16,Own children of the householder 6 to 17 years,"88,628","+/-3,768","88,628",(X)
DP03,5001800US1501,"Congressional District 1 (118th Congress), Hawaii",17,All parents in family in labor force,"64,184","+/-4,018",72.4,+/-3.0
DP03,5001800US1501,"Congressional District 1 (118th Congress), Hawaii",17.3,,,,,
DP03,5001800US1501,"Congressional District 1 (118th Congress), Hawaii",17.5,COMMUTING TO WORK,,,,
DP03,5001800US1501,"Congressional District 1 (118th Congress), Hawaii",18,Workers 16 years and over,"346,507","+/-6,912","346,507",(X)
DP03,5001800US1501,"Congressional District 1 (118th Congress), Hawaii",19,"Car, truck, or van -- drove alone","218,622","+/-6,368",63.1,+/-1.4
DP03,5001800US1501,"Congressional District 1 (118th Congress), Hawaii",20,"Car, truck, or van -- carpooled","46,718","+/-4,118",13.5,+/-1.1
DP03,5001800US1501,"Congressional District 1 (118th Congress), Hawaii",21,Public transportation (excluding taxicab),"16,463","+/-2,952",4.8,+/-0.8
DP03,5001800US1501,"Congressional District 1 (118th Congress), Hawaii",22,Walked,"16,356","+/-2,238",4.7,+/-0.6
DP03,5001800US1501,"Congressional District 1 (118th Congress), Hawaii",23,Other means,"10,150","+/-1,834",2.9,+/-0.5
DP03,5001800US1501,"Congressional District 1 (118th Congress), Hawaii",24,Worked from home,"38,198","+/-3,500",11.0,+/-1.0
DP03,5001800US1501,"Congressional District 1 (118th Congress), Hawaii",24.3,,,,,
DP03,5001800US1501,"Congressional District 1 (118th Congress), Hawaii",25,Mean travel time to work (minutes),25.1,+/-0.6,(X),(X)
DP03,5001800US1501,"Congressional District 1 (118th Congress), Hawaii",25.3,,,,,
DP03,5001800US1501,"Congressional District 1 (118th Congress), Hawaii",25.5,OCCUPATION,,,,
DP03,5001800US1501,"Congressional District 1 (118th Congress), Hawaii",26,Civilian employed population 16 years and over,"327,223","+/-6,340","327,223",(X)
DP03,5001800US1501,"Congressional District 1 (118th Congress), Hawaii",27,"Management, business, science, and arts occupations","137,479","+/-5,123",42.0,+/-1.4
DP03,5001800US1501,"Congressional District 1 (118th Congress), Hawaii",28,Service occupations,"63,014","+/-4,749",19.3,+/-1.3
DP03,5001800US1501,"Congressional District 1 (118th Congress), Hawaii",29,Sales and office occupations,"75,132","+/-3,967",23.0,+/-1.1
DP03,5001800US1501,"Congressional District 1 (118th Congress), Hawaii",30,"Natural resources, construction, and maintenance occupations","25,645","+/-2,379",7.8,+/-0.7
DP03,5001800US1501,"Congressional District 1 (118th Congress), Hawaii",31,"Production, transportation, and material moving occupations","25,953","+/-2,584",7.9,+/-0.8
DP03,5001800US1501,"Congressional District 1 (118th Congress), Hawaii",31.3,,,,,
DP03,5001800US1501,"Congressional District 1 (118th Congress), Hawaii",31.5,INDUSTRY,,,,
DP03,5001800US1501,"Congressional District 1 (118th Congress), Hawaii",32,Civilian employed population 16 years and over,"327,223","+/-6,340","327,223",(X)
DP03,5001800US1501,"Congressional District 1 (118th Congress), Hawaii",33,"Agriculture, forestry, fishing and hunting, and mining","1,496",+/-662,0.5,+/-0.2
DP03,5001800US1501,"Congressional District 1 (118th Congress), Hawaii",34,Construction,"21,595","+/-2,498",6.6,+/-0.8
DP03,5001800US1501,"Congressional District 1 (118th Congress), Hawaii",35,Manufacturing,"10,047","+/-1,632",3.1,+/-0.5
DP03,5001800US1501,"Congressional District 1 (118th Congress), Hawaii",36,Wholesale trade,"8,314","+/-2,162",2.5,+/-0.7
DP03,5001800US1501,"Congressional District 1 (118th Congress), Hawaii",37,Retail trade,"32,948","+/-2,878",10.1,+/-0.8
DP03,5001800US1501,"Congressional District 1 (118th Congress), Hawaii",38,"Transportation and warehousing, and utilities","20,933","+/-2,015",6.4,+/-0.6
DP03,5001800US1501,"Congressional District 1 (118th Congress), Hawaii",39,Information,"5,024","+/-1,259",1.5,+/-0.4
DP03,5001800US1501,"Congressional District 1 (118th Congress), Hawaii",40,"Finance and insurance, and real estate and rental and leasing","25,955","+/-2,170",7.9,+/-0.7
DP03,5001800US1501,"Congressional District 1 (118th Congress), Hawaii",41,"Professional, scientific, and management, and administrative and waste management services","35,056","+/-3,240",10.7,+/-1.0
DP03,5001800US1501,"Congressional District 1 (118th Congress), Hawaii",42,"Educational services, and health care and social assistance","80,042","+/-3,988",24.5,+/-1.1
DP03,5001800US1501,"Congressional District 1 (118th Congress), Hawaii",43,"Arts, entertainment, and recreation, and accommodation and food services","41,762","+/-4,094",12.8,+/-1.2
DP03,5001800US1501,"Congressional District 1 (118th Congress), Hawaii",44,"Other services, except public administration","12,439","+/-1,632",3.8,+/-0.5
DP03,5001800US1501,"Congressional District 1 (118th Congress), Hawaii",45,Public administration,"31,612","+/-3,128",9.7,+/-0.9
DP03,5001800US1501,"Congressional District 1 (118th Congress), Hawaii",45.3,,,,,
DP03,5001800US1501,"Congressional District 1 (118th Congress), Hawaii",45.5,CLASS OF WORKER,,,,
DP03,5001800US1501,"Congressional District 1 (118th Congress), Hawaii",46,Civilian employed population 16 years and over,"327,223","+/-6,340","327,223",(X)
DP03,5001800US1501,"Congressional District 1 (118th Congress), Hawaii",47,Private wage and salary workers,"226,900","+/-6,781",69.3,+/-1.6
DP03,5001800US1501,"Congressional District 1 (118th Congress), Hawaii",48,Government workers,"79,983","+/-5,308",24.4,+/-1.5
DP03,5001800US1501,"Congressional District 1 (118th Congress), Hawaii",49,Self-employed in own not incorporated business workers,"19,733","+/-2,352",6.0,+/-0.7
DP03,5001800US1501,"Congressional District 1 (118th Congress), Hawaii",50,Unpaid family workers,607,+/-365,0.2,+/-0.1
DP03,5001800US1501,"Congressional District 1 (118th Congress), Hawaii",50.3,,,,,
DP03,5001800US1501,"Congressional District 1 (118th Congress), Hawaii",50.5,INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),,,,
DP03,5001800US1501,"Congressional District 1 (118th Congress), Hawaii",51,Total households,"252,910","+/-3,517","252,910",(X)
DP03,5001800US1501,"Congressional District 1 (118th Congress), Hawaii",52,"Less than $10,000","12,950","+/-2,084",5.1,+/-0.8
DP03,5001800US1501,"Congressional District 1 (118th Congress), Hawaii",53,"$10,000 to $14,999","6,958","+/-1,493",2.8,+/-0.6
DP03,5001800US1501,"Congressional District 1 (118th Congress), Hawaii",54,"$15,000 to $24,999","13,302","+/-1,844",5.3,+/-0.7
DP03,5001800US1501,"Congressional District 1 (118th Congress), Hawaii",55,"$25,000 to $34,999","12,784","+/-2,089",5.1,+/-0.8
DP03,5001800US1501,"Congressional District 1 (118th Congress), Hawaii",56,"$35,000 to $49,999","21,432","+/-2,560",8.5,+/-1.0
DP03,5001800US1501,"Congressional District 1 (118th Congress), Hawaii",57,"$50,000 to $74,999","38,970","+/-2,905",15.4,+/-1.1
DP03,5001800US1501,"Congressional District 1 (118th Congress), Hawaii",58,"$75,000 to $99,999","34,320","+/-3,085",13.6,+/-1.2
DP03,5001800US1501,"Congressional District 1 (118th Congress), Hawaii",59,"$100,000 to $149,999","48,360","+/-3,687",19.1,+/-1.4
DP03,5001800US1501,"Congressional District 1 (118th Congress), Hawaii",60,"$150,000 to $199,999","28,772","+/-2,183",11.4,+/-0.8
DP03,5001800US1501,"Congressional District 1 (118th Congress), Hawaii",61,"$200,000 or more","35,062","+/-2,864",13.9,+/-1.1
DP03,5001800US1501,"Congressional District 1 (118th Congress), Hawaii",62,Median household income (dollars),"89,167","+/-2,456",(X),(X)
DP03,5001800US1501,"Congressional District 1 (118th Congress), Hawaii",63,Mean household income (dollars),"114,928","+/-3,411",(X),(X)
DP03,5001800US1501,"Congressional District 1 (118th Congress), Hawaii",63.3,,,,,
DP03,5001800US1501,"Congressional District 1 (118th Congress), Hawaii",64,With earnings,"200,788","+/-4,186",79.4,+/-1.2
DP03,5001800US1501,"Congressional District 1 (118th Congress), Hawaii",65,Mean earnings (dollars),"106,790","+/-3,568",(X),(X)
