TBLID,GEOID,GEONAME,PROFLN,TITLE,PRF_ESTIMATE,PRF_MG_ERROR,PCT_ESTIMATE,PCT_MG_ERROR
DP03,5001800US1601,"Congressional District 1 (118th Congress), Idaho",0,SELECTED ECONOMIC CHARACTERISTICS,,,,
DP03,5001800US1601,"Congressional District 1 (118th Congress), Idaho",0.5,,,,,
DP03,5001800US1601,"Congressional District 1 (118th Congress), Idaho",0.8,EMPLOYMENT STATUS,,,,
DP03,5001800US1601,"Congressional District 1 (118th Congress), Idaho",1,Population 16 years and over,"766,061","+/-6,325","766,061",(X)
DP03,5001800US1601,"Congressional District 1 (118th Congress), Idaho",2,In labor force,"469,019","+/-8,049",61.2,+/-1.0
DP03,5001800US1601,"Congressional District 1 (118th Congress), Idaho",3,Civilian labor force,"467,391","+/-7,884",61.0,+/-0.9
DP03,5001800US1601,"Congressional District 1 (118th Congress), Idaho",4,Employed,"452,691","+/-8,118",59.1,+/-1.0
DP03,5001800US1601,"Congressional District 1 (118th Congress), Idaho",5,Unemployed,"14,700","+/-3,014",1.9,+/-0.4
DP03,5001800US1601,"Congressional District 1 (118th Congress), Idaho",6,Armed Forces,"1,628","+/-1,050",0.2,+/-0.1
DP03,5001800US1601,"Congressional District 1 (118th Congress), Idaho",7,Not in labor force,"297,042","+/-8,003",38.8,+/-1.0
DP03,5001800US1601,"Congressional District 1 (118th Congress), Idaho",7.3,,,,,
DP03,5001800US1601,"Congressional District 1 (118th Congress), Idaho",8,Civilian labor force,"467,391","+/-7,884","467,391",(X)
DP03,5001800US1601,"Congressional District 1 (118th Congress), Idaho",9,Unemployment Rate,(X),(X),3.1,+/-0.6
DP03,5001800US1601,"Congressional District 1 (118th Congress), Idaho",9.3,,,,,
DP03,5001800US1601,"Congressional District 1 (118th Congress), Idaho",10,Females 16 years and over,"383,067","+/-3,820","383,067",(X)
DP03,5001800US1601,"Congressional District 1 (118th Congress), Idaho",11,In labor force,"215,636","+/-5,220",56.3,+/-1.3
DP03,5001800US1601,"Congressional District 1 (118th Congress), Idaho",12,Civilian labor force,"215,432","+/-5,167",56.2,+/-1.3
DP03,5001800US1601,"Congressional District 1 (118th Congress), Idaho",13,Employed,"209,097","+/-5,433",54.6,+/-1.4
DP03,5001800US1601,"Congressional District 1 (118th Congress), Idaho",13.3,,,,,
DP03,5001800US1601,"Congressional District 1 (118th Congress), Idaho",14,Own children of the householder under 6 years,"67,132","+/-4,028","67,132",(X)
DP03,5001800US1601,"Congressional District 1 (118th Congress), Idaho",15,All parents in family in labor force,"39,707","+/-3,606",59.1,+/-5.6
DP03,5001800US1601,"Congressional District 1 (118th Congress), Idaho",15.3,,,,,
DP03,5001800US1601,"Congressional District 1 (118th Congress), Idaho",16,Own children of the householder 6 to 17 years,"150,452","+/-4,759","150,452",(X)
DP03,5001800US1601,"Congressional District 1 (118th Congress), Idaho",17,All parents in family in labor force,"101,811","+/-6,530",67.7,+/-3.6
DP03,5001800US1601,"Congressional District 1 (118th Congress), Idaho",17.3,,,,,
DP03,5001800US1601,"Congressional District 1 (118th Congress), Idaho",17.5,COMMUTING TO WORK,,,,
DP03,5001800US1601,"Congressional District 1 (118th Congress), Idaho",18,Workers 16 years and over,"446,561","+/-8,290","446,561",(X)
DP03,5001800US1601,"Congressional District 1 (118th Congress), Idaho",19,"Car, truck, or van -- drove alone","337,602","+/-9,275",75.6,+/-1.4
DP03,5001800US1601,"Congressional District 1 (118th Congress), Idaho",20,"Car, truck, or van -- carpooled","33,721","+/-3,893",7.6,+/-0.9
DP03,5001800US1601,"Congressional District 1 (118th Congress), Idaho",21,Public transportation (excluding taxicab),"1,601","+/-1,199",0.4,+/-0.3
DP03,5001800US1601,"Congressional District 1 (118th Congress), Idaho",22,Walked,"8,954","+/-2,018",2.0,+/-0.5
