TBLID,GEOID,GEONAME,PROFLN,TITLE,PRF_ESTIMATE,PRF_MG_ERROR,PCT_ESTIMATE,PCT_MG_ERROR
DP03,5001800US3701,"Congressional District 1 (118th Congress), North Carolina",0,SELECTED ECONOMIC CHARACTERISTICS,,,,
DP03,5001800US3701,"Congressional District 1 (118th Congress), North Carolina",0.5,,,,,
DP03,5001800US3701,"Congressional District 1 (118th Congress), North Carolina",0.8,EMPLOYMENT STATUS,,,,
DP03,5001800US3701,"Congressional District 1 (118th Congress), North Carolina",1,Population 16 years and over,"610,990","+/-4,496","610,990",(X)
DP03,5001800US3701,"Congressional District 1 (118th Congress), North Carolina",2,In labor force,"345,883","+/-7,778",56.6,+/-1.2
DP03,5001800US3701,"Congressional District 1 (118th Congress), North Carolina",3,Civilian labor force,"343,981","+/-7,860",56.3,+/-1.2
DP03,5001800US3701,"Congressional District 1 (118th Congress), North Carolina",4,Employed,"318,605","+/-8,109",52.1,+/-1.3
DP03,5001800US3701,"Congressional District 1 (118th Congress), North Carolina",5,Unemployed,"25,376","+/-3,099",4.2,+/-0.5
DP03,5001800US3701,"Congressional District 1 (118th Congress), North Carolina",6,Armed Forces,"1,902",+/-843,0.3,+/-0.1
DP03,5001800US3701,"Congressional District 1 (118th Congress), North Carolina",7,Not in labor force,"265,107","+/-7,527",43.4,+/-1.2
DP03,5001800US3701,"Congressional District 1 (118th Congress), North Carolina",7.3,,,,,
DP03,5001800US3701,"Congressional District 1 (118th Congress), North Carolina",8,Civilian labor force,"343,981","+/-7,860","343,981",(X)
DP03,5001800US3701,"Congressional District 1 (118th Congress), North Carolina",9,Unemployment Rate,(X),(X),7.4,+/-0.9
DP03,5001800US3701,"Congressional District 1 (118th Congress), North Carolina",9.3,,,,,
DP03,5001800US3701,"Congressional District 1 (118th Congress), North Carolina",10,Females 16 years and over,"318,233","+/-2,732","318,233",(X)
DP03,5001800US3701,"Congressional District 1 (118th Congress), North Carolina",11,In labor force,"170,547","+/-4,495",53.6,+/-1.3
DP03,5001800US3701,"Congressional District 1 (118th Congress), North Carolina",12,Civilian labor force,"170,288","+/-4,490",53.5,+/-1.3
DP03,5001800US3701,"Congressional District 1 (118th Congress), North Carolina",13,Employed,"157,384","+/-5,101",49.5,+/-1.5
DP03,5001800US3701,"Congressional District 1 (118th Congress), North Carolina",13.3,,,,,
DP03,5001800US3701,"Congressional District 1 (118th Congress), North Carolina",14,Own children of the householder under 6 years,"42,824","+/-2,495","42,824",(X)
DP03,5001800US3701,"Congressional District 1 (118th Congress), North Carolina",15,All parents in family in labor force,"30,957","+/-2,821",72.3,+/-5.2
DP03,5001800US3701,"Congressional District 1 (118th Congress), North Carolina",15.3,,,,,
DP03,5001800US3701,"Congressional District 1 (118th Congress), North Carolina",16,Own children of the householder 6 to 17 years,"103,227","+/-3,799","103,227",(X)
DP03,5001800US3701,"Congressional District 1 (118th Congress), North Carolina",17,All parents in family in labor force,"76,985","+/-5,188",74.6,+/-3.9
DP03,5001800US3701,"Congressional District 1 (118th Congress), North Carolina",17.3,,,,,
DP03,5001800US3701,"Congressional District 1 (118th Congress), North Carolina",17.5,COMMUTING TO WORK,,,,
DP03,5001800US3701,"Congressional District 1 (118th Congress), North Carolina",18,Workers 16 years and over,"313,835","+/-8,022","313,835",(X)
DP03,5001800US3701,"Congressional District 1 (118th Congress), North Carolina",19,"Car, truck, or van -- drove alone","248,314","+/-7,875",79.1,+/-1.5
DP03,5001800US3701,"Congressional District 1 (118th Congress), North Carolina",20,"Car, truck, or van -- carpooled","25,152","+/-2,507",8.0,+/-0.8
DP03,5001800US3701,"Congressional District 1 (118th Congress), North Carolina",21,Public transportation (excluding taxicab),469,+/-342,0.1,+/-0.1
DP03,5001800US3701,"Congressional District 1 (118th Congress), North Carolina",22,Walked,"2,457","+/-1,003",0.8,+/-0.3
DP03,5001800US3701,"Congressional District 1 (118th Congress), North Carolina",23,Other means,"7,037","+/-2,374",2.2,+/-0.7
DP03,5001800US3701,"Congressional District 1 (118th Congress), North Carolina",24,Worked from home,"30,406","+/-3,631",9.7,+/-1.1
DP03,5001800US3701,"Congressional District 1 (118th Congress), North Carolina",24.3,,,,,
DP03,5001800US3701,"Congressional District 1 (118th Congress), North Carolina",25,Mean travel time to work (minutes),24.9,+/-0.8,(X),(X)
DP03,5001800US3701,"Congressional District 1 (118th Congress), North Carolina",25.3,,,,,
DP03,5001800US3701,"Congressional District 1 (118th Congress), North Carolina",25.5,OCCUPATION,,,,
DP03,5001800US3701,"Congressional District 1 (118th Congress), North Carolina",26,Civilian employed population 16 years and over,"318,605","+/-8,109","318,605",(X)
DP03,5001800US3701,"Congressional District 1 (118th Congress), North Carolina",27,"Management, business, science, and arts occupations","111,884","+/-6,283",35.1,+/-1.7
DP03,5001800US3701,"Congressional District 1 (118th Congress), North Carolina",28,Service occupations,"57,749","+/-4,656",18.1,+/-1.3
DP03,5001800US3701,"Congressional District 1 (118th Congress), North Carolina",29,Sales and office occupations,"64,647","+/-4,426",20.3,+/-1.3
DP03,5001800US3701,"Congressional District 1 (118th Congress), North Carolina",30,"Natural resources, construction, and maintenance occupations","29,746","+/-3,142",9.3,+/-1.0
DP03,5001800US3701,"Congressional District 1 (118th Congress), North Carolina",31,"Production, transportation, and material moving occupations","54,579","+/-4,999",17.1,+/-1.5
DP03,5001800US3701,"Congressional District 1 (118th Congress), North Carolina",31.3,,,,,
DP03,5001800US3701,"Congressional District 1 (118th Congress), North Carolina",31.5,INDUSTRY,,,,
DP03,5001800US3701,"Congressional District 1 (118th Congress), North Carolina",32,Civilian employed population 16 years and over,"318,605","+/-8,109","318,605",(X)
DP03,5001800US3701,"Congressional District 1 (118th Congress), North Carolina",33,"Agriculture, forestry, fishing and hunting, and mining","5,457","+/-1,378",1.7,+/-0.4
DP03,5001800US3701,"Congressional District 1 (118th Congress), North Carolina",34,Construction,"23,157","+/-2,802",7.3,+/-0.9
DP03,5001800US3701,"Congressional District 1 (118th Congress), North Carolina",35,Manufacturing,"46,289","+/-4,637",14.5,+/-1.5
DP03,5001800US3701,"Congressional District 1 (118th Congress), North Carolina",36,Wholesale trade,"6,867","+/-1,540",2.2,+/-0.5
DP03,5001800US3701,"Congressional District 1 (118th Congress), North Carolina",37,Retail trade,"38,049","+/-4,097",11.9,+/-1.2
DP03,5001800US3701,"Congressional District 1 (118th Congress), North Carolina",38,"Transportation and warehousing, and utilities","20,144","+/-2,989",6.3,+/-0.9
DP03,5001800US3701,"Congressional District 1 (118th Congress), North Carolina",39,Information,"2,997",+/-936,0.9,+/-0.3
DP03,5001800US3701,"Congressional District 1 (118th Congress), North Carolina",40,"Finance and insurance, and real estate and rental and leasing","16,932","+/-2,696",5.3,+/-0.8
DP03,5001800US3701,"Congressional District 1 (118th Congress), North Carolina",41,"Professional, scientific, and management, and administrative and waste management services","24,805","+/-3,378",7.8,+/-1.0
DP03,5001800US3701,"Congressional District 1 (118th Congress), North Carolina",42,"Educational services, and health care and social assistance","76,416","+/-5,591",24.0,+/-1.6
DP03,5001800US3701,"Congressional District 1 (118th Congress), North Carolina",43,"Arts, entertainment, and recreation, and accommodation and food services","27,556","+/-3,599",8.6,+/-1.1
DP03,5001800US3701,"Congressional District 1 (118th Congress), North Carolina",44,"Other services, except public administration","13,378","+/-2,007",4.2,+/-0.6
DP03,5001800US3701,"Congressional District 1 (118th Congress), North Carolina",45,Public administration,"16,558","+/-2,438",5.2,+/-0.8
DP03,5001800US3701,"Congressional District 1 (118th Congress), North Carolina",45.3,,,,,
DP03,5001800US3701,"Congressional District 1 (118th Congress), North Carolina",45.5,CLASS OF WORKER,,,,
