TBLID,GEOID,GEONAME,PROFLN,TITLE,PRF_ESTIMATE,PRF_MG_ERROR,PCT_ESTIMATE,PCT_MG_ERROR
DP03,5001800US3301,"Congressional District 1 (118th Congress), New Hampshire",0,SELECTED ECONOMIC CHARACTERISTICS,,,,
DP03,5001800US3301,"Congressional District 1 (118th Congress), New Hampshire",0.5,,,,,
DP03,5001800US3301,"Congressional District 1 (118th Congress), New Hampshire",0.8,EMPLOYMENT STATUS,,,,
DP03,5001800US3301,"Congressional District 1 (118th Congress), New Hampshire",1,Population 16 years and over,"583,583","+/-5,602","583,583",(X)
DP03,5001800US3301,"Congressional District 1 (118th Congress), New Hampshire",2,In labor force,"399,283","+/-6,705",68.4,+/-1.0
DP03,5001800US3301,"Congressional District 1 (118th Congress), New Hampshire",3,Civilian labor force,"397,329","+/-6,628",68.1,+/-1.0
DP03,5001800US3301,"Congressional District 1 (118th Congress), New Hampshire",4,Employed,"383,956","+/-7,047",65.8,+/-1.1
DP03,5001800US3301,"Congressional District 1 (118th Congress), New Hampshire",5,Unemployed,"13,373","+/-2,452",2.3,+/-0.4
DP03,5001800US3301,"Congressional District 1 (118th Congress), New Hampshire",6,Armed Forces,"1,954","+/-1,021",0.3,+/-0.2
DP03,5001800US3301,"Congressional District 1 (118th Congress), New Hampshire",7,Not in labor force,"184,300","+/-6,016",31.6,+/-1.0
DP03,5001800US3301,"Congressional District 1 (118th Congress), New Hampshire",7.3,,,,,
DP03,5001800US3301,"Congressional District 1 (118th Congress), New Hampshire",8,Civilian labor force,"397,329","+/-6,628","397,329",(X)
DP03,5001800US3301,"Congressional District 1 (118th Congress), New Hampshire",9,Unemployment Rate,(X),(X),3.4,+/-0.6
DP03,5001800US3301,"Congressional District 1 (118th Congress), New Hampshire",9.3,,,,,
DP03,5001800US3301,"Congressional District 1 (118th Congress), New Hampshire",10,Females 16 years and over,"296,896","+/-3,727","296,896",(X)
DP03,5001800US3301,"Congressional District 1 (118th Congress), New Hampshire",11,In labor force,"186,627","+/-4,344",62.9,+/-1.3
DP03,5001800US3301,"Congressional District 1 (118th Congress), New Hampshire",12,Civilian labor force,"186,231","+/-4,363",62.7,+/-1.3
DP03,5001800US3301,"Congressional District 1 (118th Congress), New Hampshire",13,Employed,"180,302","+/-4,368",60.7,+/-1.3
DP03,5001800US3301,"Congressional District 1 (118th Congress), New Hampshire",13.3,,,,,
DP03,5001800US3301,"Congressional District 1 (118th Congress), New Hampshire",14,Own children of the householder under 6 years,"38,092","+/-2,346","38,092",(X)
DP03,5001800US3301,"Congressional District 1 (118th Congress), New Hampshire",15,All parents in family in labor force,"27,850","+/-2,574",73.1,+/-5.0
DP03,5001800US3301,"Congressional District 1 (118th Congress), New Hampshire",15.3,,,,,
DP03,5001800US3301,"Congressional District 1 (118th Congress), New Hampshire",16,Own children of the householder 6 to 17 years,"85,034","+/-2,987","85,034",(X)
DP03,5001800US3301,"Congressional District 1 (118th Congress), New Hampshire",17,All parents in family in labor force,"64,124","+/-3,780",75.4,+/-3.8
DP03,5001800US3301,"Congressional District 1 (118th Congress), New Hampshire",17.3,,,,,
DP03,5001800US3301,"Congressional District 1 (118th Congress), New Hampshire",17.5,COMMUTING TO WORK,,,,
DP03,5001800US3301,"Congressional District 1 (118th Congress), New Hampshire",18,Workers 16 years and over,"378,365","+/-7,520","378,365",(X)
DP03,5001800US3301,"Congressional District 1 (118th Congress), New Hampshire",19,"Car, truck, or van -- drove alone","260,193","+/-7,916",68.8,+/-1.6
DP03,5001800US3301,"Congressional District 1 (118th Congress), New Hampshire",20,"Car, truck, or van -- carpooled","25,384","+/-3,254",6.7,+/-0.8
DP03,5001800US3301,"Congressional District 1 (118th Congress), New Hampshire",21,Public transportation (excluding taxicab),"1,259",+/-595,0.3,+/-0.2
DP03,5001800US3301,"Congressional District 1 (118th Congress), New Hampshire",22,Walked,"6,832","+/-1,414",1.8,+/-0.4
DP03,5001800US3301,"Congressional District 1 (118th Congress), New Hampshire",23,Other means,"4,950","+/-1,713",1.3,+/-0.4
DP03,5001800US3301,"Congressional District 1 (118th Congress), New Hampshire",24,Worked from home,"79,747","+/-5,455",21.1,+/-1.4
DP03,5001800US3301,"Congressional District 1 (118th Congress), New Hampshire",24.3,,,,,
DP03,5001800US3301,"Congressional District 1 (118th Congress), New Hampshire",25,Mean travel time to work (minutes),25.9,+/-0.7,(X),(X)
DP03,5001800US3301,"Congressional District 1 (118th Congress), New Hampshire",25.3,,,,,
DP03,5001800US3301,"Congressional District 1 (118th Congress), New Hampshire",25.5,OCCUPATION,,,,
DP03,5001800US3301,"Congressional District 1 (118th Congress), New Hampshire",26,Civilian employed population 16 years and over,"383,956","+/-7,047","383,956",(X)
DP03,5001800US3301,"Congressional District 1 (118th Congress), New Hampshire",27,"Management, business, science, and arts occupations","173,512","+/-6,601",45.2,+/-1.5
DP03,5001800US3301,"Congressional District 1 (118th Congress), New Hampshire",28,Service occupations,"49,288","+/-4,497",12.8,+/-1.2
DP03,5001800US3301,"Congressional District 1 (118th Congress), New Hampshire",29,Sales and office occupations,"82,867","+/-5,089",21.6,+/-1.2
DP03,5001800US3301,"Congressional District 1 (118th Congress), New Hampshire",30,"Natural resources, construction, and maintenance occupations","32,963","+/-3,455",8.6,+/-0.9
DP03,5001800US3301,"Congressional District 1 (118th Congress), New Hampshire",31,"Production, transportation, and material moving occupations","45,326","+/-3,826",11.8,+/-1.0
DP03,5001800US3301,"Congressional District 1 (118th Congress), New Hampshire",31.3,,,,,
DP03,5001800US3301,"Congressional District 1 (118th Congress), New Hampshire",31.5,INDUSTRY,,,,
DP03,5001800US3301,"Congressional District 1 (118th Congress), New Hampshire",32,Civilian employed population 16 years and over,"383,956","+/-7,047","383,956",(X)
DP03,5001800US3301,"Congressional District 1 (118th Congress), New Hampshire",33,"Agriculture, forestry, fishing and hunting, and mining","1,845",+/-966,0.5,+/-0.3
DP03,5001800US3301,"Congressional District 1 (118th Congress), New Hampshire",34,Construction,"25,645","+/-3,025",6.7,+/-0.8
DP03,5001800US3301,"Congressional District 1 (118th Congress), New Hampshire",35,Manufacturing,"47,940","+/-3,858",12.5,+/-1.0
DP03,5001800US3301,"Congressional District 1 (118th Congress), New Hampshire",36,Wholesale trade,"6,664","+/-1,304",1.7,+/-0.3
DP03,5001800US3301,"Congressional District 1 (118th Congress), New Hampshire",37,Retail trade,"44,812","+/-4,159",11.7,+/-1.0
DP03,5001800US3301,"Congressional District 1 (118th Congress), New Hampshire",38,"Transportation and warehousing, and utilities","17,188","+/-2,371",4.5,+/-0.6
DP03,5001800US3301,"Congressional District 1 (118th Congress), New Hampshire",39,Information,"7,965","+/-1,694",2.1,+/-0.4
DP03,5001800US3301,"Congressional District 1 (118th Congress), New Hampshire",40,"Finance and insurance, and real estate and rental and leasing","27,822","+/-2,794",7.2,+/-0.7
