TBLID,GEOID,GEONAME,PROFLN,TITLE,PRF_ESTIMATE,PRF_MG_ERROR,PCT_ESTIMATE,PCT_MG_ERROR
DP03,5001800US4600,"Congressional District (at Large) (118th Congress), South Dakota",0,SELECTED ECONOMIC CHARACTERISTICS,,,,
DP03,5001800US4600,"Congressional District (at Large) (118th Congress), South Dakota",0.5,,,,,
DP03,5001800US4600,"Congressional District (at Large) (118th Congress), South Dakota",0.8,EMPLOYMENT STATUS,,,,
DP03,5001800US4600,"Congressional District (at Large) (118th Congress), South Dakota",1,Population 16 years and over,"699,893","+/-2,126","699,893",(X)
DP03,5001800US4600,"Congressional District (at Large) (118th Congress), South Dakota",2,In labor force,"466,270","+/-5,908",66.6,+/-0.8
DP03,5001800US4600,"Congressional District (at Large) (118th Congress), South Dakota",3,Civilian labor force,"462,358","+/-5,993",66.1,+/-0.8
DP03,5001800US4600,"Congressional District (at Large) (118th Congress), South Dakota",4,Employed,"449,435","+/-6,155",64.2,+/-0.8
DP03,5001800US4600,"Congressional District (at Large) (118th Congress), South Dakota",5,Unemployed,"12,923","+/-1,965",1.8,+/-0.3
DP03,5001800US4600,"Congressional District (at Large) (118th Congress), South Dakota",6,Armed Forces,"3,912",+/-966,0.6,+/-0.1
DP03,5001800US4600,"Congressional District (at Large) (118th Congress), South Dakota",7,Not in labor force,"233,623","+/-5,219",33.4,+/-0.8
DP03,5001800US4600,"Congressional District (at Large) (118th Congress), South Dakota",7.3,,,,,
DP03,5001800US4600,"Congressional District (at Large) (118th Congress), South Dakota",8,Civilian labor force,"462,358","+/-5,993","462,358",(X)
DP03,5001800US4600,"Congressional District (at Large) (118th Congress), South Dakota",9,Unemployment Rate,(X),(X),2.8,+/-0.4
DP03,5001800US4600,"Congressional District (at Large) (118th Congress), South Dakota",9.3,,,,,
DP03,5001800US4600,"Congressional District (at Large) (118th Congress), South Dakota",10,Females 16 years and over,"347,398","+/-1,869","347,398",(X)
DP03,5001800US4600,"Congressional District (at Large) (118th Congress), South Dakota",11,In labor force,"218,879","+/-4,193",63.0,+/-1.1
DP03,5001800US4600,"Congressional District (at Large) (118th Congress), South Dakota",12,Civilian labor force,"218,304","+/-4,300",62.8,+/-1.1
DP03,5001800US4600,"Congressional District (at Large) (118th Congress), South Dakota",13,Employed,"213,271","+/-4,292",61.4,+/-1.1
DP03,5001800US4600,"Congressional District (at Large) (118th Congress), South Dakota",13.3,,,,,
DP03,5001800US4600,"Congressional District (at Large) (118th Congress), South Dakota",14,Own children of the householder under 6 years,"66,821","+/-2,058","66,821",(X)
DP03,5001800US4600,"Congressional District (at Large) (118th Congress), South Dakota",15,All parents in family in labor force,"49,331","+/-2,798",73.8,+/-3.5
DP03,5001800US4600,"Congressional District (at Large) (118th Congress), South Dakota",15.3,,,,,
DP03,5001800US4600,"Congressional District (at Large) (118th Congress), South Dakota",16,Own children of the householder 6 to 17 years,"138,601","+/-2,684","138,601",(X)
DP03,5001800US4600,"Congressional District (at Large) (118th Congress), South Dakota",17,All parents in family in labor force,"110,863","+/-3,771",80.0,+/-2.3
DP03,5001800US4600,"Congressional District (at Large) (118th Congress), South Dakota",17.3,,,,,
DP03,5001800US4600,"Congressional District (at Large) (118th Congress), South Dakota",17.5,COMMUTING TO WORK,,,,
DP03,5001800US4600,"Congressional District (at Large) (118th Congress), South Dakota",18,Workers 16 years and over,"445,606","+/-6,101","445,606",(X)
DP03,5001800US4600,"Congressional District (at Large) (118th Congress), South Dakota",19,"Car, truck, or van -- drove alone","339,064","+/-6,809",76.1,+/-1.1
DP03,5001800US4600,"Congressional District (at Large) (118th Congress), South Dakota",20,"Car, truck, or van -- carpooled","34,682","+/-3,480",7.8,+/-0.8
DP03,5001800US4600,"Congressional District (at Large) (118th Congress), South Dakota",21,Public transportation (excluding taxicab),"1,867",+/-750,0.4,+/-0.2
DP03,5001800US4600,"Congressional District (at Large) (118th Congress), South Dakota",22,Walked,"14,332","+/-1,975",3.2,+/-0.4
DP03,5001800US4600,"Congressional District (at Large) (118th Congress), South Dakota",23,Other means,"6,267","+/-1,567",1.4,+/-0.4
DP03,5001800US4600,"Congressional District (at Large) (118th Congress), South Dakota",24,Worked from home,"49,394","+/-3,394",11.1,+/-0.8
DP03,5001800US4600,"Congressional District (at Large) (118th Congress), South Dakota",24.3,,,,,
DP03,5001800US4600,"Congressional District (at Large) (118th Congress), South Dakota",25,Mean travel time to work (minutes),17.4,+/-0.5,(X),(X)
DP03,5001800US4600,"Congressional District (at Large) (118th Congress), South Dakota",25.3,,,,,
DP03,5001800US4600,"Congressional District (at Large) (118th Congress), South Dakota",25.5,OCCUPATION,,,,
DP03,5001800US4600,"Congressional District (at Large) (118th Congress), South Dakota",26,Civilian employed population 16 years and over,"449,435","+/-6,155","449,435",(X)
DP03,5001800US4600,"Congressional District (at Large) (118th Congress), South Dakota",27,"Management, business, science, and arts occupations","178,728","+/-5,864",39.8,+/-1.2
DP03,5001800US4600,"Congressional District (at Large) (118th Congress), South Dakota",28,Service occupations,"71,487","+/-4,231",15.9,+/-0.9
DP03,5001800US4600,"Congressional District (at Large) (118th Congress), South Dakota",29,Sales and office occupations,"90,829","+/-4,886",20.2,+/-1.0
DP03,5001800US4600,"Congressional District (at Large) (118th Congress), South Dakota",30,"Natural resources, construction, and maintenance occupations","47,869","+/-3,250",10.7,+/-0.7
DP03,5001800US4600,"Congressional District (at Large) (118th Congress), South Dakota",31,"Production, transportation, and material moving occupations","60,522","+/-3,857",13.5,+/-0.8
DP03,5001800US4600,"Congressional District (at Large) (118th Congress), South Dakota",31.3,,,,,
DP03,5001800US4600,"Congressional District (at Large) (118th Congress), South Dakota",31.5,INDUSTRY,,,,
DP03,5001800US4600,"Congressional District (at Large) (118th Congress), South Dakota",32,Civilian employed population 16 years and over,"449,435","+/-6,155","449,435",(X)
DP03,5001800US4600,"Congressional District (at Large) (118th Congress), South Dakota",33,"Agriculture, forestry, fishing and hunting, and mining","26,923","+/-2,239",6.0,+/-0.5
DP03,5001800US4600,"Congressional District (at Large) (118th Congress), South Dakota",34,Construction,"34,319","+/-3,251",7.6,+/-0.7
DP03,5001800US4600,"Congressional District (at Large) (118th Congress), South Dakota",35,Manufacturing,"44,338","+/-3,379",9.9,+/-0.7
DP03,5001800US4600,"Congressional District (at Large) (118th Congress), South Dakota",36,Wholesale trade,"10,609","+/-1,970",2.4,+/-0.4
DP03,5001800US4600,"Congressional District (at Large) (118th Congress), South Dakota",37,Retail trade,"54,662","+/-3,937",12.2,+/-0.8
DP03,5001800US4600,"Congressional District (at Large) (118th Congress), South Dakota",38,"Transportation and warehousing, and utilities","21,635","+/-2,209",4.8,+/-0.5
DP03,5001800US4600,"Congressional District (at Large) (118th Congress), South Dakota",39,Information,"6,386","+/-1,364",1.4,+/-0.3
DP03,5001800US4600,"Congressional District (at Large) (118th Congress), South Dakota",40,"Finance and insurance, and real estate and rental and leasing","34,029","+/-2,660",7.6,+/-0.6
DP03,5001800US4600,"Congressional District (at Large) (118th Congress), South Dakota",41,"Professional, scientific, and management, and administrative and waste management services","29,841","+/-2,963",6.6,+/-0.7
DP03,5001800US4600,"Congressional District (at Large) (118th Congress), South Dakota",42,"Educational services, and health care and social assistance","112,040","+/-4,761",24.9,+/-1.0
DP03,5001800US4600,"Congressional District (at Large) (118th Congress), South Dakota",43,"Arts, entertainment, and recreation, and accommodation and food services","35,053","+/-3,353",7.8,+/-0.7
DP03,5001800US4600,"Congressional District (at Large) (118th Congress), South Dakota",44,"Other services, except public administration","20,753","+/-2,698",4.6,+/-0.6
DP03,5001800US4600,"Congressional District (at Large) (118th Congress), South Dakota",45,Public administration,"18,847","+/-1,958",4.2,+/-0.4
DP03,5001800US4600,"Congressional District (at Large) (118th Congress), South Dakota",45.3,,,,,
DP03,5001800US4600,"Congressional District (at Large) (118th Congress), South Dakota",45.5,CLASS OF WORKER,,,,
DP03,5001800US4600,"Congressional District (at Large) (118th Congress), South Dakota",46,Civilian employed population 16 years and over,"449,435","+/-6,155","449,435",(X)
DP03,5001800US4600,"Congressional District (at Large) (118th Congress), South Dakota",47,Private wage and salary workers,"343,141","+/-7,270",76.3,+/-1.1
DP03,5001800US4600,"Congressional District (at Large) (118th Congress), South Dakota",48,Government workers,"67,359","+/-3,891",15.0,+/-0.9
DP03,5001800US4600,"Congressional District (at Large) (118th Congress), South Dakota",49,Self-employed in own not incorporated business workers,"38,045","+/-3,145",8.5,+/-0.7
DP03,5001800US4600,"Congressional District (at Large) (118th Congress), South Dakota",50,Unpaid family workers,890,+/-353,0.2,+/-0.1
DP03,5001800US4600,"Congressional District (at Large) (118th Congress), South Dakota",50.3,,,,,
DP03,5001800US4600,"Congressional District (at Large) (118th Congress), South Dakota",50.5,INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),,,,
DP03,5001800US4600,"Congressional District (at Large) (118th Congress), South Dakota",51,Total households,"356,887","+/-3,371","356,887",(X)
DP03,5001800US4600,"Congressional District (at Large) (118th Congress), South Dakota",52,"Less than $10,000","17,158","+/-2,111",4.8,+/-0.6
DP03,5001800US4600,"Congressional District (at Large) (118th Congress), South Dakota",53,"$10,000 to $14,999","13,889","+/-1,796",3.9,+/-0.5
DP03,5001800US4600,"Congressional District (at Large) (118th Congress), South Dakota",54,"$15,000 to $24,999","28,119","+/-1,978",7.9,+/-0.6
DP03,5001800US4600,"Congressional District (at Large) (118th Congress), South Dakota",55,"$25,000 to $34,999","30,404","+/-2,747",8.5,+/-0.8
DP03,5001800US4600,"Congressional District (at Large) (118th Congress), South Dakota",56,"$35,000 to $49,999","44,665","+/-3,078",12.5,+/-0.9
DP03,5001800US4600,"Congressional District (at Large) (118th Congress), South Dakota",57,"$50,000 to $74,999","67,849","+/-3,840",19.0,+/-1.0
DP03,5001800US4600,"Congressional District (at Large) (118th Congress), South Dakota",58,"$75,000 to $99,999","54,487","+/-3,419",15.3,+/-0.9
