TBLID,GEOID,GEONAME,PROFLN,TITLE,PRF_ESTIMATE,PRF_MG_ERROR,PCT_ESTIMATE,PCT_MG_ERROR
DP03,5001800US4901,"Congressional District 1 (118th Congress), Utah",0,SELECTED ECONOMIC CHARACTERISTICS,,,,
DP03,5001800US4901,"Congressional District 1 (118th Congress), Utah",0.5,,,,,
DP03,5001800US4901,"Congressional District 1 (118th Congress), Utah",0.8,EMPLOYMENT STATUS,,,,
DP03,5001800US4901,"Congressional District 1 (118th Congress), Utah",1,Population 16 years and over,"632,707","+/-7,231","632,707",(X)
DP03,5001800US4901,"Congressional District 1 (118th Congress), Utah",2,In labor force,"440,882","+/-7,431",69.7,+/-0.9
DP03,5001800US4901,"Congressional District 1 (118th Congress), Utah",3,Civilian labor force,"435,926","+/-7,494",68.9,+/-0.9
DP03,5001800US4901,"Congressional District 1 (118th Congress), Utah",4,Employed,"424,383","+/-7,735",67.1,+/-1.0
DP03,5001800US4901,"Congressional District 1 (118th Congress), Utah",5,Unemployed,"11,543","+/-1,762",1.8,+/-0.3
DP03,5001800US4901,"Congressional District 1 (118th Congress), Utah",6,Armed Forces,"4,956","+/-1,563",0.8,+/-0.2
DP03,5001800US4901,"Congressional District 1 (118th Congress), Utah",7,Not in labor force,"191,825","+/-6,301",30.3,+/-0.9
DP03,5001800US4901,"Congressional District 1 (118th Congress), Utah",7.3,,,,,
DP03,5001800US4901,"Congressional District 1 (118th Congress), Utah",8,Civilian labor force,"435,926","+/-7,494","435,926",(X)
DP03,5001800US4901,"Congressional District 1 (118th Congress), Utah",9,Unemployment Rate,(X),(X),2.6,+/-0.4
DP03,5001800US4901,"Congressional District 1 (118th Congress), Utah",9.3,,,,,
DP03,5001800US4901,"Congressional District 1 (118th Congress), Utah",10,Females 16 years and over,"313,916","+/-4,146","313,916",(X)
DP03,5001800US4901,"Congressional District 1 (118th Congress), Utah",11,In labor force,"196,464","+/-5,311",62.6,+/-1.4
DP03,5001800US4901,"Congressional District 1 (118th Congress), Utah",12,Civilian labor force,"195,919","+/-5,243",62.4,+/-1.4
DP03,5001800US4901,"Congressional District 1 (118th Congress), Utah",13,Employed,"190,649","+/-5,428",60.7,+/-1.4
DP03,5001800US4901,"Congressional District 1 (118th Congress), Utah",13.3,,,,,
DP03,5001800US4901,"Congressional District 1 (118th Congress), Utah",14,Own children of the householder under 6 years,"64,178","+/-3,246","64,178",(X)
DP03,5001800US4901,"Congressional District 1 (118th Congress), Utah",15,All parents in family in labor force,"36,762","+/-3,410",57.3,+/-4.0
DP03,5001800US4901,"Congressional District 1 (118th Congress), Utah",15.3,,,,,
DP03,5001800US4901,"Congressional District 1 (118th Congress), Utah",16,Own children of the householder 6 to 17 years,"159,449","+/-3,887","159,449",(X)
DP03,5001800US4901,"Congressional District 1 (118th Congress), Utah",17,All parents in family in labor force,"105,462","+/-5,729",66.1,+/-3.2
DP03,5001800US4901,"Congressional District 1 (118th Congress), Utah",17.3,,,,,
DP03,5001800US4901,"Congressional District 1 (118th Congress), Utah",17.5,COMMUTING TO WORK,,,,
DP03,5001800US4901,"Congressional District 1 (118th Congress), Utah",18,Workers 16 years and over,"421,965","+/-7,706","421,965",(X)
DP03,5001800US4901,"Congressional District 1 (118th Congress), Utah",19,"Car, truck, or van -- drove alone","287,171","+/-6,861",68.1,+/-1.3
DP03,5001800US4901,"Congressional District 1 (118th Congress), Utah",20,"Car, truck, or van -- carpooled","35,315","+/-4,002",8.4,+/-0.9
