TBLID,GEOID,GEONAME,PROFLN,TITLE,PRF_ESTIMATE,PRF_MG_ERROR,PCT_ESTIMATE,PCT_MG_ERROR
DP03,5001800US5000,"Congressional District (at Large) (118th Congress), Vermont",0,SELECTED ECONOMIC CHARACTERISTICS,,,,
DP03,5001800US5000,"Congressional District (at Large) (118th Congress), Vermont",0.5,,,,,
DP03,5001800US5000,"Congressional District (at Large) (118th Congress), Vermont",0.8,EMPLOYMENT STATUS,,,,
DP03,5001800US5000,"Congressional District (at Large) (118th Congress), Vermont",1,Population 16 years and over,"542,827","+/-1,239","542,827",(X)
DP03,5001800US5000,"Congressional District (at Large) (118th Congress), Vermont",2,In labor force,"349,096","+/-4,760",64.3,+/-0.9
DP03,5001800US5000,"Congressional District (at Large) (118th Congress), Vermont",3,Civilian labor force,"347,783","+/-4,854",64.1,+/-0.9
DP03,5001800US5000,"Congressional District (at Large) (118th Congress), Vermont",4,Employed,"333,135","+/-4,976",61.4,+/-0.9
DP03,5001800US5000,"Congressional District (at Large) (118th Congress), Vermont",5,Unemployed,"14,648","+/-1,989",2.7,+/-0.4
DP03,5001800US5000,"Congressional District (at Large) (118th Congress), Vermont",6,Armed Forces,"1,313",+/-639,0.2,+/-0.1
DP03,5001800US5000,"Congressional District (at Large) (118th Congress), Vermont",7,Not in labor force,"193,731","+/-4,690",35.7,+/-0.9
DP03,5001800US5000,"Congressional District (at Large) (118th Congress), Vermont",7.3,,,,,
DP03,5001800US5000,"Congressional District (at Large) (118th Congress), Vermont",8,Civilian labor force,"347,783","+/-4,854","347,783",(X)
DP03,5001800US5000,"Congressional District (at Large) (118th Congress), Vermont",9,Unemployment Rate,(X),(X),4.2,+/-0.6
DP03,5001800US5000,"Congressional District (at Large) (118th Congress), Vermont",9.3,,,,,
DP03,5001800US5000,"Congressional District (at Large) (118th Congress), Vermont",10,Females 16 years and over,"275,496","+/-1,173","275,496",(X)
DP03,5001800US5000,"Congressional District (at Large) (118th Congress), Vermont",11,In labor force,"169,753","+/-3,143",61.6,+/-1.1
DP03,5001800US5000,"Congressional District (at Large) (118th Congress), Vermont",12,Civilian labor force,"169,583","+/-3,167",61.6,+/-1.2
DP03,5001800US5000,"Congressional District (at Large) (118th Congress), Vermont",13,Employed,"163,418","+/-3,301",59.3,+/-1.2
DP03,5001800US5000,"Congressional District (at Large) (118th Congress), Vermont",13.3,,,,,
DP03,5001800US5000,"Congressional District (at Large) (118th Congress), Vermont",14,Own children of the householder under 6 years,"31,570","+/-1,161","31,570",(X)
DP03,5001800US5000,"Congressional District (at Large) (118th Congress), Vermont",15,All parents in family in labor force,"24,297","+/-1,516",77.0,+/-4.0
DP03,5001800US5000,"Congressional District (at Large) (118th Congress), Vermont",15.3,,,,,
DP03,5001800US5000,"Congressional District (at Large) (118th Congress), Vermont",16,Own children of the householder 6 to 17 years,"81,338","+/-1,614","81,338",(X)
DP03,5001800US5000,"Congressional District (at Large) (118th Congress), Vermont",17,All parents in family in labor force,"65,017","+/-2,505",79.9,+/-2.7
DP03,5001800US5000,"Congressional District (at Large) (118th Congress), Vermont",17.3,,,,,
DP03,5001800US5000,"Congressional District (at Large) (118th Congress), Vermont",17.5,COMMUTING TO WORK,,,,
DP03,5001800US5000,"Congressional District (at Large) (118th Congress), Vermont",18,Workers 16 years and over,"327,910","+/-4,771","327,910",(X)
DP03,5001800US5000,"Congressional District (at Large) (118th Congress), Vermont",19,"Car, truck, or van -- drove alone","220,259","+/-5,372",67.2,+/-1.4
DP03,5001800US5000,"Congressional District (at Large) (118th Congress), Vermont",20,"Car, truck, or van -- carpooled","24,108","+/-2,415",7.4,+/-0.7
DP03,5001800US5000,"Congressional District (at Large) (118th Congress), Vermont",21,Public transportation (excluding taxicab),"1,704",+/-767,0.5,+/-0.2
DP03,5001800US5000,"Congressional District (at Large) (118th Congress), Vermont",22,Walked,"12,881","+/-1,777",3.9,+/-0.5
DP03,5001800US5000,"Congressional District (at Large) (118th Congress), Vermont",23,Other means,"4,731","+/-1,032",1.4,+/-0.3
DP03,5001800US5000,"Congressional District (at Large) (118th Congress), Vermont",24,Worked from home,"64,227","+/-3,790",19.6,+/-1.1
DP03,5001800US5000,"Congressional District (at Large) (118th Congress), Vermont",24.3,,,,,
DP03,5001800US5000,"Congressional District (at Large) (118th Congress), Vermont",25,Mean travel time to work (minutes),23.0,+/-0.8,(X),(X)
DP03,5001800US5000,"Congressional District (at Large) (118th Congress), Vermont",25.3,,,,,
DP03,5001800US5000,"Congressional District (at Large) (118th Congress), Vermont",25.5,OCCUPATION,,,,
DP03,5001800US5000,"Congressional District (at Large) (118th Congress), Vermont",26,Civilian employed population 16 years and over,"333,135","+/-4,976","333,135",(X)
DP03,5001800US5000,"Congressional District (at Large) (118th Congress), Vermont",27,"Management, business, science, and arts occupations","156,758","+/-4,074",47.1,+/-1.2
DP03,5001800US5000,"Congressional District (at Large) (118th Congress), Vermont",28,Service occupations,"46,009","+/-3,266",13.8,+/-0.9
DP03,5001800US5000,"Congressional District (at Large) (118th Congress), Vermont",29,Sales and office occupations,"59,201","+/-3,629",17.8,+/-1.1
DP03,5001800US5000,"Congressional District (at Large) (118th Congress), Vermont",30,"Natural resources, construction, and maintenance occupations","34,263","+/-2,799",10.3,+/-0.8
DP03,5001800US5000,"Congressional District (at Large) (118th Congress), Vermont",31,"Production, transportation, and material moving occupations","36,904","+/-3,133",11.1,+/-0.9
DP03,5001800US5000,"Congressional District (at Large) (118th Congress), Vermont",31.3,,,,,
DP03,5001800US5000,"Congressional District (at Large) (118th Congress), Vermont",31.5,INDUSTRY,,,,
DP03,5001800US5000,"Congressional District (at Large) (118th Congress), Vermont",32,Civilian employed population 16 years and over,"333,135","+/-4,976","333,135",(X)
DP03,5001800US5000,"Congressional District (at Large) (118th Congress), Vermont",33,"Agriculture, forestry, fishing and hunting, and mining","8,859","+/-1,524",2.7,+/-0.5
DP03,5001800US5000,"Congressional District (at Large) (118th Congress), Vermont",34,Construction,"28,383","+/-3,037",8.5,+/-0.9
DP03,5001800US5000,"Congressional District (at Large) (118th Congress), Vermont",35,Manufacturing,"33,484","+/-2,568",10.1,+/-0.8
DP03,5001800US5000,"Congressional District (at Large) (118th Congress), Vermont",36,Wholesale trade,"5,449","+/-1,201",1.6,+/-0.4
DP03,5001800US5000,"Congressional District (at Large) (118th Congress), Vermont",37,Retail trade,"38,037","+/-3,330",11.4,+/-1.0
DP03,5001800US5000,"Congressional District (at Large) (118th Congress), Vermont",38,"Transportation and warehousing, and utilities","11,248","+/-1,582",3.4,+/-0.5
DP03,5001800US5000,"Congressional District (at Large) (118th Congress), Vermont",39,Information,"6,668","+/-1,319",2.0,+/-0.4
DP03,5001800US5000,"Congressional District (at Large) (118th Congress), Vermont",40,"Finance and insurance, and real estate and rental and leasing","16,367","+/-1,926",4.9,+/-0.6
DP03,5001800US5000,"Congressional District (at Large) (118th Congress), Vermont",41,"Professional, scientific, and management, and administrative and waste management services","31,848","+/-2,693",9.6,+/-0.8
DP03,5001800US5000,"Congressional District (at Large) (118th Congress), Vermont",42,"Educational services, and health care and social assistance","96,066","+/-4,409",28.8,+/-1.3
DP03,5001800US5000,"Congressional District (at Large) (118th Congress), Vermont",43,"Arts, entertainment, and recreation, and accommodation and food services","25,927","+/-2,633",7.8,+/-0.8
DP03,5001800US5000,"Congressional District (at Large) (118th Congress), Vermont",44,"Other services, except public administration","15,195","+/-1,885",4.6,+/-0.6
DP03,5001800US5000,"Congressional District (at Large) (118th Congress), Vermont",45,Public administration,"15,604","+/-2,023",4.7,+/-0.6
DP03,5001800US5000,"Congressional District (at Large) (118th Congress), Vermont",45.3,,,,,
DP03,5001800US5000,"Congressional District (at Large) (118th Congress), Vermont",45.5,CLASS OF WORKER,,,,
DP03,5001800US5000,"Congressional District (at Large) (118th Congress), Vermont",46,Civilian employed population 16 years and over,"333,135","+/-4,976","333,135",(X)
DP03,5001800US5000,"Congressional District (at Large) (118th Congress), Vermont",47,Private wage and salary workers,"253,388","+/-5,309",76.1,+/-1.2
DP03,5001800US5000,"Congressional District (at Large) (118th Congress), Vermont",48,Government workers,"50,369","+/-3,054",15.1,+/-0.9
DP03,5001800US5000,"Congressional District (at Large) (118th Congress), Vermont",49,Self-employed in own not incorporated business workers,"28,806","+/-2,506",8.6,+/-0.7
DP03,5001800US5000,"Congressional District (at Large) (118th Congress), Vermont",50,Unpaid family workers,572,+/-343,0.2,+/-0.1
DP03,5001800US5000,"Congressional District (at Large) (118th Congress), Vermont",50.3,,,,,
DP03,5001800US5000,"Congressional District (at Large) (118th Congress), Vermont",50.5,INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),,,,
DP03,5001800US5000,"Congressional District (at Large) (118th Congress), Vermont",51,Total households,"270,163","+/-3,018","270,163",(X)
DP03,5001800US5000,"Congressional District (at Large) (118th Congress), Vermont",52,"Less than $10,000","10,992","+/-1,489",4.1,+/-0.5
