TBLID,GEOID,GEONAME,PROFLN,TITLE,PRF_ESTIMATE,PRF_MG_ERROR,PCT_ESTIMATE,PCT_MG_ERROR
DP04,5001800US0200,"Congressional District (at Large) (118th Congress), Alaska",0,SELECTED HOUSING CHARACTERISTICS,,,,
DP04,5001800US0200,"Congressional District (at Large) (118th Congress), Alaska",0.5,,,,,
DP04,5001800US0200,"Congressional District (at Large) (118th Congress), Alaska",0.8,HOUSING OCCUPANCY,,,,
DP04,5001800US0200,"Congressional District (at Large) (118th Congress), Alaska",1,Total housing units,"327,889",+/-219,"327,889",(X)
DP04,5001800US0200,"Congressional District (at Large) (118th Congress), Alaska",2,Occupied housing units,"271,311","+/-3,313",82.7,+/-1.0
DP04,5001800US0200,"Congressional District (at Large) (118th Congress), Alaska",3,Vacant housing units,"56,578","+/-3,295",17.3,+/-1.0
DP04,5001800US0200,"Congressional District (at Large) (118th Congress), Alaska",3.3,,,,,
DP04,5001800US0200,"Congressional District (at Large) (118th Congress), Alaska",4,Homeowner vacancy rate,0.7,+/-0.3,(X),(X)
DP04,5001800US0200,"Congressional District (at Large) (118th Congress), Alaska",5,Rental vacancy rate,6.6,+/-1.5,(X),(X)
DP04,5001800US0200,"Congressional District (at Large) (118th Congress), Alaska",5.3,,,,,
DP04,5001800US0200,"Congressional District (at Large) (118th Congress), Alaska",5.5,UNITS IN STRUCTURE,,,,
DP04,5001800US0200,"Congressional District (at Large) (118th Congress), Alaska",6,Total housing units,"327,889",+/-219,"327,889",(X)
DP04,5001800US0200,"Congressional District (at Large) (118th Congress), Alaska",7,"1-unit, detached","205,054","+/-3,254",62.5,+/-1.0
DP04,5001800US0200,"Congressional District (at Large) (118th Congress), Alaska",8,"1-unit, attached","29,009","+/-2,670",8.8,+/-0.8
DP04,5001800US0200,"Congressional District (at Large) (118th Congress), Alaska",9,2 units,"15,049","+/-1,860",4.6,+/-0.6
DP04,5001800US0200,"Congressional District (at Large) (118th Congress), Alaska",10,3 or 4 units,"23,024","+/-2,040",7.0,+/-0.6
DP04,5001800US0200,"Congressional District (at Large) (118th Congress), Alaska",11,5 to 9 units,"13,962","+/-2,182",4.3,+/-0.7
DP04,5001800US0200,"Congressional District (at Large) (118th Congress), Alaska",12,10 to 19 units,"10,067","+/-1,562",3.1,+/-0.5
DP04,5001800US0200,"Congressional District (at Large) (118th Congress), Alaska",13,20 or more units,"17,302","+/-1,724",5.3,+/-0.5
DP04,5001800US0200,"Congressional District (at Large) (118th Congress), Alaska",14,Mobile home,"14,074","+/-1,666",4.3,+/-0.5
DP04,5001800US0200,"Congressional District (at Large) (118th Congress), Alaska",15,"Boat, RV, van, etc.",348,+/-251,0.1,+/-0.1
DP04,5001800US0200,"Congressional District (at Large) (118th Congress), Alaska",15.3,,,,,
DP04,5001800US0200,"Congressional District (at Large) (118th Congress), Alaska",15.5,YEAR STRUCTURE BUILT,,,,
DP04,5001800US0200,"Congressional District (at Large) (118th Congress), Alaska",16,Total housing units,"327,889",+/-219,"327,889",(X)
DP04,5001800US0200,"Congressional District (at Large) (118th Congress), Alaska",17,Built 2020 or later,861,+/-383,0.3,+/-0.1
DP04,5001800US0200,"Congressional District (at Large) (118th Congress), Alaska",18,Built 2010 to 2019,"26,781","+/-2,677",8.2,+/-0.8
DP04,5001800US0200,"Congressional District (at Large) (118th Congress), Alaska",19,Built 2000 to 2009,"55,863","+/-3,556",17.0,+/-1.1
DP04,5001800US0200,"Congressional District (at Large) (118th Congress), Alaska",20,Built 1990 to 1999,"39,610","+/-2,815",12.1,+/-0.9
DP04,5001800US0200,"Congressional District (at Large) (118th Congress), Alaska",21,Built 1980 to 1989,"81,054","+/-3,732",24.7,+/-1.1
DP04,5001800US0200,"Congressional District (at Large) (118th Congress), Alaska",22,Built 1970 to 1979,"75,903","+/-4,179",23.1,+/-1.3
DP04,5001800US0200,"Congressional District (at Large) (118th Congress), Alaska",23,Built 1960 to 1969,"23,974","+/-2,163",7.3,+/-0.7
DP04,5001800US0200,"Congressional District (at Large) (118th Congress), Alaska",24,Built 1950 to 1959,"14,022","+/-1,611",4.3,+/-0.5
DP04,5001800US0200,"Congressional District (at Large) (118th Congress), Alaska",25,Built 1940 to 1949,"4,455",+/-829,1.4,+/-0.3
DP04,5001800US0200,"Congressional District (at Large) (118th Congress), Alaska",26,Built 1939 or earlier,"5,366","+/-1,047",1.6,+/-0.3
DP04,5001800US0200,"Congressional District (at Large) (118th Congress), Alaska",26.3,,,,,
DP04,5001800US0200,"Congressional District (at Large) (118th Congress), Alaska",26.5,ROOMS,,,,
DP04,5001800US0200,"Congressional District (at Large) (118th Congress), Alaska",27,Total housing units,"327,889",+/-219,"327,889",(X)
DP04,5001800US0200,"Congressional District (at Large) (118th Congress), Alaska",28,1 room,"20,861","+/-2,760",6.4,+/-0.8
DP04,5001800US0200,"Congressional District (at Large) (118th Congress), Alaska",29,2 rooms,"21,754","+/-2,014",6.6,+/-0.6
DP04,5001800US0200,"Congressional District (at Large) (118th Congress), Alaska",30,3 rooms,"35,863","+/-2,432",10.9,+/-0.7
DP04,5001800US0200,"Congressional District (at Large) (118th Congress), Alaska",31,4 rooms,"63,942","+/-3,018",19.5,+/-0.9
DP04,5001800US0200,"Congressional District (at Large) (118th Congress), Alaska",32,5 rooms,"58,093","+/-3,073",17.7,+/-0.9
DP04,5001800US0200,"Congressional District (at Large) (118th Congress), Alaska",33,6 rooms,"47,867","+/-3,372",14.6,+/-1.0
DP04,5001800US0200,"Congressional District (at Large) (118th Congress), Alaska",34,7 rooms,"26,872","+/-2,939",8.2,+/-0.9
