TBLID,GEOID,GEONAME,PROFLN,TITLE,PRF_ESTIMATE,PRF_MG_ERROR,PCT_ESTIMATE,PCT_MG_ERROR
DP04,5001800US0601,"Congressional District 1 (118th Congress), California",0,SELECTED HOUSING CHARACTERISTICS,,,,
DP04,5001800US0601,"Congressional District 1 (118th Congress), California",0.5,,,,,
DP04,5001800US0601,"Congressional District 1 (118th Congress), California",0.8,HOUSING OCCUPANCY,,,,
DP04,5001800US0601,"Congressional District 1 (118th Congress), California",1,Total housing units,"314,914","+/-2,061","314,914",(X)
DP04,5001800US0601,"Congressional District 1 (118th Congress), California",2,Occupied housing units,"282,349","+/-3,558",89.7,+/-0.9
DP04,5001800US0601,"Congressional District 1 (118th Congress), California",3,Vacant housing units,"32,565","+/-2,780",10.3,+/-0.9
DP04,5001800US0601,"Congressional District 1 (118th Congress), California",3.3,,,,,
DP04,5001800US0601,"Congressional District 1 (118th Congress), California",4,Homeowner vacancy rate,1.1,+/-0.5,(X),(X)
DP04,5001800US0601,"Congressional District 1 (118th Congress), California",5,Rental vacancy rate,3.2,+/-0.8,(X),(X)
DP04,5001800US0601,"Congressional District 1 (118th Congress), California",5.3,,,,,
DP04,5001800US0601,"Congressional District 1 (118th Congress), California",5.5,UNITS IN STRUCTURE,,,,
DP04,5001800US0601,"Congressional District 1 (118th Congress), California",6,Total housing units,"314,914","+/-2,061","314,914",(X)
DP04,5001800US0601,"Congressional District 1 (118th Congress), California",7,"1-unit, detached","213,162","+/-4,715",67.7,+/-1.4
DP04,5001800US0601,"Congressional District 1 (118th Congress), California",8,"1-unit, attached","9,408","+/-1,596",3.0,+/-0.5
DP04,5001800US0601,"Congressional District 1 (118th Congress), California",9,2 units,"8,048","+/-1,712",2.6,+/-0.5
DP04,5001800US0601,"Congressional District 1 (118th Congress), California",10,3 or 4 units,"16,177","+/-1,977",5.1,+/-0.6
DP04,5001800US0601,"Congressional District 1 (118th Congress), California",11,5 to 9 units,"13,465","+/-2,213",4.3,+/-0.7
DP04,5001800US0601,"Congressional District 1 (118th Congress), California",12,10 to 19 units,"6,394","+/-1,626",2.0,+/-0.5
DP04,5001800US0601,"Congressional District 1 (118th Congress), California",13,20 or more units,"14,686","+/-1,980",4.7,+/-0.6
DP04,5001800US0601,"Congressional District 1 (118th Congress), California",14,Mobile home,"31,737","+/-3,027",10.1,+/-1.0
DP04,5001800US0601,"Congressional District 1 (118th Congress), California",15,"Boat, RV, van, etc.","1,837",+/-726,0.6,+/-0.2
DP04,5001800US0601,"Congressional District 1 (118th Congress), California",15.3,,,,,
DP04,5001800US0601,"Congressional District 1 (118th Congress), California",15.5,YEAR STRUCTURE BUILT,,,,
DP04,5001800US0601,"Congressional District 1 (118th Congress), California",16,Total housing units,"314,914","+/-2,061","314,914",(X)
DP04,5001800US0601,"Congressional District 1 (118th Congress), California",17,Built 2020 or later,"3,295","+/-1,017",1.0,+/-0.3
DP04,5001800US0601,"Congressional District 1 (118th Congress), California",18,Built 2010 to 2019,"17,035","+/-2,326",5.4,+/-0.7
DP04,5001800US0601,"Congressional District 1 (118th Congress), California",19,Built 2000 to 2009,"44,997","+/-3,956",14.3,+/-1.2
DP04,5001800US0601,"Congressional District 1 (118th Congress), California",20,Built 1990 to 1999,"39,325","+/-2,999",12.5,+/-1.0
DP04,5001800US0601,"Congressional District 1 (118th Congress), California",21,Built 1980 to 1989,"57,625","+/-3,839",18.3,+/-1.2
DP04,5001800US0601,"Congressional District 1 (118th Congress), California",22,Built 1970 to 1979,"56,782","+/-4,281",18.0,+/-1.4
DP04,5001800US0601,"Congressional District 1 (118th Congress), California",23,Built 1960 to 1969,"29,745","+/-2,683",9.4,+/-0.8
DP04,5001800US0601,"Congressional District 1 (118th Congress), California",24,Built 1950 to 1959,"27,805","+/-2,493",8.8,+/-0.8
DP04,5001800US0601,"Congressional District 1 (118th Congress), California",25,Built 1940 to 1949,"14,651","+/-1,945",4.7,+/-0.6
DP04,5001800US0601,"Congressional District 1 (118th Congress), California",26,Built 1939 or earlier,"23,654","+/-2,244",7.5,+/-0.7
DP04,5001800US0601,"Congressional District 1 (118th Congress), California",26.3,,,,,
DP04,5001800US0601,"Congressional District 1 (118th Congress), California",26.5,ROOMS,,,,
DP04,5001800US0601,"Congressional District 1 (118th Congress), California",27,Total housing units,"314,914","+/-2,061","314,914",(X)
DP04,5001800US0601,"Congressional District 1 (118th Congress), California",28,1 room,"7,244","+/-1,355",2.3,+/-0.4
DP04,5001800US0601,"Congressional District 1 (118th Congress), California",29,2 rooms,"10,492","+/-1,647",3.3,+/-0.5
DP04,5001800US0601,"Congressional District 1 (118th Congress), California",30,3 rooms,"29,497","+/-3,230",9.4,+/-1.0
DP04,5001800US0601,"Congressional District 1 (118th Congress), California",31,4 rooms,"56,399","+/-3,851",17.9,+/-1.2
DP04,5001800US0601,"Congressional District 1 (118th Congress), California",32,5 rooms,"72,436","+/-3,894",23.0,+/-1.2
DP04,5001800US0601,"Congressional District 1 (118th Congress), California",33,6 rooms,"57,426","+/-3,726",18.2,+/-1.2
DP04,5001800US0601,"Congressional District 1 (118th Congress), California",34,7 rooms,"40,160","+/-3,036",12.8,+/-1.0
DP04,5001800US0601,"Congressional District 1 (118th Congress), California",35,8 rooms,"20,049","+/-1,952",6.4,+/-0.6
DP04,5001800US0601,"Congressional District 1 (118th Congress), California",36,9 rooms or more,"21,211","+/-2,366",6.7,+/-0.7
DP04,5001800US0601,"Congressional District 1 (118th Congress), California",37,Median rooms,5.2,+/-0.2,(X),(X)
DP04,5001800US0601,"Congressional District 1 (118th Congress), California",37.3,,,,,
DP04,5001800US0601,"Congressional District 1 (118th Congress), California",37.5,BEDROOMS,,,,
DP04,5001800US0601,"Congressional District 1 (118th Congress), California",38,Total housing units,"314,914","+/-2,061","314,914",(X)
DP04,5001800US0601,"Congressional District 1 (118th Congress), California",39,No bedroom,"7,697","+/-1,412",2.4,+/-0.4
DP04,5001800US0601,"Congressional District 1 (118th Congress), California",40,1 bedroom,"31,195","+/-2,606",9.9,+/-0.8
DP04,5001800US0601,"Congressional District 1 (118th Congress), California",41,2 bedrooms,"88,919","+/-4,495",28.2,+/-1.4
DP04,5001800US0601,"Congressional District 1 (118th Congress), California",42,3 bedrooms,"139,103","+/-4,482",44.2,+/-1.3
DP04,5001800US0601,"Congressional District 1 (118th Congress), California",43,4 bedrooms,"42,065","+/-3,451",13.4,+/-1.1
DP04,5001800US0601,"Congressional District 1 (118th Congress), California",44,5 or more bedrooms,"5,935",+/-992,1.9,+/-0.3
DP04,5001800US0601,"Congressional District 1 (118th Congress), California",44.3,,,,,
DP04,5001800US0601,"Congressional District 1 (118th Congress), California",44.5,HOUSING TENURE,,,,
DP04,5001800US0601,"Congressional District 1 (118th Congress), California",45,Occupied housing units,"282,349","+/-3,558","282,349",(X)
DP04,5001800US0601,"Congressional District 1 (118th Congress), California",46,Owner-occupied,"170,124","+/-4,364",60.3,+/-1.5
DP04,5001800US0601,"Congressional District 1 (118th Congress), California",47,Renter-occupied,"112,225","+/-4,517",39.7,+/-1.5
