TBLID,GEOID,GEONAME,PROFLN,TITLE,PRF_ESTIMATE,PRF_MG_ERROR,PCT_ESTIMATE,PCT_MG_ERROR
DP04,5001800US0901,"Congressional District 1 (118th Congress), Connecticut",0,SELECTED HOUSING CHARACTERISTICS,,,,
DP04,5001800US0901,"Congressional District 1 (118th Congress), Connecticut",0.5,,,,,
DP04,5001800US0901,"Congressional District 1 (118th Congress), Connecticut",0.8,HOUSING OCCUPANCY,,,,
DP04,5001800US0901,"Congressional District 1 (118th Congress), Connecticut",1,Total housing units,"318,519","+/-4,094","318,519",(X)
DP04,5001800US0901,"Congressional District 1 (118th Congress), Connecticut",2,Occupied housing units,"294,878","+/-4,345",92.6,+/-0.9
DP04,5001800US0901,"Congressional District 1 (118th Congress), Connecticut",3,Vacant housing units,"23,641","+/-2,960",7.4,+/-0.9
DP04,5001800US0901,"Congressional District 1 (118th Congress), Connecticut",3.3,,,,,
DP04,5001800US0901,"Congressional District 1 (118th Congress), Connecticut",4,Homeowner vacancy rate,0.5,+/-0.3,(X),(X)
DP04,5001800US0901,"Congressional District 1 (118th Congress), Connecticut",5,Rental vacancy rate,5.2,+/-1.3,(X),(X)
DP04,5001800US0901,"Congressional District 1 (118th Congress), Connecticut",5.3,,,,,
DP04,5001800US0901,"Congressional District 1 (118th Congress), Connecticut",5.5,UNITS IN STRUCTURE,,,,
DP04,5001800US0901,"Congressional District 1 (118th Congress), Connecticut",6,Total housing units,"318,519","+/-4,094","318,519",(X)
DP04,5001800US0901,"Congressional District 1 (118th Congress), Connecticut",7,"1-unit, detached","178,468","+/-4,704",56.0,+/-1.2
DP04,5001800US0901,"Congressional District 1 (118th Congress), Connecticut",8,"1-unit, attached","20,477","+/-2,238",6.4,+/-0.7
DP04,5001800US0901,"Congressional District 1 (118th Congress), Connecticut",9,2 units,"21,066","+/-2,668",6.6,+/-0.8
DP04,5001800US0901,"Congressional District 1 (118th Congress), Connecticut",10,3 or 4 units,"28,193","+/-2,886",8.9,+/-0.9
DP04,5001800US0901,"Congressional District 1 (118th Congress), Connecticut",11,5 to 9 units,"17,058","+/-2,153",5.4,+/-0.7
DP04,5001800US0901,"Congressional District 1 (118th Congress), Connecticut",12,10 to 19 units,"14,773","+/-2,352",4.6,+/-0.7
DP04,5001800US0901,"Congressional District 1 (118th Congress), Connecticut",13,20 or more units,"36,280","+/-2,816",11.4,+/-0.9
DP04,5001800US0901,"Congressional District 1 (118th Congress), Connecticut",14,Mobile home,"2,204",+/-768,0.7,+/-0.2
DP04,5001800US0901,"Congressional District 1 (118th Congress), Connecticut",15,"Boat, RV, van, etc.",0,+/-217,0.0,+/-0.1
DP04,5001800US0901,"Congressional District 1 (118th Congress), Connecticut",15.3,,,,,
DP04,5001800US0901,"Congressional District 1 (118th Congress), Connecticut",15.5,YEAR STRUCTURE BUILT,,,,
DP04,5001800US0901,"Congressional District 1 (118th Congress), Connecticut",16,Total housing units,"318,519","+/-4,094","318,519",(X)
DP04,5001800US0901,"Congressional District 1 (118th Congress), Connecticut",17,Built 2020 or later,525,+/-471,0.2,+/-0.1
