TBLID,GEOID,GEONAME,PROFLN,TITLE,PRF_ESTIMATE,PRF_MG_ERROR,PCT_ESTIMATE,PCT_MG_ERROR
DP04,5001800US1201,"Congressional District 1 (118th Congress), Florida",0,SELECTED HOUSING CHARACTERISTICS,,,,
DP04,5001800US1201,"Congressional District 1 (118th Congress), Florida",0.5,,,,,
DP04,5001800US1201,"Congressional District 1 (118th Congress), Florida",0.8,HOUSING OCCUPANCY,,,,
DP04,5001800US1201,"Congressional District 1 (118th Congress), Florida",1,Total housing units,"363,628","+/-2,897","363,628",(X)
DP04,5001800US1201,"Congressional District 1 (118th Congress), Florida",2,Occupied housing units,"303,664","+/-5,538",83.5,+/-1.5
DP04,5001800US1201,"Congressional District 1 (118th Congress), Florida",3,Vacant housing units,"59,964","+/-5,745",16.5,+/-1.5
DP04,5001800US1201,"Congressional District 1 (118th Congress), Florida",3.3,,,,,
DP04,5001800US1201,"Congressional District 1 (118th Congress), Florida",4,Homeowner vacancy rate,1.5,+/-0.6,(X),(X)
DP04,5001800US1201,"Congressional District 1 (118th Congress), Florida",5,Rental vacancy rate,10.8,+/-2.8,(X),(X)
DP04,5001800US1201,"Congressional District 1 (118th Congress), Florida",5.3,,,,,
DP04,5001800US1201,"Congressional District 1 (118th Congress), Florida",5.5,UNITS IN STRUCTURE,,,,
DP04,5001800US1201,"Congressional District 1 (118th Congress), Florida",6,Total housing units,"363,628","+/-2,897","363,628",(X)
DP04,5001800US1201,"Congressional District 1 (118th Congress), Florida",7,"1-unit, detached","247,335","+/-4,205",68.0,+/-1.1
DP04,5001800US1201,"Congressional District 1 (118th Congress), Florida",8,"1-unit, attached","13,126","+/-1,935",3.6,+/-0.5
DP04,5001800US1201,"Congressional District 1 (118th Congress), Florida",9,2 units,"8,188","+/-2,030",2.3,+/-0.6
DP04,5001800US1201,"Congressional District 1 (118th Congress), Florida",10,3 or 4 units,"10,115","+/-1,821",2.8,+/-0.5
DP04,5001800US1201,"Congressional District 1 (118th Congress), Florida",11,5 to 9 units,"13,312","+/-2,866",3.7,+/-0.8
DP04,5001800US1201,"Congressional District 1 (118th Congress), Florida",12,10 to 19 units,"9,342","+/-1,923",2.6,+/-0.5
DP04,5001800US1201,"Congressional District 1 (118th Congress), Florida",13,20 or more units,"38,404","+/-3,498",10.6,+/-0.9
DP04,5001800US1201,"Congressional District 1 (118th Congress), Florida",14,Mobile home,"23,108","+/-2,978",6.4,+/-0.8
DP04,5001800US1201,"Congressional District 1 (118th Congress), Florida",15,"Boat, RV, van, etc.",698,+/-518,0.2,+/-0.1
DP04,5001800US1201,"Congressional District 1 (118th Congress), Florida",15.3,,,,,
DP04,5001800US1201,"Congressional District 1 (118th Congress), Florida",15.5,YEAR STRUCTURE BUILT,,,,
DP04,5001800US1201,"Congressional District 1 (118th Congress), Florida",16,Total housing units,"363,628","+/-2,897","363,628",(X)
DP04,5001800US1201,"Congressional District 1 (118th Congress), Florida",17,Built 2020 or later,"6,212","+/-1,582",1.7,+/-0.4
DP04,5001800US1201,"Congressional District 1 (118th Congress), Florida",18,Built 2010 to 2019,"50,369","+/-4,539",13.9,+/-1.2
DP04,5001800US1201,"Congressional District 1 (118th Congress), Florida",19,Built 2000 to 2009,"70,660","+/-5,264",19.4,+/-1.4
DP04,5001800US1201,"Congressional District 1 (118th Congress), Florida",20,Built 1990 to 1999,"58,005","+/-4,554",16.0,+/-1.2
DP04,5001800US1201,"Congressional District 1 (118th Congress), Florida",21,Built 1980 to 1989,"62,334","+/-4,330",17.1,+/-1.2
DP04,5001800US1201,"Congressional District 1 (118th Congress), Florida",22,Built 1970 to 1979,"48,926","+/-3,456",13.5,+/-1.0
DP04,5001800US1201,"Congressional District 1 (118th Congress), Florida",23,Built 1960 to 1969,"29,268","+/-3,230",8.0,+/-0.9
DP04,5001800US1201,"Congressional District 1 (118th Congress), Florida",24,Built 1950 to 1959,"23,225","+/-2,027",6.4,+/-0.6
DP04,5001800US1201,"Congressional District 1 (118th Congress), Florida",25,Built 1940 to 1949,"9,180","+/-1,671",2.5,+/-0.5
DP04,5001800US1201,"Congressional District 1 (118th Congress), Florida",26,Built 1939 or earlier,"5,449","+/-1,149",1.5,+/-0.3
