TBLID,GEOID,GEONAME,PROFLN,TITLE,PRF_ESTIMATE,PRF_MG_ERROR,PCT_ESTIMATE,PCT_MG_ERROR
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",0,SELECTED HOUSING CHARACTERISTICS,,,,
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",0.5,,,,,
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",0.8,HOUSING OCCUPANCY,,,,
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",1,Total housing units,"346,723","+/-2,544","346,723",(X)
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",2,Occupied housing units,"297,513","+/-3,738",85.8,+/-1.0
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",3,Vacant housing units,"49,210","+/-3,564",14.2,+/-1.0
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",3.3,,,,,
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",4,Homeowner vacancy rate,0.7,+/-0.3,(X),(X)
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",5,Rental vacancy rate,4.5,+/-1.4,(X),(X)
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",5.3,,,,,
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",5.5,UNITS IN STRUCTURE,,,,
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",6,Total housing units,"346,723","+/-2,544","346,723",(X)
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",7,"1-unit, detached","248,291","+/-4,345",71.6,+/-1.3
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",8,"1-unit, attached","5,265","+/-1,310",1.5,+/-0.4
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",9,2 units,"11,513","+/-1,621",3.3,+/-0.5
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",10,3 or 4 units,"12,773","+/-1,901",3.7,+/-0.5
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",11,5 to 9 units,"11,604","+/-1,859",3.3,+/-0.5
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",12,10 to 19 units,"5,360","+/-1,091",1.5,+/-0.3
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",13,20 or more units,"5,432","+/-1,245",1.6,+/-0.4
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",14,Mobile home,"46,061","+/-3,716",13.3,+/-1.1
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",15,"Boat, RV, van, etc.",424,+/-284,0.1,+/-0.1
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",15.3,,,,,
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",15.5,YEAR STRUCTURE BUILT,,,,
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",16,Total housing units,"346,723","+/-2,544","346,723",(X)
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",17,Built 2020 or later,"2,225",+/-816,0.6,+/-0.2
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",18,Built 2010 to 2019,"27,957","+/-3,038",8.1,+/-0.9
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",19,Built 2000 to 2009,"45,067","+/-3,112",13.0,+/-0.9
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",20,Built 1990 to 1999,"53,884","+/-3,613",15.5,+/-1.0
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",21,Built 1980 to 1989,"43,042","+/-2,854",12.4,+/-0.8
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",22,Built 1970 to 1979,"60,061","+/-3,892",17.3,+/-1.1
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",23,Built 1960 to 1969,"39,042","+/-3,097",11.3,+/-0.9
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",24,Built 1950 to 1959,"35,449","+/-3,101",10.2,+/-0.9
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",25,Built 1940 to 1949,"14,465","+/-1,989",4.2,+/-0.6
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",26,Built 1939 or earlier,"25,531","+/-2,226",7.4,+/-0.6
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",26.3,,,,,
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",26.5,ROOMS,,,,
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",27,Total housing units,"346,723","+/-2,544","346,723",(X)
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",28,1 room,"3,896","+/-1,081",1.1,+/-0.3
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",29,2 rooms,"5,363","+/-1,288",1.5,+/-0.4
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",30,3 rooms,"26,370","+/-2,850",7.6,+/-0.8
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",31,4 rooms,"51,441","+/-3,928",14.8,+/-1.1
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",32,5 rooms,"74,707","+/-4,330",21.5,+/-1.3
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",33,6 rooms,"66,319","+/-3,457",19.1,+/-1.0
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",34,7 rooms,"44,739","+/-3,378",12.9,+/-1.0
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",35,8 rooms,"31,442","+/-2,324",9.1,+/-0.7
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",36,9 rooms or more,"42,446","+/-3,212",12.2,+/-0.9
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",37,Median rooms,5.7,+/-0.1,(X),(X)
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",37.3,,,,,
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",37.5,BEDROOMS,,,,
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",38,Total housing units,"346,723","+/-2,544","346,723",(X)
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",39,No bedroom,"4,457","+/-1,176",1.3,+/-0.3
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",40,1 bedroom,"22,832","+/-2,160",6.6,+/-0.6
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",41,2 bedrooms,"89,560","+/-4,119",25.8,+/-1.1
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",42,3 bedrooms,"172,249","+/-5,250",49.7,+/-1.6
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",43,4 bedrooms,"45,821","+/-2,983",13.2,+/-0.8
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",44,5 or more bedrooms,"11,804","+/-1,642",3.4,+/-0.5
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",44.3,,,,,
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",44.5,HOUSING TENURE,,,,
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",45,Occupied housing units,"297,513","+/-3,738","297,513",(X)
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",46,Owner-occupied,"210,395","+/-4,260",70.7,+/-1.2
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",47,Renter-occupied,"87,118","+/-3,865",29.3,+/-1.2
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",47.3,,,,,
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",48,Average household size of owner-occupied unit,2.49,+/-0.04,(X),(X)
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",49,Average household size of renter-occupied unit,2.24,+/-0.08,(X),(X)
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",49.3,,,,,
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",49.5,YEAR HOUSEHOLDER MOVED INTO UNIT,,,,
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",50,Occupied housing units,"297,513","+/-3,738","297,513",(X)
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",51,Moved in 2019 or later,"73,404","+/-4,210",24.7,+/-1.3
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",52,Moved in 2015 to 2018,"59,166","+/-3,678",19.9,+/-1.2
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",53,Moved in 2010 to 2014,"39,562","+/-3,095",13.3,+/-1.0
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",54,Moved in 2000 to 2009,"54,082","+/-3,190",18.2,+/-1.0
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",55,Moved in 1990 to 1999,"36,250","+/-2,280",12.2,+/-0.8
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",56,Moved in 1989 and earlier,"35,049","+/-2,524",11.8,+/-0.9
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",56.3,,,,,
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",56.5,VEHICLES AVAILABLE,,,,
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",57,Occupied housing units,"297,513","+/-3,738","297,513",(X)
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",58,No vehicles available,"16,566","+/-2,117",5.6,+/-0.7
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",59,1 vehicle available,"90,954","+/-4,948",30.6,+/-1.6
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",60,2 vehicles available,"112,526","+/-4,975",37.8,+/-1.6
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",61,3 or more vehicles available,"77,467","+/-3,974",26.0,+/-1.3
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",61.3,,,,,
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",61.5,HOUSE HEATING FUEL,,,,
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",62,Occupied housing units,"297,513","+/-3,738","297,513",(X)
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",63,Utility gas,"85,649","+/-3,883",28.8,+/-1.2
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",64,"Bottled, tank, or LP gas","32,615","+/-2,365",11.0,+/-0.8
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",65,Electricity,"167,108","+/-4,997",56.2,+/-1.5
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",66,"Fuel oil, kerosene, etc.",808,+/-390,0.3,+/-0.1
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",67,Coal or coke,0,+/-208,0.0,+/-0.1
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",68,Wood,"9,246","+/-1,477",3.1,+/-0.5
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",69,Solar energy,52,+/-75,0.0,+/-0.1
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",70,Other fuel,916,+/-525,0.3,+/-0.2
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",71,No fuel used,"1,119",+/-556,0.4,+/-0.2
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",71.3,,,,,
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",71.5,SELECTED CHARACTERISTICS,,,,
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",72,Occupied housing units,"297,513","+/-3,738","297,513",(X)
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",73,Lacking complete plumbing facilities,"1,806",+/-731,0.6,+/-0.2
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",74,Lacking complete kitchen facilities,"2,405",+/-811,0.8,+/-0.3
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",75,No telephone service available,"4,746","+/-1,253",1.6,+/-0.4
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",75.3,,,,,
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",75.5,OCCUPANTS PER ROOM,,,,
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",76,Occupied housing units,"297,513","+/-3,738","297,513",(X)
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",77,1.00 or less,"290,064","+/-3,717",97.5,+/-0.5
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",78,1.01 to 1.50,"5,483","+/-1,385",1.8,+/-0.5
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",79,1.51 or more,"1,966",+/-866,0.7,+/-0.3
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",79.3,,,,,
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",79.5,VALUE,,,,
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",80,Owner-occupied units,"210,395","+/-4,260","210,395",(X)
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",81,"Less than $50,000","25,647","+/-2,324",12.2,+/-1.1
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",82,"$50,000 to $99,999","44,466","+/-2,800",21.1,+/-1.2
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",83,"$100,000 to $149,999","37,044","+/-3,394",17.6,+/-1.5
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",84,"$150,000 to $199,999","39,100","+/-2,668",18.6,+/-1.3
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",85,"$200,000 to $299,999","33,308","+/-2,292",15.8,+/-1.1
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",86,"$300,000 to $499,999","22,926","+/-1,889",10.9,+/-0.9
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",87,"$500,000 to $999,999","6,284","+/-1,240",3.0,+/-0.6
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",88,"$1,000,000 or more","1,620",+/-679,0.8,+/-0.3
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",89,Median (dollars),"146,800","+/-5,954",(X),(X)
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",89.3,,,,,
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",89.5,MORTGAGE STATUS,,,,
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",90,Owner-occupied units,"210,395","+/-4,260","210,395",(X)
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",91,Housing units with a mortgage,"107,606","+/-4,428",51.1,+/-1.6
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",92,Housing units without a mortgage,"102,789","+/-3,634",48.9,+/-1.6
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",92.3,,,,,
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",92.5,SELECTED MONTHLY OWNER COSTS (SMOC),,,,
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",93,Housing units with a mortgage,"107,606","+/-4,428","107,606",(X)
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",94,Less than $500,"3,655",+/-991,3.4,+/-0.9
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",95,$500 to $999,"41,552","+/-3,127",38.6,+/-2.4
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",96,"$1,000 to $1,499","39,364","+/-3,155",36.6,+/-2.5
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",97,"$1,500 to $1,999","12,899","+/-1,960",12.0,+/-1.7
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",98,"$2,000 to $2,499","5,368","+/-1,312",5.0,+/-1.2
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",99,"$2,500 to $2,999","2,612",+/-956,2.4,+/-0.9
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",100,"$3,000 or more","2,156",+/-869,2.0,+/-0.8
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",101,Median (dollars),"1,091",+/-27,(X),(X)
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",101.3,,,,,
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",102,Housing units without a mortgage,"102,789","+/-3,634","102,789",(X)
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",103,Less than $250,"20,500","+/-1,868",19.9,+/-1.6
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",104,$250 to $399,"36,842","+/-2,678",35.8,+/-2.4
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",105,$400 to $599,"30,453","+/-2,607",29.6,+/-2.4
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",106,$600 to $799,"9,656","+/-1,434",9.4,+/-1.3
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",107,$800 to $999,"2,852",+/-845,2.8,+/-0.8
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",108,"$1,000 or more","2,486",+/-844,2.4,+/-0.8
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",109,Median (dollars),375,+/-10,(X),(X)
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",109.3,,,,,
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",109.5,SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI),,,,
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",110,Housing units with a mortgage (excluding units where SMOCAPI cannot be computed),"106,451","+/-4,395","106,451",(X)
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",111,Less than 20.0 percent,"58,144","+/-3,714",54.6,+/-2.7
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",112,20.0 to 24.9 percent,"13,802","+/-2,185",13.0,+/-1.9
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",113,25.0 to 29.9 percent,"9,262","+/-1,585",8.7,+/-1.5
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",114,30.0 to 34.9 percent,"6,235","+/-1,552",5.9,+/-1.4
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",115,35.0 percent or more,"19,008","+/-2,083",17.9,+/-1.9
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",115.3,,,,,
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",116,Not computed,"1,155",+/-468,(X),(X)
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",116.3,,,,,
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",117,Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed),"100,872","+/-3,730","100,872",(X)
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",118,Less than 10.0 percent,"52,382","+/-2,991",51.9,+/-2.4
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",119,10.0 to 14.9 percent,"19,095","+/-2,067",18.9,+/-2.0
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",120,15.0 to 19.9 percent,"8,900","+/-1,432",8.8,+/-1.4
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",121,20.0 to 24.9 percent,"4,839","+/-1,057",4.8,+/-1.0
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",122,25.0 to 29.9 percent,"3,884",+/-916,3.9,+/-0.9
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",123,30.0 to 34.9 percent,"2,106",+/-838,2.1,+/-0.8
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",124,35.0 percent or more,"9,666","+/-1,477",9.6,+/-1.4
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",124.3,,,,,
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",125,Not computed,"1,917",+/-582,(X),(X)
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",125.3,,,,,
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",125.5,GROSS RENT,,,,
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",126,Occupied units paying rent,"80,352","+/-3,819","80,352",(X)
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",127,Less than $500,"16,702","+/-2,202",20.8,+/-2.6
DP04,5001800US2101,"Congressional District 1 (118th Congress), Kentucky",128,$500 to $999,"48,110","+/-3,280",59.9,+/-3.0
