TBLID,GEOID,GEONAME,PROFLN,TITLE,PRF_ESTIMATE,PRF_MG_ERROR,PCT_ESTIMATE,PCT_MG_ERROR
DP04,5001800US2401,"Congressional District 1 (118th Congress), Maryland",0,SELECTED HOUSING CHARACTERISTICS,,,,
DP04,5001800US2401,"Congressional District 1 (118th Congress), Maryland",0.5,,,,,
DP04,5001800US2401,"Congressional District 1 (118th Congress), Maryland",0.8,HOUSING OCCUPANCY,,,,
DP04,5001800US2401,"Congressional District 1 (118th Congress), Maryland",1,Total housing units,"364,178","+/-2,511","364,178",(X)
DP04,5001800US2401,"Congressional District 1 (118th Congress), Maryland",2,Occupied housing units,"304,917","+/-3,566",83.7,+/-0.8
DP04,5001800US2401,"Congressional District 1 (118th Congress), Maryland",3,Vacant housing units,"59,261","+/-3,031",16.3,+/-0.8
DP04,5001800US2401,"Congressional District 1 (118th Congress), Maryland",3.3,,,,,
DP04,5001800US2401,"Congressional District 1 (118th Congress), Maryland",4,Homeowner vacancy rate,1.2,+/-0.5,(X),(X)
DP04,5001800US2401,"Congressional District 1 (118th Congress), Maryland",5,Rental vacancy rate,4.1,+/-1.5,(X),(X)
DP04,5001800US2401,"Congressional District 1 (118th Congress), Maryland",5.3,,,,,
DP04,5001800US2401,"Congressional District 1 (118th Congress), Maryland",5.5,UNITS IN STRUCTURE,,,,
DP04,5001800US2401,"Congressional District 1 (118th Congress), Maryland",6,Total housing units,"364,178","+/-2,511","364,178",(X)
DP04,5001800US2401,"Congressional District 1 (118th Congress), Maryland",7,"1-unit, detached","241,474","+/-4,836",66.3,+/-1.2
DP04,5001800US2401,"Congressional District 1 (118th Congress), Maryland",8,"1-unit, attached","37,703","+/-3,147",10.4,+/-0.9
DP04,5001800US2401,"Congressional District 1 (118th Congress), Maryland",9,2 units,"3,112",+/-902,0.9,+/-0.2
DP04,5001800US2401,"Congressional District 1 (118th Congress), Maryland",10,3 or 4 units,"8,567","+/-1,926",2.4,+/-0.5
DP04,5001800US2401,"Congressional District 1 (118th Congress), Maryland",11,5 to 9 units,"13,830","+/-2,110",3.8,+/-0.6
DP04,5001800US2401,"Congressional District 1 (118th Congress), Maryland",12,10 to 19 units,"17,735","+/-1,994",4.9,+/-0.6
DP04,5001800US2401,"Congressional District 1 (118th Congress), Maryland",13,20 or more units,"23,862","+/-2,383",6.6,+/-0.6
DP04,5001800US2401,"Congressional District 1 (118th Congress), Maryland",14,Mobile home,"17,895","+/-1,994",4.9,+/-0.5
DP04,5001800US2401,"Congressional District 1 (118th Congress), Maryland",15,"Boat, RV, van, etc.",0,+/-216,0.0,+/-0.1
DP04,5001800US2401,"Congressional District 1 (118th Congress), Maryland",15.3,,,,,
DP04,5001800US2401,"Congressional District 1 (118th Congress), Maryland",15.5,YEAR STRUCTURE BUILT,,,,
DP04,5001800US2401,"Congressional District 1 (118th Congress), Maryland",16,Total housing units,"364,178","+/-2,511","364,178",(X)
DP04,5001800US2401,"Congressional District 1 (118th Congress), Maryland",17,Built 2020 or later,"2,059",+/-832,0.6,+/-0.2
DP04,5001800US2401,"Congressional District 1 (118th Congress), Maryland",18,Built 2010 to 2019,"25,752","+/-2,912",7.1,+/-0.8
DP04,5001800US2401,"Congressional District 1 (118th Congress), Maryland",19,Built 2000 to 2009,"65,676","+/-3,866",18.0,+/-1.1
DP04,5001800US2401,"Congressional District 1 (118th Congress), Maryland",20,Built 1990 to 1999,"53,611","+/-3,046",14.7,+/-0.8
DP04,5001800US2401,"Congressional District 1 (118th Congress), Maryland",21,Built 1980 to 1989,"64,251","+/-4,115",17.6,+/-1.1
DP04,5001800US2401,"Congressional District 1 (118th Congress), Maryland",22,Built 1970 to 1979,"53,183","+/-3,418",14.6,+/-0.9
DP04,5001800US2401,"Congressional District 1 (118th Congress), Maryland",23,Built 1960 to 1969,"31,317","+/-3,081",8.6,+/-0.8
DP04,5001800US2401,"Congressional District 1 (118th Congress), Maryland",24,Built 1950 to 1959,"24,572","+/-2,689",6.7,+/-0.7
DP04,5001800US2401,"Congressional District 1 (118th Congress), Maryland",25,Built 1940 to 1949,"12,669","+/-1,806",3.5,+/-0.5
DP04,5001800US2401,"Congressional District 1 (118th Congress), Maryland",26,Built 1939 or earlier,"31,088","+/-2,535",8.5,+/-0.7
DP04,5001800US2401,"Congressional District 1 (118th Congress), Maryland",26.3,,,,,
DP04,5001800US2401,"Congressional District 1 (118th Congress), Maryland",26.5,ROOMS,,,,
DP04,5001800US2401,"Congressional District 1 (118th Congress), Maryland",27,Total housing units,"364,178","+/-2,511","364,178",(X)
DP04,5001800US2401,"Congressional District 1 (118th Congress), Maryland",28,1 room,"4,302","+/-1,280",1.2,+/-0.3
DP04,5001800US2401,"Congressional District 1 (118th Congress), Maryland",29,2 rooms,"5,440","+/-1,383",1.5,+/-0.4
DP04,5001800US2401,"Congressional District 1 (118th Congress), Maryland",30,3 rooms,"24,595","+/-2,438",6.8,+/-0.7
DP04,5001800US2401,"Congressional District 1 (118th Congress), Maryland",31,4 rooms,"42,458","+/-3,725",11.7,+/-1.0
DP04,5001800US2401,"Congressional District 1 (118th Congress), Maryland",32,5 rooms,"54,861","+/-3,751",15.1,+/-1.0
DP04,5001800US2401,"Congressional District 1 (118th Congress), Maryland",33,6 rooms,"65,491","+/-3,699",18.0,+/-1.0
DP04,5001800US2401,"Congressional District 1 (118th Congress), Maryland",34,7 rooms,"48,156","+/-3,302",13.2,+/-0.9
DP04,5001800US2401,"Congressional District 1 (118th Congress), Maryland",35,8 rooms,"44,991","+/-3,352",12.4,+/-0.9
DP04,5001800US2401,"Congressional District 1 (118th Congress), Maryland",36,9 rooms or more,"73,884","+/-4,018",20.3,+/-1.1
DP04,5001800US2401,"Congressional District 1 (118th Congress), Maryland",37,Median rooms,6.3,+/-0.1,(X),(X)
DP04,5001800US2401,"Congressional District 1 (118th Congress), Maryland",37.3,,,,,
DP04,5001800US2401,"Congressional District 1 (118th Congress), Maryland",37.5,BEDROOMS,,,,
DP04,5001800US2401,"Congressional District 1 (118th Congress), Maryland",38,Total housing units,"364,178","+/-2,511","364,178",(X)
DP04,5001800US2401,"Congressional District 1 (118th Congress), Maryland",39,No bedroom,"4,392","+/-1,299",1.2,+/-0.4
DP04,5001800US2401,"Congressional District 1 (118th Congress), Maryland",40,1 bedroom,"22,385","+/-2,906",6.1,+/-0.8
DP04,5001800US2401,"Congressional District 1 (118th Congress), Maryland",41,2 bedrooms,"76,869","+/-3,995",21.1,+/-1.1
DP04,5001800US2401,"Congressional District 1 (118th Congress), Maryland",42,3 bedrooms,"160,100","+/-5,168",44.0,+/-1.4
DP04,5001800US2401,"Congressional District 1 (118th Congress), Maryland",43,4 bedrooms,"78,338","+/-4,250",21.5,+/-1.1
DP04,5001800US2401,"Congressional District 1 (118th Congress), Maryland",44,5 or more bedrooms,"22,094","+/-2,254",6.1,+/-0.6
DP04,5001800US2401,"Congressional District 1 (118th Congress), Maryland",44.3,,,,,
DP04,5001800US2401,"Congressional District 1 (118th Congress), Maryland",44.5,HOUSING TENURE,,,,
DP04,5001800US2401,"Congressional District 1 (118th Congress), Maryland",45,Occupied housing units,"304,917","+/-3,566","304,917",(X)
DP04,5001800US2401,"Congressional District 1 (118th Congress), Maryland",46,Owner-occupied,"233,758","+/-4,728",76.7,+/-1.2
DP04,5001800US2401,"Congressional District 1 (118th Congress), Maryland",47,Renter-occupied,"71,159","+/-3,853",23.3,+/-1.2
DP04,5001800US2401,"Congressional District 1 (118th Congress), Maryland",47.3,,,,,
DP04,5001800US2401,"Congressional District 1 (118th Congress), Maryland",48,Average household size of owner-occupied unit,2.57,+/-0.04,(X),(X)
DP04,5001800US2401,"Congressional District 1 (118th Congress), Maryland",49,Average household size of renter-occupied unit,2.31,+/-0.11,(X),(X)
DP04,5001800US2401,"Congressional District 1 (118th Congress), Maryland",49.3,,,,,
DP04,5001800US2401,"Congressional District 1 (118th Congress), Maryland",49.5,YEAR HOUSEHOLDER MOVED INTO UNIT,,,,
