TBLID,GEOID,GEONAME,PROFLN,TITLE,PRF_ESTIMATE,PRF_MG_ERROR,PCT_ESTIMATE,PCT_MG_ERROR
DP04,5001800US2601,"Congressional District 1 (118th Congress), Michigan",0,SELECTED HOUSING CHARACTERISTICS,,,,
DP04,5001800US2601,"Congressional District 1 (118th Congress), Michigan",0.5,,,,,
DP04,5001800US2601,"Congressional District 1 (118th Congress), Michigan",0.8,HOUSING OCCUPANCY,,,,
DP04,5001800US2601,"Congressional District 1 (118th Congress), Michigan",1,Total housing units,"494,887","+/-1,238","494,887",(X)
DP04,5001800US2601,"Congressional District 1 (118th Congress), Michigan",2,Occupied housing units,"340,737","+/-3,974",68.9,+/-0.7
DP04,5001800US2601,"Congressional District 1 (118th Congress), Michigan",3,Vacant housing units,"154,150","+/-3,597",31.1,+/-0.7
DP04,5001800US2601,"Congressional District 1 (118th Congress), Michigan",3.3,,,,,
DP04,5001800US2601,"Congressional District 1 (118th Congress), Michigan",4,Homeowner vacancy rate,0.8,+/-0.2,(X),(X)
DP04,5001800US2601,"Congressional District 1 (118th Congress), Michigan",5,Rental vacancy rate,6.7,+/-2.1,(X),(X)
DP04,5001800US2601,"Congressional District 1 (118th Congress), Michigan",5.3,,,,,
DP04,5001800US2601,"Congressional District 1 (118th Congress), Michigan",5.5,UNITS IN STRUCTURE,,,,
DP04,5001800US2601,"Congressional District 1 (118th Congress), Michigan",6,Total housing units,"494,887","+/-1,238","494,887",(X)
DP04,5001800US2601,"Congressional District 1 (118th Congress), Michigan",7,"1-unit, detached","399,190","+/-3,642",80.7,+/-0.7
DP04,5001800US2601,"Congressional District 1 (118th Congress), Michigan",8,"1-unit, attached","9,893","+/-1,331",2.0,+/-0.3
DP04,5001800US2601,"Congressional District 1 (118th Congress), Michigan",9,2 units,"9,414","+/-1,281",1.9,+/-0.3
DP04,5001800US2601,"Congressional District 1 (118th Congress), Michigan",10,3 or 4 units,"7,390","+/-1,516",1.5,+/-0.3
DP04,5001800US2601,"Congressional District 1 (118th Congress), Michigan",11,5 to 9 units,"9,977","+/-1,416",2.0,+/-0.3
DP04,5001800US2601,"Congressional District 1 (118th Congress), Michigan",12,10 to 19 units,"6,884","+/-1,200",1.4,+/-0.2
DP04,5001800US2601,"Congressional District 1 (118th Congress), Michigan",13,20 or more units,"12,071","+/-1,770",2.4,+/-0.4
DP04,5001800US2601,"Congressional District 1 (118th Congress), Michigan",14,Mobile home,"39,886","+/-2,477",8.1,+/-0.5
DP04,5001800US2601,"Congressional District 1 (118th Congress), Michigan",15,"Boat, RV, van, etc.",182,+/-136,0.0,+/-0.1
DP04,5001800US2601,"Congressional District 1 (118th Congress), Michigan",15.3,,,,,
DP04,5001800US2601,"Congressional District 1 (118th Congress), Michigan",15.5,YEAR STRUCTURE BUILT,,,,
