TBLID,GEOID,GEONAME,PROFLN,TITLE,PRF_ESTIMATE,PRF_MG_ERROR,PCT_ESTIMATE,PCT_MG_ERROR
DP04,5001800US3201,"Congressional District 1 (118th Congress), Nevada",0,SELECTED HOUSING CHARACTERISTICS,,,,
DP04,5001800US3201,"Congressional District 1 (118th Congress), Nevada",0.5,,,,,
DP04,5001800US3201,"Congressional District 1 (118th Congress), Nevada",0.8,HOUSING OCCUPANCY,,,,
DP04,5001800US3201,"Congressional District 1 (118th Congress), Nevada",1,Total housing units,"322,301","+/-4,919","322,301",(X)
DP04,5001800US3201,"Congressional District 1 (118th Congress), Nevada",2,Occupied housing units,"284,998","+/-5,041",88.4,+/-0.9
DP04,5001800US3201,"Congressional District 1 (118th Congress), Nevada",3,Vacant housing units,"37,303","+/-2,998",11.6,+/-0.9
DP04,5001800US3201,"Congressional District 1 (118th Congress), Nevada",3.3,,,,,
DP04,5001800US3201,"Congressional District 1 (118th Congress), Nevada",4,Homeowner vacancy rate,1.2,+/-0.5,(X),(X)
DP04,5001800US3201,"Congressional District 1 (118th Congress), Nevada",5,Rental vacancy rate,10.5,+/-1.2,(X),(X)
DP04,5001800US3201,"Congressional District 1 (118th Congress), Nevada",5.3,,,,,
DP04,5001800US3201,"Congressional District 1 (118th Congress), Nevada",5.5,UNITS IN STRUCTURE,,,,
DP04,5001800US3201,"Congressional District 1 (118th Congress), Nevada",6,Total housing units,"322,301","+/-4,919","322,301",(X)
DP04,5001800US3201,"Congressional District 1 (118th Congress), Nevada",7,"1-unit, detached","166,576","+/-4,806",51.7,+/-1.3
DP04,5001800US3201,"Congressional District 1 (118th Congress), Nevada",8,"1-unit, attached","21,587","+/-2,566",6.7,+/-0.8
DP04,5001800US3201,"Congressional District 1 (118th Congress), Nevada",9,2 units,"2,835",+/-787,0.9,+/-0.2
DP04,5001800US3201,"Congressional District 1 (118th Congress), Nevada",10,3 or 4 units,"23,983","+/-2,670",7.4,+/-0.8
DP04,5001800US3201,"Congressional District 1 (118th Congress), Nevada",11,5 to 9 units,"23,325","+/-2,437",7.2,+/-0.8
DP04,5001800US3201,"Congressional District 1 (118th Congress), Nevada",12,10 to 19 units,"22,613","+/-2,881",7.0,+/-0.9
DP04,5001800US3201,"Congressional District 1 (118th Congress), Nevada",13,20 or more units,"45,960","+/-2,897",14.3,+/-0.9
DP04,5001800US3201,"Congressional District 1 (118th Congress), Nevada",14,Mobile home,"14,804","+/-2,020",4.6,+/-0.6
DP04,5001800US3201,"Congressional District 1 (118th Congress), Nevada",15,"Boat, RV, van, etc.",618,+/-307,0.2,+/-0.1
