TBLID,GEOID,GEONAME,PROFLN,TITLE,PRF_ESTIMATE,PRF_MG_ERROR,PCT_ESTIMATE,PCT_MG_ERROR
DP04,5001800US4201,"Congressional District 1 (118th Congress), Pennsylvania",0,SELECTED HOUSING CHARACTERISTICS,,,,
DP04,5001800US4201,"Congressional District 1 (118th Congress), Pennsylvania",0.5,,,,,
DP04,5001800US4201,"Congressional District 1 (118th Congress), Pennsylvania",0.8,HOUSING OCCUPANCY,,,,
DP04,5001800US4201,"Congressional District 1 (118th Congress), Pennsylvania",1,Total housing units,"302,961","+/-2,143","302,961",(X)
DP04,5001800US4201,"Congressional District 1 (118th Congress), Pennsylvania",2,Occupied housing units,"293,397","+/-2,672",96.8,+/-0.6
DP04,5001800US4201,"Congressional District 1 (118th Congress), Pennsylvania",3,Vacant housing units,"9,564","+/-1,677",3.2,+/-0.6
DP04,5001800US4201,"Congressional District 1 (118th Congress), Pennsylvania",3.3,,,,,
DP04,5001800US4201,"Congressional District 1 (118th Congress), Pennsylvania",4,Homeowner vacancy rate,0.6,+/-0.3,(X),(X)
DP04,5001800US4201,"Congressional District 1 (118th Congress), Pennsylvania",5,Rental vacancy rate,3.0,+/-1.2,(X),(X)
DP04,5001800US4201,"Congressional District 1 (118th Congress), Pennsylvania",5.3,,,,,
DP04,5001800US4201,"Congressional District 1 (118th Congress), Pennsylvania",5.5,UNITS IN STRUCTURE,,,,
DP04,5001800US4201,"Congressional District 1 (118th Congress), Pennsylvania",6,Total housing units,"302,961","+/-2,143","302,961",(X)
DP04,5001800US4201,"Congressional District 1 (118th Congress), Pennsylvania",7,"1-unit, detached","186,318","+/-4,217",61.5,+/-1.3
DP04,5001800US4201,"Congressional District 1 (118th Congress), Pennsylvania",8,"1-unit, attached","54,828","+/-3,571",18.1,+/-1.2
DP04,5001800US4201,"Congressional District 1 (118th Congress), Pennsylvania",9,2 units,"6,280","+/-1,129",2.1,+/-0.4
DP04,5001800US4201,"Congressional District 1 (118th Congress), Pennsylvania",10,3 or 4 units,"8,596","+/-1,626",2.8,+/-0.5
DP04,5001800US4201,"Congressional District 1 (118th Congress), Pennsylvania",11,5 to 9 units,"9,228","+/-1,628",3.0,+/-0.5
DP04,5001800US4201,"Congressional District 1 (118th Congress), Pennsylvania",12,10 to 19 units,"10,529","+/-1,731",3.5,+/-0.6
DP04,5001800US4201,"Congressional District 1 (118th Congress), Pennsylvania",13,20 or more units,"20,955","+/-2,083",6.9,+/-0.7
DP04,5001800US4201,"Congressional District 1 (118th Congress), Pennsylvania",14,Mobile home,"5,943","+/-1,299",2.0,+/-0.4
DP04,5001800US4201,"Congressional District 1 (118th Congress), Pennsylvania",15,"Boat, RV, van, etc.",284,+/-367,0.1,+/-0.1
DP04,5001800US4201,"Congressional District 1 (118th Congress), Pennsylvania",15.3,,,,,
DP04,5001800US4201,"Congressional District 1 (118th Congress), Pennsylvania",15.5,YEAR STRUCTURE BUILT,,,,
DP04,5001800US4201,"Congressional District 1 (118th Congress), Pennsylvania",16,Total housing units,"302,961","+/-2,143","302,961",(X)
DP04,5001800US4201,"Congressional District 1 (118th Congress), Pennsylvania",17,Built 2020 or later,"1,823",+/-884,0.6,+/-0.3
DP04,5001800US4201,"Congressional District 1 (118th Congress), Pennsylvania",18,Built 2010 to 2019,"15,982","+/-1,840",5.3,+/-0.6
DP04,5001800US4201,"Congressional District 1 (118th Congress), Pennsylvania",19,Built 2000 to 2009,"27,649","+/-2,677",9.1,+/-0.9
DP04,5001800US4201,"Congressional District 1 (118th Congress), Pennsylvania",20,Built 1990 to 1999,"39,250","+/-2,840",13.0,+/-0.9
DP04,5001800US4201,"Congressional District 1 (118th Congress), Pennsylvania",21,Built 1980 to 1989,"46,300","+/-2,758",15.3,+/-0.9
DP04,5001800US4201,"Congressional District 1 (118th Congress), Pennsylvania",22,Built 1970 to 1979,"49,486","+/-3,278",16.3,+/-1.1
DP04,5001800US4201,"Congressional District 1 (118th Congress), Pennsylvania",23,Built 1960 to 1969,"35,669","+/-2,725",11.8,+/-0.9
DP04,5001800US4201,"Congressional District 1 (118th Congress), Pennsylvania",24,Built 1950 to 1959,"47,054","+/-2,901",15.5,+/-1.0
DP04,5001800US4201,"Congressional District 1 (118th Congress), Pennsylvania",25,Built 1940 to 1949,"9,240","+/-1,229",3.0,+/-0.4
DP04,5001800US4201,"Congressional District 1 (118th Congress), Pennsylvania",26,Built 1939 or earlier,"30,508","+/-2,426",10.1,+/-0.8
DP04,5001800US4201,"Congressional District 1 (118th Congress), Pennsylvania",26.3,,,,,
DP04,5001800US4201,"Congressional District 1 (118th Congress), Pennsylvania",26.5,ROOMS,,,,
DP04,5001800US4201,"Congressional District 1 (118th Congress), Pennsylvania",27,Total housing units,"302,961","+/-2,143","302,961",(X)
DP04,5001800US4201,"Congressional District 1 (118th Congress), Pennsylvania",28,1 room,"5,864","+/-1,430",1.9,+/-0.5
DP04,5001800US4201,"Congressional District 1 (118th Congress), Pennsylvania",29,2 rooms,"5,713","+/-1,298",1.9,+/-0.4
DP04,5001800US4201,"Congressional District 1 (118th Congress), Pennsylvania",30,3 rooms,"17,292","+/-2,465",5.7,+/-0.8
DP04,5001800US4201,"Congressional District 1 (118th Congress), Pennsylvania",31,4 rooms,"30,917","+/-3,226",10.2,+/-1.1
DP04,5001800US4201,"Congressional District 1 (118th Congress), Pennsylvania",32,5 rooms,"33,327","+/-2,760",11.0,+/-0.9
DP04,5001800US4201,"Congressional District 1 (118th Congress), Pennsylvania",33,6 rooms,"50,112","+/-3,423",16.5,+/-1.1
DP04,5001800US4201,"Congressional District 1 (118th Congress), Pennsylvania",34,7 rooms,"43,066","+/-3,657",14.2,+/-1.2
DP04,5001800US4201,"Congressional District 1 (118th Congress), Pennsylvania",35,8 rooms,"42,615","+/-2,990",14.1,+/-1.0
DP04,5001800US4201,"Congressional District 1 (118th Congress), Pennsylvania",36,9 rooms or more,"74,055","+/-3,479",24.4,+/-1.1
DP04,5001800US4201,"Congressional District 1 (118th Congress), Pennsylvania",37,Median rooms,6.7,+/-0.1,(X),(X)
DP04,5001800US4201,"Congressional District 1 (118th Congress), Pennsylvania",37.3,,,,,
DP04,5001800US4201,"Congressional District 1 (118th Congress), Pennsylvania",37.5,BEDROOMS,,,,
