TBLID,GEOID,GEONAME,PROFLN,TITLE,PRF_ESTIMATE,PRF_MG_ERROR,PCT_ESTIMATE,PCT_MG_ERROR
DP04,5001800US4401,"Congressional District 1 (118th Congress), Rhode Island",0,SELECTED HOUSING CHARACTERISTICS,,,,
DP04,5001800US4401,"Congressional District 1 (118th Congress), Rhode Island",0.5,,,,,
DP04,5001800US4401,"Congressional District 1 (118th Congress), Rhode Island",0.8,HOUSING OCCUPANCY,,,,
DP04,5001800US4401,"Congressional District 1 (118th Congress), Rhode Island",1,Total housing units,"236,136","+/-3,706","236,136",(X)
DP04,5001800US4401,"Congressional District 1 (118th Congress), Rhode Island",2,Occupied housing units,"217,564","+/-3,948",92.1,+/-1.2
DP04,5001800US4401,"Congressional District 1 (118th Congress), Rhode Island",3,Vacant housing units,"18,572","+/-2,823",7.9,+/-1.2
DP04,5001800US4401,"Congressional District 1 (118th Congress), Rhode Island",3.3,,,,,
DP04,5001800US4401,"Congressional District 1 (118th Congress), Rhode Island",4,Homeowner vacancy rate,1.0,+/-0.7,(X),(X)
DP04,5001800US4401,"Congressional District 1 (118th Congress), Rhode Island",5,Rental vacancy rate,4.3,+/-1.2,(X),(X)
DP04,5001800US4401,"Congressional District 1 (118th Congress), Rhode Island",5.3,,,,,
DP04,5001800US4401,"Congressional District 1 (118th Congress), Rhode Island",5.5,UNITS IN STRUCTURE,,,,
DP04,5001800US4401,"Congressional District 1 (118th Congress), Rhode Island",6,Total housing units,"236,136","+/-3,706","236,136",(X)
DP04,5001800US4401,"Congressional District 1 (118th Congress), Rhode Island",7,"1-unit, detached","117,302","+/-3,945",49.7,+/-1.6
DP04,5001800US4401,"Congressional District 1 (118th Congress), Rhode Island",8,"1-unit, attached","8,075","+/-1,315",3.4,+/-0.6
DP04,5001800US4401,"Congressional District 1 (118th Congress), Rhode Island",9,2 units,"29,729","+/-3,153",12.6,+/-1.3
DP04,5001800US4401,"Congressional District 1 (118th Congress), Rhode Island",10,3 or 4 units,"37,548","+/-2,736",15.9,+/-1.1
DP04,5001800US4401,"Congressional District 1 (118th Congress), Rhode Island",11,5 to 9 units,"13,112","+/-2,257",5.6,+/-1.0
DP04,5001800US4401,"Congressional District 1 (118th Congress), Rhode Island",12,10 to 19 units,"7,673","+/-1,658",3.2,+/-0.7
DP04,5001800US4401,"Congressional District 1 (118th Congress), Rhode Island",13,20 or more units,"21,695","+/-2,328",9.2,+/-1.0
DP04,5001800US4401,"Congressional District 1 (118th Congress), Rhode Island",14,Mobile home,"1,002",+/-550,0.4,+/-0.2
DP04,5001800US4401,"Congressional District 1 (118th Congress), Rhode Island",15,"Boat, RV, van, etc.",0,+/-232,0.0,+/-0.1
DP04,5001800US4401,"Congressional District 1 (118th Congress), Rhode Island",15.3,,,,,
DP04,5001800US4401,"Congressional District 1 (118th Congress), Rhode Island",15.5,YEAR STRUCTURE BUILT,,,,
DP04,5001800US4401,"Congressional District 1 (118th Congress), Rhode Island",16,Total housing units,"236,136","+/-3,706","236,136",(X)
DP04,5001800US4401,"Congressional District 1 (118th Congress), Rhode Island",17,Built 2020 or later,652,+/-375,0.3,+/-0.2
DP04,5001800US4401,"Congressional District 1 (118th Congress), Rhode Island",18,Built 2010 to 2019,"7,038","+/-1,233",3.0,+/-0.5
DP04,5001800US4401,"Congressional District 1 (118th Congress), Rhode Island",19,Built 2000 to 2009,"12,154","+/-2,182",5.1,+/-0.9
DP04,5001800US4401,"Congressional District 1 (118th Congress), Rhode Island",20,Built 1990 to 1999,"11,673","+/-1,810",4.9,+/-0.8
DP04,5001800US4401,"Congressional District 1 (118th Congress), Rhode Island",21,Built 1980 to 1989,"26,466","+/-2,670",11.2,+/-1.1
DP04,5001800US4401,"Congressional District 1 (118th Congress), Rhode Island",22,Built 1970 to 1979,"26,570","+/-2,927",11.3,+/-1.2
DP04,5001800US4401,"Congressional District 1 (118th Congress), Rhode Island",23,Built 1960 to 1969,"26,089","+/-2,593",11.0,+/-1.1
DP04,5001800US4401,"Congressional District 1 (118th Congress), Rhode Island",24,Built 1950 to 1959,"25,570","+/-2,494",10.8,+/-1.1
DP04,5001800US4401,"Congressional District 1 (118th Congress), Rhode Island",25,Built 1940 to 1949,"14,990","+/-2,356",6.3,+/-1.0
DP04,5001800US4401,"Congressional District 1 (118th Congress), Rhode Island",26,Built 1939 or earlier,"84,934","+/-3,366",36.0,+/-1.4
DP04,5001800US4401,"Congressional District 1 (118th Congress), Rhode Island",26.3,,,,,
DP04,5001800US4401,"Congressional District 1 (118th Congress), Rhode Island",26.5,ROOMS,,,,
DP04,5001800US4401,"Congressional District 1 (118th Congress), Rhode Island",27,Total housing units,"236,136","+/-3,706","236,136",(X)
DP04,5001800US4401,"Congressional District 1 (118th Congress), Rhode Island",28,1 room,"6,886","+/-1,592",2.9,+/-0.7
DP04,5001800US4401,"Congressional District 1 (118th Congress), Rhode Island",29,2 rooms,"6,849","+/-1,231",2.9,+/-0.5
DP04,5001800US4401,"Congressional District 1 (118th Congress), Rhode Island",30,3 rooms,"24,928","+/-2,681",10.6,+/-1.1
DP04,5001800US4401,"Congressional District 1 (118th Congress), Rhode Island",31,4 rooms,"37,630","+/-3,408",15.9,+/-1.4
DP04,5001800US4401,"Congressional District 1 (118th Congress), Rhode Island",32,5 rooms,"46,872","+/-3,222",19.8,+/-1.3
DP04,5001800US4401,"Congressional District 1 (118th Congress), Rhode Island",33,6 rooms,"45,508","+/-3,716",19.3,+/-1.5
DP04,5001800US4401,"Congressional District 1 (118th Congress), Rhode Island",34,7 rooms,"24,631","+/-2,730",10.4,+/-1.1
DP04,5001800US4401,"Congressional District 1 (118th Congress), Rhode Island",35,8 rooms,"17,892","+/-2,356",7.6,+/-1.0
DP04,5001800US4401,"Congressional District 1 (118th Congress), Rhode Island",36,9 rooms or more,"24,940","+/-2,537",10.6,+/-1.1
DP04,5001800US4401,"Congressional District 1 (118th Congress), Rhode Island",37,Median rooms,5.4,+/-0.1,(X),(X)
DP04,5001800US4401,"Congressional District 1 (118th Congress), Rhode Island",37.3,,,,,
DP04,5001800US4401,"Congressional District 1 (118th Congress), Rhode Island",37.5,BEDROOMS,,,,
DP04,5001800US4401,"Congressional District 1 (118th Congress), Rhode Island",38,Total housing units,"236,136","+/-3,706","236,136",(X)
DP04,5001800US4401,"Congressional District 1 (118th Congress), Rhode Island",39,No bedroom,"7,226","+/-1,635",3.1,+/-0.7
DP04,5001800US4401,"Congressional District 1 (118th Congress), Rhode Island",40,1 bedroom,"35,321","+/-2,949",15.0,+/-1.2
DP04,5001800US4401,"Congressional District 1 (118th Congress), Rhode Island",41,2 bedrooms,"70,865","+/-3,979",30.0,+/-1.6
DP04,5001800US4401,"Congressional District 1 (118th Congress), Rhode Island",42,3 bedrooms,"85,378","+/-4,694",36.2,+/-1.8
DP04,5001800US4401,"Congressional District 1 (118th Congress), Rhode Island",43,4 bedrooms,"27,566","+/-2,815",11.7,+/-1.2
DP04,5001800US4401,"Congressional District 1 (118th Congress), Rhode Island",44,5 or more bedrooms,"9,780","+/-1,683",4.1,+/-0.7
DP04,5001800US4401,"Congressional District 1 (118th Congress), Rhode Island",44.3,,,,,
DP04,5001800US4401,"Congressional District 1 (118th Congress), Rhode Island",44.5,HOUSING TENURE,,,,
DP04,5001800US4401,"Congressional District 1 (118th Congress), Rhode Island",45,Occupied housing units,"217,564","+/-3,948","217,564",(X)
DP04,5001800US4401,"Congressional District 1 (118th Congress), Rhode Island",46,Owner-occupied,"125,633","+/-3,990",57.7,+/-1.6
