TBLID,GEOID,GEONAME,PROFLN,TITLE,PRF_ESTIMATE,PRF_MG_ERROR,PCT_ESTIMATE,PCT_MG_ERROR
DP04,5001800US5600,"Congressional District (at Large) (118th Congress), Wyoming",0,SELECTED HOUSING CHARACTERISTICS,,,,
DP04,5001800US5600,"Congressional District (at Large) (118th Congress), Wyoming",0.5,,,,,
DP04,5001800US5600,"Congressional District (at Large) (118th Congress), Wyoming",0.8,HOUSING OCCUPANCY,,,,
DP04,5001800US5600,"Congressional District (at Large) (118th Congress), Wyoming",1,Total housing units,"274,373",+/-94,"274,373",(X)
DP04,5001800US5600,"Congressional District (at Large) (118th Congress), Wyoming",2,Occupied housing units,"242,763","+/-2,909",88.5,+/-1.1
DP04,5001800US5600,"Congressional District (at Large) (118th Congress), Wyoming",3,Vacant housing units,"31,610","+/-2,929",11.5,+/-1.1
DP04,5001800US5600,"Congressional District (at Large) (118th Congress), Wyoming",3.3,,,,,
DP04,5001800US5600,"Congressional District (at Large) (118th Congress), Wyoming",4,Homeowner vacancy rate,0.7,+/-0.4,(X),(X)
DP04,5001800US5600,"Congressional District (at Large) (118th Congress), Wyoming",5,Rental vacancy rate,5.9,+/-1.5,(X),(X)
DP04,5001800US5600,"Congressional District (at Large) (118th Congress), Wyoming",5.3,,,,,
DP04,5001800US5600,"Congressional District (at Large) (118th Congress), Wyoming",5.5,UNITS IN STRUCTURE,,,,
DP04,5001800US5600,"Congressional District (at Large) (118th Congress), Wyoming",6,Total housing units,"274,373",+/-94,"274,373",(X)
DP04,5001800US5600,"Congressional District (at Large) (118th Congress), Wyoming",7,"1-unit, detached","187,670","+/-3,492",68.4,+/-1.3
DP04,5001800US5600,"Congressional District (at Large) (118th Congress), Wyoming",8,"1-unit, attached","14,385","+/-1,996",5.2,+/-0.7
DP04,5001800US5600,"Congressional District (at Large) (118th Congress), Wyoming",9,2 units,"4,509","+/-1,143",1.6,+/-0.4
DP04,5001800US5600,"Congressional District (at Large) (118th Congress), Wyoming",10,3 or 4 units,"12,363","+/-1,795",4.5,+/-0.7
DP04,5001800US5600,"Congressional District (at Large) (118th Congress), Wyoming",11,5 to 9 units,"7,428","+/-1,845",2.7,+/-0.7
DP04,5001800US5600,"Congressional District (at Large) (118th Congress), Wyoming",12,10 to 19 units,"5,139","+/-1,282",1.9,+/-0.5
DP04,5001800US5600,"Congressional District (at Large) (118th Congress), Wyoming",13,20 or more units,"9,058","+/-1,752",3.3,+/-0.6
DP04,5001800US5600,"Congressional District (at Large) (118th Congress), Wyoming",14,Mobile home,"33,270","+/-3,136",12.1,+/-1.1
DP04,5001800US5600,"Congressional District (at Large) (118th Congress), Wyoming",15,"Boat, RV, van, etc.",551,+/-476,0.2,+/-0.2
DP04,5001800US5600,"Congressional District (at Large) (118th Congress), Wyoming",15.3,,,,,
DP04,5001800US5600,"Congressional District (at Large) (118th Congress), Wyoming",15.5,YEAR STRUCTURE BUILT,,,,
DP04,5001800US5600,"Congressional District (at Large) (118th Congress), Wyoming",16,Total housing units,"274,373",+/-94,"274,373",(X)
DP04,5001800US5600,"Congressional District (at Large) (118th Congress), Wyoming",17,Built 2020 or later,"1,556",+/-726,0.6,+/-0.3
DP04,5001800US5600,"Congressional District (at Large) (118th Congress), Wyoming",18,Built 2010 to 2019,"28,772","+/-2,839",10.5,+/-1.0
DP04,5001800US5600,"Congressional District (at Large) (118th Congress), Wyoming",19,Built 2000 to 2009,"37,925","+/-3,297",13.8,+/-1.2
DP04,5001800US5600,"Congressional District (at Large) (118th Congress), Wyoming",20,Built 1990 to 1999,"31,210","+/-2,620",11.4,+/-1.0
DP04,5001800US5600,"Congressional District (at Large) (118th Congress), Wyoming",21,Built 1980 to 1989,"38,037","+/-3,319",13.9,+/-1.2
DP04,5001800US5600,"Congressional District (at Large) (118th Congress), Wyoming",22,Built 1970 to 1979,"54,558","+/-3,481",19.9,+/-1.3
DP04,5001800US5600,"Congressional District (at Large) (118th Congress), Wyoming",23,Built 1960 to 1969,"20,461","+/-2,317",7.5,+/-0.8
DP04,5001800US5600,"Congressional District (at Large) (118th Congress), Wyoming",24,Built 1950 to 1959,"21,687","+/-2,329",7.9,+/-0.8
