TBLID,GEOID,GEONAME,PROFLN,TITLE,PRF_ESTIMATE,PRF_MG_ERROR,PCT_ESTIMATE,PCT_MG_ERROR
DP05,5001800US0401,"Congressional District 1 (118th Congress), Arizona",0,ACS DEMOGRAPHIC AND HOUSING ESTIMATES,,,,
DP05,5001800US0401,"Congressional District 1 (118th Congress), Arizona",0.5,,,,,
DP05,5001800US0401,"Congressional District 1 (118th Congress), Arizona",0.8,SEX AND AGE,,,,
DP05,5001800US0401,"Congressional District 1 (118th Congress), Arizona",1,Total population,"796,924","+/-14,842","796,924",(X)
DP05,5001800US0401,"Congressional District 1 (118th Congress), Arizona",2,Male,"392,962","+/-8,106",49.3,+/-0.7
DP05,5001800US0401,"Congressional District 1 (118th Congress), Arizona",3,Female,"403,962","+/-10,133",50.7,+/-0.7
DP05,5001800US0401,"Congressional District 1 (118th Congress), Arizona",4,Sex ratio (males per 100 females),97.3,+/-2.6,(X),(X)
DP05,5001800US0401,"Congressional District 1 (118th Congress), Arizona",4.3,,,,,
DP05,5001800US0401,"Congressional District 1 (118th Congress), Arizona",5,Under 5 years,"36,516","+/-3,368",4.6,+/-0.4
DP05,5001800US0401,"Congressional District 1 (118th Congress), Arizona",6,5 to 9 years,"38,455","+/-3,366",4.8,+/-0.4
DP05,5001800US0401,"Congressional District 1 (118th Congress), Arizona",7,10 to 14 years,"39,334","+/-3,877",4.9,+/-0.5
DP05,5001800US0401,"Congressional District 1 (118th Congress), Arizona",8,15 to 19 years,"39,549","+/-3,530",5.0,+/-0.4
DP05,5001800US0401,"Congressional District 1 (118th Congress), Arizona",9,20 to 24 years,"39,033","+/-4,403",4.9,+/-0.5
DP05,5001800US0401,"Congressional District 1 (118th Congress), Arizona",10,25 to 34 years,"114,916","+/-6,962",14.4,+/-0.8
DP05,5001800US0401,"Congressional District 1 (118th Congress), Arizona",11,35 to 44 years,"100,014","+/-5,778",12.6,+/-0.7
DP05,5001800US0401,"Congressional District 1 (118th Congress), Arizona",12,45 to 54 years,"99,530","+/-5,590",12.5,+/-0.7
DP05,5001800US0401,"Congressional District 1 (118th Congress), Arizona",13,55 to 59 years,"61,260","+/-4,543",7.7,+/-0.6
DP05,5001800US0401,"Congressional District 1 (118th Congress), Arizona",14,60 to 64 years,"62,366","+/-4,854",7.8,+/-0.6
DP05,5001800US0401,"Congressional District 1 (118th Congress), Arizona",15,65 to 74 years,"94,039","+/-5,821",11.8,+/-0.7
DP05,5001800US0401,"Congressional District 1 (118th Congress), Arizona",16,75 to 84 years,"52,543","+/-3,928",6.6,+/-0.5
DP05,5001800US0401,"Congressional District 1 (118th Congress), Arizona",17,85 years and over,"19,369","+/-2,495",2.4,+/-0.3
DP05,5001800US0401,"Congressional District 1 (118th Congress), Arizona",17.3,,,,,
DP05,5001800US0401,"Congressional District 1 (118th Congress), Arizona",18,Median age (years),44.1,+/-1.0,(X),(X)
DP05,5001800US0401,"Congressional District 1 (118th Congress), Arizona",18.3,,,,,
DP05,5001800US0401,"Congressional District 1 (118th Congress), Arizona",19,Under 18 years,"141,342","+/-7,552",17.7,+/-0.8
DP05,5001800US0401,"Congressional District 1 (118th Congress), Arizona",20,16 years and over,"674,173","+/-13,240",84.6,+/-0.8
DP05,5001800US0401,"Congressional District 1 (118th Congress), Arizona",21,18 years and over,"655,582","+/-12,678",82.3,+/-0.8
DP05,5001800US0401,"Congressional District 1 (118th Congress), Arizona",22,21 years and over,"635,780","+/-12,387",79.8,+/-0.8
DP05,5001800US0401,"Congressional District 1 (118th Congress), Arizona",23,62 years and over,"203,155","+/-8,173",25.5,+/-1.0
DP05,5001800US0401,"Congressional District 1 (118th Congress), Arizona",24,65 years and over,"165,951","+/-7,833",20.8,+/-0.9
DP05,5001800US0401,"Congressional District 1 (118th Congress), Arizona",24.3,,,,,
DP05,5001800US0401,"Congressional District 1 (118th Congress), Arizona",25,18 years and over,"655,582","+/-12,678","655,582",(X)
DP05,5001800US0401,"Congressional District 1 (118th Congress), Arizona",26,Male,"318,797","+/-7,014",48.6,+/-0.7
DP05,5001800US0401,"Congressional District 1 (118th Congress), Arizona",27,Female,"336,785","+/-8,863",51.4,+/-0.7
DP05,5001800US0401,"Congressional District 1 (118th Congress), Arizona",28,Sex ratio (males per 100 females),94.7,+/-2.8,(X),(X)
DP05,5001800US0401,"Congressional District 1 (118th Congress), Arizona",28.3,,,,,
DP05,5001800US0401,"Congressional District 1 (118th Congress), Arizona",29,65 years and over,"165,951","+/-7,833","165,951",(X)
DP05,5001800US0401,"Congressional District 1 (118th Congress), Arizona",30,Male,"77,065","+/-4,078",46.4,+/-1.3
DP05,5001800US0401,"Congressional District 1 (118th Congress), Arizona",31,Female,"88,886","+/-4,931",53.6,+/-1.3
DP05,5001800US0401,"Congressional District 1 (118th Congress), Arizona",32,Sex ratio (males per 100 females),86.7,+/-4.7,(X),(X)
