TBLID,GEOID,GEONAME,PROFLN,TITLE,PRF_ESTIMATE,PRF_MG_ERROR,PCT_ESTIMATE,PCT_MG_ERROR
DP05,5001800US2201,"Congressional District 1 (118th Congress), Louisiana",0,ACS DEMOGRAPHIC AND HOUSING ESTIMATES,,,,
DP05,5001800US2201,"Congressional District 1 (118th Congress), Louisiana",0.5,,,,,
DP05,5001800US2201,"Congressional District 1 (118th Congress), Louisiana",0.8,SEX AND AGE,,,,
DP05,5001800US2201,"Congressional District 1 (118th Congress), Louisiana",1,Total population,"775,969","+/-12,048","775,969",(X)
DP05,5001800US2201,"Congressional District 1 (118th Congress), Louisiana",2,Male,"376,991","+/-7,501",48.6,+/-0.6
DP05,5001800US2201,"Congressional District 1 (118th Congress), Louisiana",3,Female,"398,978","+/-7,598",51.4,+/-0.6
DP05,5001800US2201,"Congressional District 1 (118th Congress), Louisiana",4,Sex ratio (males per 100 females),94.5,+/-2.2,(X),(X)
DP05,5001800US2201,"Congressional District 1 (118th Congress), Louisiana",4.3,,,,,
DP05,5001800US2201,"Congressional District 1 (118th Congress), Louisiana",5,Under 5 years,"47,248","+/-3,162",6.1,+/-0.4
DP05,5001800US2201,"Congressional District 1 (118th Congress), Louisiana",6,5 to 9 years,"48,600","+/-3,693",6.3,+/-0.5
DP05,5001800US2201,"Congressional District 1 (118th Congress), Louisiana",7,10 to 14 years,"49,609","+/-4,974",6.4,+/-0.6
DP05,5001800US2201,"Congressional District 1 (118th Congress), Louisiana",8,15 to 19 years,"48,433","+/-3,392",6.2,+/-0.4
DP05,5001800US2201,"Congressional District 1 (118th Congress), Louisiana",9,20 to 24 years,"44,589","+/-3,047",5.7,+/-0.4
DP05,5001800US2201,"Congressional District 1 (118th Congress), Louisiana",10,25 to 34 years,"97,045","+/-3,578",12.5,+/-0.5
DP05,5001800US2201,"Congressional District 1 (118th Congress), Louisiana",11,35 to 44 years,"106,438","+/-5,174",13.7,+/-0.6
DP05,5001800US2201,"Congressional District 1 (118th Congress), Louisiana",12,45 to 54 years,"85,868","+/-4,061",11.1,+/-0.5
