TBLID,GEOID,GEONAME,PROFLN,TITLE,PRF_ESTIMATE,PRF_MG_ERROR,PCT_ESTIMATE,PCT_MG_ERROR
DP05,5001800US2501,"Congressional District 1 (118th Congress), Massachusetts",0,ACS DEMOGRAPHIC AND HOUSING ESTIMATES,,,,
DP05,5001800US2501,"Congressional District 1 (118th Congress), Massachusetts",0.5,,,,,
DP05,5001800US2501,"Congressional District 1 (118th Congress), Massachusetts",0.8,SEX AND AGE,,,,
DP05,5001800US2501,"Congressional District 1 (118th Congress), Massachusetts",1,Total population,"776,085","+/-7,717","776,085",(X)
DP05,5001800US2501,"Congressional District 1 (118th Congress), Massachusetts",2,Male,"376,654","+/-5,275",48.5,+/-0.4
DP05,5001800US2501,"Congressional District 1 (118th Congress), Massachusetts",3,Female,"399,431","+/-4,381",51.5,+/-0.4
DP05,5001800US2501,"Congressional District 1 (118th Congress), Massachusetts",4,Sex ratio (males per 100 females),94.3,+/-1.4,(X),(X)
DP05,5001800US2501,"Congressional District 1 (118th Congress), Massachusetts",4.3,,,,,
DP05,5001800US2501,"Congressional District 1 (118th Congress), Massachusetts",5,Under 5 years,"37,932","+/-1,480",4.9,+/-0.2
DP05,5001800US2501,"Congressional District 1 (118th Congress), Massachusetts",6,5 to 9 years,"43,446","+/-3,423",5.6,+/-0.4
DP05,5001800US2501,"Congressional District 1 (118th Congress), Massachusetts",7,10 to 14 years,"47,969","+/-3,469",6.2,+/-0.4
DP05,5001800US2501,"Congressional District 1 (118th Congress), Massachusetts",8,15 to 19 years,"51,867","+/-2,317",6.7,+/-0.3
DP05,5001800US2501,"Congressional District 1 (118th Congress), Massachusetts",9,20 to 24 years,"50,454","+/-3,074",6.5,+/-0.4
DP05,5001800US2501,"Congressional District 1 (118th Congress), Massachusetts",10,25 to 34 years,"94,404","+/-2,799",12.2,+/-0.4
DP05,5001800US2501,"Congressional District 1 (118th Congress), Massachusetts",11,35 to 44 years,"97,401","+/-3,188",12.6,+/-0.4
DP05,5001800US2501,"Congressional District 1 (118th Congress), Massachusetts",12,45 to 54 years,"95,126","+/-2,765",12.3,+/-0.4
DP05,5001800US2501,"Congressional District 1 (118th Congress), Massachusetts",13,55 to 59 years,"54,875","+/-2,845",7.1,+/-0.4
DP05,5001800US2501,"Congressional District 1 (118th Congress), Massachusetts",14,60 to 64 years,"56,108","+/-2,626",7.2,+/-0.4
DP05,5001800US2501,"Congressional District 1 (118th Congress), Massachusetts",15,65 to 74 years,"90,207","+/-2,021",11.6,+/-0.3
DP05,5001800US2501,"Congressional District 1 (118th Congress), Massachusetts",16,75 to 84 years,"36,276","+/-2,277",4.7,+/-0.3
DP05,5001800US2501,"Congressional District 1 (118th Congress), Massachusetts",17,85 years and over,"20,020","+/-1,922",2.6,+/-0.2
DP05,5001800US2501,"Congressional District 1 (118th Congress), Massachusetts",17.3,,,,,
DP05,5001800US2501,"Congressional District 1 (118th Congress), Massachusetts",18,Median age (years),41.2,+/-0.5,(X),(X)
DP05,5001800US2501,"Congressional District 1 (118th Congress), Massachusetts",18.3,,,,,
DP05,5001800US2501,"Congressional District 1 (118th Congress), Massachusetts",19,Under 18 years,"158,018","+/-3,922",20.4,+/-0.4
DP05,5001800US2501,"Congressional District 1 (118th Congress), Massachusetts",20,16 years and over,"637,425","+/-5,874",82.1,+/-0.4
DP05,5001800US2501,"Congressional District 1 (118th Congress), Massachusetts",21,18 years and over,"618,067","+/-5,485",79.6,+/-0.4
DP05,5001800US2501,"Congressional District 1 (118th Congress), Massachusetts",22,21 years and over,"583,926","+/-5,717",75.2,+/-0.4
DP05,5001800US2501,"Congressional District 1 (118th Congress), Massachusetts",23,62 years and over,"178,048","+/-3,380",22.9,+/-0.5
DP05,5001800US2501,"Congressional District 1 (118th Congress), Massachusetts",24,65 years and over,"146,503","+/-2,393",18.9,+/-0.3
DP05,5001800US2501,"Congressional District 1 (118th Congress), Massachusetts",24.3,,,,,
DP05,5001800US2501,"Congressional District 1 (118th Congress), Massachusetts",25,18 years and over,"618,067","+/-5,485","618,067",(X)
DP05,5001800US2501,"Congressional District 1 (118th Congress), Massachusetts",26,Male,"295,807","+/-3,763",47.9,+/-0.4
DP05,5001800US2501,"Congressional District 1 (118th Congress), Massachusetts",27,Female,"322,260","+/-3,407",52.1,+/-0.4
DP05,5001800US2501,"Congressional District 1 (118th Congress), Massachusetts",28,Sex ratio (males per 100 females),91.8,+/-1.4,(X),(X)
DP05,5001800US2501,"Congressional District 1 (118th Congress), Massachusetts",28.3,,,,,
DP05,5001800US2501,"Congressional District 1 (118th Congress), Massachusetts",29,65 years and over,"146,503","+/-2,393","146,503",(X)
DP05,5001800US2501,"Congressional District 1 (118th Congress), Massachusetts",30,Male,"65,788","+/-1,217",44.9,+/-0.6
DP05,5001800US2501,"Congressional District 1 (118th Congress), Massachusetts",31,Female,"80,715","+/-1,676",55.1,+/-0.6
DP05,5001800US2501,"Congressional District 1 (118th Congress), Massachusetts",32,Sex ratio (males per 100 females),81.5,+/-1.8,(X),(X)
DP05,5001800US2501,"Congressional District 1 (118th Congress), Massachusetts",32.3,,,,,
DP05,5001800US2501,"Congressional District 1 (118th Congress), Massachusetts",32.5,RACE,,,,
DP05,5001800US2501,"Congressional District 1 (118th Congress), Massachusetts",33,Total population,"776,085","+/-7,717","776,085",(X)
DP05,5001800US2501,"Congressional District 1 (118th Congress), Massachusetts",34,One race,"670,375","+/-9,924",86.4,+/-0.9
DP05,5001800US2501,"Congressional District 1 (118th Congress), Massachusetts",35,Two or more races,"105,710","+/-7,276",13.6,+/-0.9
DP05,5001800US2501,"Congressional District 1 (118th Congress), Massachusetts",35.3,,,,,
DP05,5001800US2501,"Congressional District 1 (118th Congress), Massachusetts",36,One race,"670,375","+/-9,924",86.4,+/-0.9
DP05,5001800US2501,"Congressional District 1 (118th Congress), Massachusetts",37,White,"560,161","+/-7,752",72.2,+/-0.7
DP05,5001800US2501,"Congressional District 1 (118th Congress), Massachusetts",38,Black or African American,"47,269","+/-3,548",6.1,+/-0.4
DP05,5001800US2501,"Congressional District 1 (118th Congress), Massachusetts",39,American Indian and Alaska Native,"1,858",+/-947,0.2,+/-0.1
DP05,5001800US2501,"Congressional District 1 (118th Congress), Massachusetts",40,Cherokee tribal grouping,(X),(X),(X),(X)
DP05,5001800US2501,"Congressional District 1 (118th Congress), Massachusetts",41,Chippewa tribal grouping,(X),(X),(X),(X)
DP05,5001800US2501,"Congressional District 1 (118th Congress), Massachusetts",42,Navajo tribal grouping,(X),(X),(X),(X)
DP05,5001800US2501,"Congressional District 1 (118th Congress), Massachusetts",43,Sioux tribal grouping,(X),(X),(X),(X)
DP05,5001800US2501,"Congressional District 1 (118th Congress), Massachusetts",44,Asian,"18,760","+/-2,506",2.4,+/-0.3
DP05,5001800US2501,"Congressional District 1 (118th Congress), Massachusetts",45,Asian Indian,"3,968","+/-2,246",0.5,+/-0.3
DP05,5001800US2501,"Congressional District 1 (118th Congress), Massachusetts",46,Chinese,"4,449","+/-1,476",0.6,+/-0.2
DP05,5001800US2501,"Congressional District 1 (118th Congress), Massachusetts",47,Filipino,"1,524",+/-908,0.2,+/-0.1
DP05,5001800US2501,"Congressional District 1 (118th Congress), Massachusetts",48,Japanese,318,+/-297,0.0,+/-0.1
DP05,5001800US2501,"Congressional District 1 (118th Congress), Massachusetts",49,Korean,794,+/-380,0.1,+/-0.1
DP05,5001800US2501,"Congressional District 1 (118th Congress), Massachusetts",50,Vietnamese,"1,579",+/-712,0.2,+/-0.1
DP05,5001800US2501,"Congressional District 1 (118th Congress), Massachusetts",51,Other Asian,"6,128","+/-1,874",0.8,+/-0.2
DP05,5001800US2501,"Congressional District 1 (118th Congress), Massachusetts",52,Native Hawaiian and Other Pacific Islander,0,+/-218,0.0,+/-0.1
DP05,5001800US2501,"Congressional District 1 (118th Congress), Massachusetts",53,Native Hawaiian,N,N,N,N
DP05,5001800US2501,"Congressional District 1 (118th Congress), Massachusetts",54,Chamorro,N,N,N,N
DP05,5001800US2501,"Congressional District 1 (118th Congress), Massachusetts",55,Samoan,N,N,N,N
DP05,5001800US2501,"Congressional District 1 (118th Congress), Massachusetts",56,Other Pacific Islander,N,N,N,N
DP05,5001800US2501,"Congressional District 1 (118th Congress), Massachusetts",57,Some other race,"42,327","+/-5,550",5.5,+/-0.7
DP05,5001800US2501,"Congressional District 1 (118th Congress), Massachusetts",58,Two or more races,"105,710","+/-7,276",13.6,+/-0.9
DP05,5001800US2501,"Congressional District 1 (118th Congress), Massachusetts",59,White and Black or African American,"10,552","+/-2,543",1.4,+/-0.3
DP05,5001800US2501,"Congressional District 1 (118th Congress), Massachusetts",60,White and American Indian and Alaska Native,"3,093",+/-563,0.4,+/-0.1
DP05,5001800US2501,"Congressional District 1 (118th Congress), Massachusetts",61,White and Asian,"4,159","+/-1,255",0.5,+/-0.2
DP05,5001800US2501,"Congressional District 1 (118th Congress), Massachusetts",62,Black or African American and American Indian and Alaska Native,389,+/-345,0.1,+/-0.1
DP05,5001800US2501,"Congressional District 1 (118th Congress), Massachusetts",62.3,,,,,
DP05,5001800US2501,"Congressional District 1 (118th Congress), Massachusetts",62.5,Race alone or in combination with one or more other races,,,,
DP05,5001800US2501,"Congressional District 1 (118th Congress), Massachusetts",63,Total population,"776,085","+/-7,717","776,085",(X)
DP05,5001800US2501,"Congressional District 1 (118th Congress), Massachusetts",64,White,"661,264","+/-9,701",85.2,+/-0.9
DP05,5001800US2501,"Congressional District 1 (118th Congress), Massachusetts",65,Black or African American,"71,424","+/-4,289",9.2,+/-0.5
DP05,5001800US2501,"Congressional District 1 (118th Congress), Massachusetts",66,American Indian and Alaska Native,"8,793","+/-2,156",1.1,+/-0.3
DP05,5001800US2501,"Congressional District 1 (118th Congress), Massachusetts",67,Asian,"24,127","+/-2,448",3.1,+/-0.3
DP05,5001800US2501,"Congressional District 1 (118th Congress), Massachusetts",68,Native Hawaiian and Other Pacific Islander,"1,085","+/-1,049",0.1,+/-0.1
DP05,5001800US2501,"Congressional District 1 (118th Congress), Massachusetts",69,Some other race,"127,565","+/-5,603",16.4,+/-0.7
DP05,5001800US2501,"Congressional District 1 (118th Congress), Massachusetts",69.3,,,,,
DP05,5001800US2501,"Congressional District 1 (118th Congress), Massachusetts",69.5,HISPANIC OR LATINO AND RACE,,,,
DP05,5001800US2501,"Congressional District 1 (118th Congress), Massachusetts",70,Total population,"776,085","+/-7,717","776,085",(X)
DP05,5001800US2501,"Congressional District 1 (118th Congress), Massachusetts",71,Hispanic or Latino (of any race),"151,966","+/-2,947",19.6,+/-0.4
DP05,5001800US2501,"Congressional District 1 (118th Congress), Massachusetts",72,Mexican,"8,023","+/-2,466",1.0,+/-0.3
DP05,5001800US2501,"Congressional District 1 (118th Congress), Massachusetts",73,Puerto Rican,"114,476","+/-4,884",14.8,+/-0.6
DP05,5001800US2501,"Congressional District 1 (118th Congress), Massachusetts",74,Cuban,"1,188",+/-790,0.2,+/-0.1
DP05,5001800US2501,"Congressional District 1 (118th Congress), Massachusetts",75,Other Hispanic or Latino,"28,279","+/-4,317",3.6,+/-0.6
DP05,5001800US2501,"Congressional District 1 (118th Congress), Massachusetts",76,Not Hispanic or Latino,"624,119","+/-7,466",80.4,+/-0.4
DP05,5001800US2501,"Congressional District 1 (118th Congress), Massachusetts",77,White alone,"535,866","+/-6,647",69.0,+/-0.6
DP05,5001800US2501,"Congressional District 1 (118th Congress), Massachusetts",78,Black or African American alone,"42,335","+/-2,904",5.5,+/-0.4
DP05,5001800US2501,"Congressional District 1 (118th Congress), Massachusetts",79,American Indian and Alaska Native alone,330,+/-182,0.0,+/-0.1
DP05,5001800US2501,"Congressional District 1 (118th Congress), Massachusetts",80,Asian alone,"17,639","+/-2,367",2.3,+/-0.3
DP05,5001800US2501,"Congressional District 1 (118th Congress), Massachusetts",81,Native Hawaiian and Other Pacific Islander alone,0,+/-218,0.0,+/-0.1
DP05,5001800US2501,"Congressional District 1 (118th Congress), Massachusetts",82,Some other race alone,"3,130","+/-1,545",0.4,+/-0.2
DP05,5001800US2501,"Congressional District 1 (118th Congress), Massachusetts",83,Two or more races,"24,819","+/-3,590",3.2,+/-0.5
DP05,5001800US2501,"Congressional District 1 (118th Congress), Massachusetts",84,Two races including Some other race,"7,194","+/-2,188",0.9,+/-0.3
DP05,5001800US2501,"Congressional District 1 (118th Congress), Massachusetts",85,"Two races excluding Some other race, and Three or more races","17,625","+/-3,072",2.3,+/-0.4
DP05,5001800US2501,"Congressional District 1 (118th Congress), Massachusetts",85.3,,,,,
DP05,5001800US2501,"Congressional District 1 (118th Congress), Massachusetts",86,Total housing units,"347,398","+/-2,880",(X),(X)
DP05,5001800US2501,"Congressional District 1 (118th Congress), Massachusetts",86.3,,,,,
DP05,5001800US2501,"Congressional District 1 (118th Congress), Massachusetts",86.5,"CITIZEN, VOTING AGE POPULATION",,,,
DP05,5001800US2501,"Congressional District 1 (118th Congress), Massachusetts",87,"Citizen, 18 and over population","597,866","+/-5,904","597,866",(X)
DP05,5001800US2501,"Congressional District 1 (118th Congress), Massachusetts",88,Male,"285,639","+/-3,954",47.8,+/-0.4
DP05,5001800US2501,"Congressional District 1 (118th Congress), Massachusetts",89,Female,"312,227","+/-3,850",52.2,+/-0.4
DP05,5001800US2502,"Congressional District 2 (118th Congress), Massachusetts",0,ACS DEMOGRAPHIC AND HOUSING ESTIMATES,,,,
DP05,5001800US2502,"Congressional District 2 (118th Congress), Massachusetts",0.5,,,,,
DP05,5001800US2502,"Congressional District 2 (118th Congress), Massachusetts",0.8,SEX AND AGE,,,,
DP05,5001800US2502,"Congressional District 2 (118th Congress), Massachusetts",1,Total population,"781,228","+/-11,929","781,228",(X)
DP05,5001800US2502,"Congressional District 2 (118th Congress), Massachusetts",2,Male,"378,336","+/-7,501",48.4,+/-0.5
DP05,5001800US2502,"Congressional District 2 (118th Congress), Massachusetts",3,Female,"402,892","+/-6,981",51.6,+/-0.5
DP05,5001800US2502,"Congressional District 2 (118th Congress), Massachusetts",4,Sex ratio (males per 100 females),93.9,+/-2.0,(X),(X)
DP05,5001800US2502,"Congressional District 2 (118th Congress), Massachusetts",4.3,,,,,
DP05,5001800US2502,"Congressional District 2 (118th Congress), Massachusetts",5,Under 5 years,"35,209","+/-2,001",4.5,+/-0.3
DP05,5001800US2502,"Congressional District 2 (118th Congress), Massachusetts",6,5 to 9 years,"38,204","+/-3,269",4.9,+/-0.4
DP05,5001800US2502,"Congressional District 2 (118th Congress), Massachusetts",7,10 to 14 years,"47,178","+/-3,559",6.0,+/-0.4
DP05,5001800US2502,"Congressional District 2 (118th Congress), Massachusetts",8,15 to 19 years,"63,580","+/-3,549",8.1,+/-0.4
DP05,5001800US2502,"Congressional District 2 (118th Congress), Massachusetts",9,20 to 24 years,"64,300","+/-3,109",8.2,+/-0.4
DP05,5001800US2502,"Congressional District 2 (118th Congress), Massachusetts",10,25 to 34 years,"98,444","+/-3,844",12.6,+/-0.5
DP05,5001800US2502,"Congressional District 2 (118th Congress), Massachusetts",11,35 to 44 years,"94,971","+/-3,766",12.2,+/-0.4
DP05,5001800US2502,"Congressional District 2 (118th Congress), Massachusetts",12,45 to 54 years,"98,860","+/-4,002",12.7,+/-0.5
DP05,5001800US2502,"Congressional District 2 (118th Congress), Massachusetts",13,55 to 59 years,"55,397","+/-3,569",7.1,+/-0.5
DP05,5001800US2502,"Congressional District 2 (118th Congress), Massachusetts",14,60 to 64 years,"54,905","+/-4,007",7.0,+/-0.5
DP05,5001800US2502,"Congressional District 2 (118th Congress), Massachusetts",15,65 to 74 years,"78,613","+/-3,530",10.1,+/-0.5
DP05,5001800US2502,"Congressional District 2 (118th Congress), Massachusetts",16,75 to 84 years,"36,725","+/-2,470",4.7,+/-0.3
DP05,5001800US2502,"Congressional District 2 (118th Congress), Massachusetts",17,85 years and over,"14,842","+/-1,858",1.9,+/-0.2
DP05,5001800US2502,"Congressional District 2 (118th Congress), Massachusetts",17.3,,,,,
DP05,5001800US2502,"Congressional District 2 (118th Congress), Massachusetts",18,Median age (years),39.3,+/-0.6,(X),(X)
DP05,5001800US2502,"Congressional District 2 (118th Congress), Massachusetts",18.3,,,,,
DP05,5001800US2502,"Congressional District 2 (118th Congress), Massachusetts",19,Under 18 years,"151,399","+/-5,533",19.4,+/-0.5
DP05,5001800US2502,"Congressional District 2 (118th Congress), Massachusetts",20,16 years and over,"651,112","+/-9,421",83.3,+/-0.5
DP05,5001800US2502,"Congressional District 2 (118th Congress), Massachusetts",21,18 years and over,"629,829","+/-9,081",80.6,+/-0.5
DP05,5001800US2502,"Congressional District 2 (118th Congress), Massachusetts",22,21 years and over,"578,922","+/-8,590",74.1,+/-0.6
DP05,5001800US2502,"Congressional District 2 (118th Congress), Massachusetts",23,62 years and over,"162,201","+/-5,152",20.8,+/-0.6
DP05,5001800US2502,"Congressional District 2 (118th Congress), Massachusetts",24,65 years and over,"130,180","+/-4,240",16.7,+/-0.6
DP05,5001800US2502,"Congressional District 2 (118th Congress), Massachusetts",24.3,,,,,
DP05,5001800US2502,"Congressional District 2 (118th Congress), Massachusetts",25,18 years and over,"629,829","+/-9,081","629,829",(X)
DP05,5001800US2502,"Congressional District 2 (118th Congress), Massachusetts",26,Male,"300,885","+/-6,005",47.8,+/-0.5
DP05,5001800US2502,"Congressional District 2 (118th Congress), Massachusetts",27,Female,"328,944","+/-5,154",52.2,+/-0.5
DP05,5001800US2502,"Congressional District 2 (118th Congress), Massachusetts",28,Sex ratio (males per 100 females),91.5,+/-1.9,(X),(X)
DP05,5001800US2502,"Congressional District 2 (118th Congress), Massachusetts",28.3,,,,,
DP05,5001800US2502,"Congressional District 2 (118th Congress), Massachusetts",29,65 years and over,"130,180","+/-4,240","130,180",(X)
DP05,5001800US2502,"Congressional District 2 (118th Congress), Massachusetts",30,Male,"57,567","+/-2,414",44.2,+/-0.9
DP05,5001800US2502,"Congressional District 2 (118th Congress), Massachusetts",31,Female,"72,613","+/-2,443",55.8,+/-0.9
DP05,5001800US2502,"Congressional District 2 (118th Congress), Massachusetts",32,Sex ratio (males per 100 females),79.3,+/-3.0,(X),(X)
DP05,5001800US2502,"Congressional District 2 (118th Congress), Massachusetts",32.3,,,,,
DP05,5001800US2502,"Congressional District 2 (118th Congress), Massachusetts",32.5,RACE,,,,
DP05,5001800US2502,"Congressional District 2 (118th Congress), Massachusetts",33,Total population,"781,228","+/-11,929","781,228",(X)
DP05,5001800US2502,"Congressional District 2 (118th Congress), Massachusetts",34,One race,"704,620","+/-13,981",90.2,+/-0.9
DP05,5001800US2502,"Congressional District 2 (118th Congress), Massachusetts",35,Two or more races,"76,608","+/-7,088",9.8,+/-0.9
DP05,5001800US2502,"Congressional District 2 (118th Congress), Massachusetts",35.3,,,,,
DP05,5001800US2502,"Congressional District 2 (118th Congress), Massachusetts",36,One race,"704,620","+/-13,981",90.2,+/-0.9
DP05,5001800US2502,"Congressional District 2 (118th Congress), Massachusetts",37,White,"567,741","+/-11,151",72.7,+/-1.0
DP05,5001800US2502,"Congressional District 2 (118th Congress), Massachusetts",38,Black or African American,"45,784","+/-4,204",5.9,+/-0.5
DP05,5001800US2502,"Congressional District 2 (118th Congress), Massachusetts",39,American Indian and Alaska Native,"1,361",+/-712,0.2,+/-0.1
DP05,5001800US2502,"Congressional District 2 (118th Congress), Massachusetts",40,Cherokee tribal grouping,(X),(X),(X),(X)
DP05,5001800US2502,"Congressional District 2 (118th Congress), Massachusetts",41,Chippewa tribal grouping,(X),(X),(X),(X)
DP05,5001800US2502,"Congressional District 2 (118th Congress), Massachusetts",42,Navajo tribal grouping,(X),(X),(X),(X)
DP05,5001800US2502,"Congressional District 2 (118th Congress), Massachusetts",43,Sioux tribal grouping,(X),(X),(X),(X)
DP05,5001800US2502,"Congressional District 2 (118th Congress), Massachusetts",44,Asian,"51,220","+/-4,408",6.6,+/-0.6
DP05,5001800US2502,"Congressional District 2 (118th Congress), Massachusetts",45,Asian Indian,"17,974","+/-3,781",2.3,+/-0.5
DP05,5001800US2502,"Congressional District 2 (118th Congress), Massachusetts",46,Chinese,"11,581","+/-3,037",1.5,+/-0.4
DP05,5001800US2502,"Congressional District 2 (118th Congress), Massachusetts",47,Filipino,"1,928",+/-962,0.2,+/-0.1
DP05,5001800US2502,"Congressional District 2 (118th Congress), Massachusetts",48,Japanese,536,+/-466,0.1,+/-0.1
DP05,5001800US2502,"Congressional District 2 (118th Congress), Massachusetts",49,Korean,"2,246",+/-829,0.3,+/-0.1
DP05,5001800US2502,"Congressional District 2 (118th Congress), Massachusetts",50,Vietnamese,"8,725","+/-2,856",1.1,+/-0.4
DP05,5001800US2502,"Congressional District 2 (118th Congress), Massachusetts",51,Other Asian,"8,230","+/-2,789",1.1,+/-0.4
DP05,5001800US2502,"Congressional District 2 (118th Congress), Massachusetts",52,Native Hawaiian and Other Pacific Islander,375,+/-234,0.0,+/-0.1
DP05,5001800US2502,"Congressional District 2 (118th Congress), Massachusetts",53,Native Hawaiian,N,N,N,N
DP05,5001800US2502,"Congressional District 2 (118th Congress), Massachusetts",54,Chamorro,N,N,N,N
DP05,5001800US2502,"Congressional District 2 (118th Congress), Massachusetts",55,Samoan,N,N,N,N
DP05,5001800US2502,"Congressional District 2 (118th Congress), Massachusetts",56,Other Pacific Islander,N,N,N,N
DP05,5001800US2502,"Congressional District 2 (118th Congress), Massachusetts",57,Some other race,"38,139","+/-7,132",4.9,+/-0.9
DP05,5001800US2502,"Congressional District 2 (118th Congress), Massachusetts",58,Two or more races,"76,608","+/-7,088",9.8,+/-0.9
DP05,5001800US2502,"Congressional District 2 (118th Congress), Massachusetts",59,White and Black or African American,"8,301","+/-2,433",1.1,+/-0.3
DP05,5001800US2502,"Congressional District 2 (118th Congress), Massachusetts",60,White and American Indian and Alaska Native,"3,492",+/-839,0.4,+/-0.1
DP05,5001800US2502,"Congressional District 2 (118th Congress), Massachusetts",61,White and Asian,"6,751","+/-1,744",0.9,+/-0.2
DP05,5001800US2502,"Congressional District 2 (118th Congress), Massachusetts",62,Black or African American and American Indian and Alaska Native,277,+/-329,0.0,+/-0.1
DP05,5001800US2502,"Congressional District 2 (118th Congress), Massachusetts",62.3,,,,,
DP05,5001800US2502,"Congressional District 2 (118th Congress), Massachusetts",62.5,Race alone or in combination with one or more other races,,,,
DP05,5001800US2502,"Congressional District 2 (118th Congress), Massachusetts",63,Total population,"781,228","+/-11,929","781,228",(X)
DP05,5001800US2502,"Congressional District 2 (118th Congress), Massachusetts",64,White,"640,007","+/-11,727",81.9,+/-1.1
DP05,5001800US2502,"Congressional District 2 (118th Congress), Massachusetts",65,Black or African American,"61,754","+/-3,935",7.9,+/-0.5
DP05,5001800US2502,"Congressional District 2 (118th Congress), Massachusetts",66,American Indian and Alaska Native,"8,331","+/-1,896",1.1,+/-0.2
