TBLID,GEOID,GEONAME,PROFLN,TITLE,PRF_ESTIMATE,PRF_MG_ERROR,PCT_ESTIMATE,PCT_MG_ERROR
DP05,5001800US2901,"Congressional District 1 (118th Congress), Missouri",0,ACS DEMOGRAPHIC AND HOUSING ESTIMATES,,,,
DP05,5001800US2901,"Congressional District 1 (118th Congress), Missouri",0.5,,,,,
DP05,5001800US2901,"Congressional District 1 (118th Congress), Missouri",0.8,SEX AND AGE,,,,
DP05,5001800US2901,"Congressional District 1 (118th Congress), Missouri",1,Total population,"761,805","+/-8,155","761,805",(X)
DP05,5001800US2901,"Congressional District 1 (118th Congress), Missouri",2,Male,"358,612","+/-4,973",47.1,+/-0.4
DP05,5001800US2901,"Congressional District 1 (118th Congress), Missouri",3,Female,"403,193","+/-5,157",52.9,+/-0.4
DP05,5001800US2901,"Congressional District 1 (118th Congress), Missouri",4,Sex ratio (males per 100 females),88.9,+/-1.4,(X),(X)
DP05,5001800US2901,"Congressional District 1 (118th Congress), Missouri",4.3,,,,,
DP05,5001800US2901,"Congressional District 1 (118th Congress), Missouri",5,Under 5 years,"45,054","+/-2,069",5.9,+/-0.3
DP05,5001800US2901,"Congressional District 1 (118th Congress), Missouri",6,5 to 9 years,"41,098","+/-3,353",5.4,+/-0.4
DP05,5001800US2901,"Congressional District 1 (118th Congress), Missouri",7,10 to 14 years,"50,987","+/-3,209",6.7,+/-0.4
DP05,5001800US2901,"Congressional District 1 (118th Congress), Missouri",8,15 to 19 years,"46,178","+/-2,134",6.1,+/-0.3
DP05,5001800US2901,"Congressional District 1 (118th Congress), Missouri",9,20 to 24 years,"47,894","+/-2,627",6.3,+/-0.3
DP05,5001800US2901,"Congressional District 1 (118th Congress), Missouri",10,25 to 34 years,"121,644","+/-3,086",16.0,+/-0.4
DP05,5001800US2901,"Congressional District 1 (118th Congress), Missouri",11,35 to 44 years,"102,040","+/-2,802",13.4,+/-0.4
DP05,5001800US2901,"Congressional District 1 (118th Congress), Missouri",12,45 to 54 years,"83,570","+/-3,098",11.0,+/-0.4
DP05,5001800US2901,"Congressional District 1 (118th Congress), Missouri",13,55 to 59 years,"47,439","+/-3,456",6.2,+/-0.5
DP05,5001800US2901,"Congressional District 1 (118th Congress), Missouri",14,60 to 64 years,"53,378","+/-3,285",7.0,+/-0.4
DP05,5001800US2901,"Congressional District 1 (118th Congress), Missouri",15,65 to 74 years,"76,837","+/-2,774",10.1,+/-0.4
DP05,5001800US2901,"Congressional District 1 (118th Congress), Missouri",16,75 to 84 years,"31,445","+/-2,275",4.1,+/-0.3
DP05,5001800US2901,"Congressional District 1 (118th Congress), Missouri",17,85 years and over,"14,241","+/-1,969",1.9,+/-0.3
DP05,5001800US2901,"Congressional District 1 (118th Congress), Missouri",17.3,,,,,
DP05,5001800US2901,"Congressional District 1 (118th Congress), Missouri",18,Median age (years),37.5,+/-0.5,(X),(X)
DP05,5001800US2901,"Congressional District 1 (118th Congress), Missouri",18.3,,,,,
DP05,5001800US2901,"Congressional District 1 (118th Congress), Missouri",19,Under 18 years,"163,378","+/-3,953",21.4,+/-0.4
DP05,5001800US2901,"Congressional District 1 (118th Congress), Missouri",20,16 years and over,"617,389","+/-6,899",81.0,+/-0.5
DP05,5001800US2901,"Congressional District 1 (118th Congress), Missouri",21,18 years and over,"598,427","+/-6,781",78.6,+/-0.4
DP05,5001800US2901,"Congressional District 1 (118th Congress), Missouri",22,21 years and over,"568,218","+/-6,735",74.6,+/-0.5
DP05,5001800US2901,"Congressional District 1 (118th Congress), Missouri",23,62 years and over,"156,789","+/-4,591",20.6,+/-0.6
DP05,5001800US2901,"Congressional District 1 (118th Congress), Missouri",24,65 years and over,"122,523","+/-3,556",16.1,+/-0.4
DP05,5001800US2901,"Congressional District 1 (118th Congress), Missouri",24.3,,,,,
DP05,5001800US2901,"Congressional District 1 (118th Congress), Missouri",25,18 years and over,"598,427","+/-6,781","598,427",(X)
DP05,5001800US2901,"Congressional District 1 (118th Congress), Missouri",26,Male,"275,304","+/-4,283",46.0,+/-0.4
DP05,5001800US2901,"Congressional District 1 (118th Congress), Missouri",27,Female,"323,123","+/-4,084",54.0,+/-0.4
