TBLID,GEOID,GEONAME,PROFLN,TITLE,PRF_ESTIMATE,PRF_MG_ERROR,PCT_ESTIMATE,PCT_MG_ERROR
DP05,5001800US3001,"Congressional District 1 (118th Congress), Montana",0,ACS DEMOGRAPHIC AND HOUSING ESTIMATES,,,,
DP05,5001800US3001,"Congressional District 1 (118th Congress), Montana",0.5,,,,,
DP05,5001800US3001,"Congressional District 1 (118th Congress), Montana",0.8,SEX AND AGE,,,,
DP05,5001800US3001,"Congressional District 1 (118th Congress), Montana",1,Total population,"556,300","+/-1,780","556,300",(X)
DP05,5001800US3001,"Congressional District 1 (118th Congress), Montana",2,Male,"283,349","+/-1,835",50.9,+/-0.3
DP05,5001800US3001,"Congressional District 1 (118th Congress), Montana",3,Female,"272,951","+/-1,865",49.1,+/-0.3
DP05,5001800US3001,"Congressional District 1 (118th Congress), Montana",4,Sex ratio (males per 100 females),103.8,+/-1.2,(X),(X)
DP05,5001800US3001,"Congressional District 1 (118th Congress), Montana",4.3,,,,,
DP05,5001800US3001,"Congressional District 1 (118th Congress), Montana",5,Under 5 years,"26,196",+/-697,4.7,+/-0.1
DP05,5001800US3001,"Congressional District 1 (118th Congress), Montana",6,5 to 9 years,"32,345","+/-2,238",5.8,+/-0.4
DP05,5001800US3001,"Congressional District 1 (118th Congress), Montana",7,10 to 14 years,"31,648","+/-2,263",5.7,+/-0.4
DP05,5001800US3001,"Congressional District 1 (118th Congress), Montana",8,15 to 19 years,"33,975","+/-2,162",6.1,+/-0.4
DP05,5001800US3001,"Congressional District 1 (118th Congress), Montana",9,20 to 24 years,"44,047","+/-2,005",7.9,+/-0.4
DP05,5001800US3001,"Congressional District 1 (118th Congress), Montana",10,25 to 34 years,"73,080","+/-1,776",13.1,+/-0.3
DP05,5001800US3001,"Congressional District 1 (118th Congress), Montana",11,35 to 44 years,"70,938","+/-1,728",12.8,+/-0.3
DP05,5001800US3001,"Congressional District 1 (118th Congress), Montana",12,45 to 54 years,"61,382","+/-1,674",11.0,+/-0.3
DP05,5001800US3001,"Congressional District 1 (118th Congress), Montana",13,55 to 59 years,"32,796","+/-2,117",5.9,+/-0.4
DP05,5001800US3001,"Congressional District 1 (118th Congress), Montana",14,60 to 64 years,"40,782","+/-2,148",7.3,+/-0.4
DP05,5001800US3001,"Congressional District 1 (118th Congress), Montana",15,65 to 74 years,"70,004","+/-1,055",12.6,+/-0.2
DP05,5001800US3001,"Congressional District 1 (118th Congress), Montana",16,75 to 84 years,"28,408","+/-1,631",5.1,+/-0.3
DP05,5001800US3001,"Congressional District 1 (118th Congress), Montana",17,85 years and over,"10,699","+/-1,505",1.9,+/-0.3
DP05,5001800US3001,"Congressional District 1 (118th Congress), Montana",17.3,,,,,
DP05,5001800US3001,"Congressional District 1 (118th Congress), Montana",18,Median age (years),40.1,+/-0.4,(X),(X)
DP05,5001800US3001,"Congressional District 1 (118th Congress), Montana",18.3,,,,,
DP05,5001800US3001,"Congressional District 1 (118th Congress), Montana",19,Under 18 years,"110,078","+/-1,285",19.8,+/-0.2
DP05,5001800US3001,"Congressional District 1 (118th Congress), Montana",20,16 years and over,"458,261","+/-2,390",82.4,+/-0.3
