TBLID,GEOID,GEONAME,PROFLN,TITLE,PRF_ESTIMATE,PRF_MG_ERROR,PCT_ESTIMATE,PCT_MG_ERROR
DP05,5001800US3601,"Congressional District 1 (118th Congress), New York",0,ACS DEMOGRAPHIC AND HOUSING ESTIMATES,,,,
DP05,5001800US3601,"Congressional District 1 (118th Congress), New York",0.5,,,,,
DP05,5001800US3601,"Congressional District 1 (118th Congress), New York",0.8,SEX AND AGE,,,,
DP05,5001800US3601,"Congressional District 1 (118th Congress), New York",1,Total population,"780,204","+/-9,292","780,204",(X)
DP05,5001800US3601,"Congressional District 1 (118th Congress), New York",2,Male,"390,616","+/-6,925",50.1,+/-0.6
DP05,5001800US3601,"Congressional District 1 (118th Congress), New York",3,Female,"389,588","+/-6,297",49.9,+/-0.6
DP05,5001800US3601,"Congressional District 1 (118th Congress), New York",4,Sex ratio (males per 100 females),100.3,+/-2.4,(X),(X)
DP05,5001800US3601,"Congressional District 1 (118th Congress), New York",4.3,,,,,
DP05,5001800US3601,"Congressional District 1 (118th Congress), New York",5,Under 5 years,"39,771","+/-2,978",5.1,+/-0.4
DP05,5001800US3601,"Congressional District 1 (118th Congress), New York",6,5 to 9 years,"40,994","+/-3,793",5.3,+/-0.5
DP05,5001800US3601,"Congressional District 1 (118th Congress), New York",7,10 to 14 years,"49,673","+/-3,184",6.4,+/-0.4
DP05,5001800US3601,"Congressional District 1 (118th Congress), New York",8,15 to 19 years,"50,205","+/-3,361",6.4,+/-0.4
DP05,5001800US3601,"Congressional District 1 (118th Congress), New York",9,20 to 24 years,"48,349","+/-3,689",6.2,+/-0.5
DP05,5001800US3601,"Congressional District 1 (118th Congress), New York",10,25 to 34 years,"86,568","+/-4,278",11.1,+/-0.5
DP05,5001800US3601,"Congressional District 1 (118th Congress), New York",11,35 to 44 years,"89,843","+/-4,559",11.5,+/-0.6
DP05,5001800US3601,"Congressional District 1 (118th Congress), New York",12,45 to 54 years,"105,431","+/-4,319",13.5,+/-0.5
DP05,5001800US3601,"Congressional District 1 (118th Congress), New York",13,55 to 59 years,"59,344","+/-3,764",7.6,+/-0.5
DP05,5001800US3601,"Congressional District 1 (118th Congress), New York",14,60 to 64 years,"62,041","+/-3,945",8.0,+/-0.5
DP05,5001800US3601,"Congressional District 1 (118th Congress), New York",15,65 to 74 years,"81,657","+/-3,914",10.5,+/-0.5
DP05,5001800US3601,"Congressional District 1 (118th Congress), New York",16,75 to 84 years,"46,506","+/-2,671",6.0,+/-0.3
DP05,5001800US3601,"Congressional District 1 (118th Congress), New York",17,85 years and over,"19,822","+/-2,017",2.5,+/-0.3
DP05,5001800US3601,"Congressional District 1 (118th Congress), New York",17.3,,,,,
DP05,5001800US3601,"Congressional District 1 (118th Congress), New York",18,Median age (years),43.1,+/-0.9,(X),(X)
DP05,5001800US3601,"Congressional District 1 (118th Congress), New York",18.3,,,,,
DP05,5001800US3601,"Congressional District 1 (118th Congress), New York",19,Under 18 years,"160,920","+/-6,124",20.6,+/-0.7
DP05,5001800US3601,"Congressional District 1 (118th Congress), New York",20,16 years and over,"641,408","+/-9,358",82.2,+/-0.8
DP05,5001800US3601,"Congressional District 1 (118th Congress), New York",21,18 years and over,"619,284","+/-8,933",79.4,+/-0.7
DP05,5001800US3601,"Congressional District 1 (118th Congress), New York",22,21 years and over,"589,884","+/-8,650",75.6,+/-0.7
DP05,5001800US3601,"Congressional District 1 (118th Congress), New York",23,62 years and over,"183,165","+/-5,762",23.5,+/-0.7
DP05,5001800US3601,"Congressional District 1 (118th Congress), New York",24,65 years and over,"147,985","+/-4,935",19.0,+/-0.6
DP05,5001800US3601,"Congressional District 1 (118th Congress), New York",24.3,,,,,
