TBLID,GEOID,GEONAME,PROFLN,TITLE,PRF_ESTIMATE,PRF_MG_ERROR,PCT_ESTIMATE,PCT_MG_ERROR
DP05,5001800US4501,"Congressional District 1 (118th Congress), South Carolina",0,ACS DEMOGRAPHIC AND HOUSING ESTIMATES,,,,
DP05,5001800US4501,"Congressional District 1 (118th Congress), South Carolina",0.5,,,,,
DP05,5001800US4501,"Congressional District 1 (118th Congress), South Carolina",0.8,SEX AND AGE,,,,
DP05,5001800US4501,"Congressional District 1 (118th Congress), South Carolina",1,Total population,"744,714","+/-9,687","744,714",(X)
DP05,5001800US4501,"Congressional District 1 (118th Congress), South Carolina",2,Male,"362,263","+/-6,515",48.6,+/-0.6
DP05,5001800US4501,"Congressional District 1 (118th Congress), South Carolina",3,Female,"382,451","+/-6,637",51.4,+/-0.6
DP05,5001800US4501,"Congressional District 1 (118th Congress), South Carolina",4,Sex ratio (males per 100 females),94.7,+/-2.3,(X),(X)
DP05,5001800US4501,"Congressional District 1 (118th Congress), South Carolina",4.3,,,,,
DP05,5001800US4501,"Congressional District 1 (118th Congress), South Carolina",5,Under 5 years,"39,352","+/-2,332",5.3,+/-0.3
DP05,5001800US4501,"Congressional District 1 (118th Congress), South Carolina",6,5 to 9 years,"43,009","+/-3,698",5.8,+/-0.5
DP05,5001800US4501,"Congressional District 1 (118th Congress), South Carolina",7,10 to 14 years,"48,794","+/-4,600",6.6,+/-0.6
DP05,5001800US4501,"Congressional District 1 (118th Congress), South Carolina",8,15 to 19 years,"47,120","+/-3,135",6.3,+/-0.4
DP05,5001800US4501,"Congressional District 1 (118th Congress), South Carolina",9,20 to 24 years,"41,994","+/-3,407",5.6,+/-0.4
DP05,5001800US4501,"Congressional District 1 (118th Congress), South Carolina",10,25 to 34 years,"90,267","+/-4,876",12.1,+/-0.6
DP05,5001800US4501,"Congressional District 1 (118th Congress), South Carolina",11,35 to 44 years,"98,448","+/-3,948",13.2,+/-0.5
DP05,5001800US4501,"Congressional District 1 (118th Congress), South Carolina",12,45 to 54 years,"85,875","+/-3,578",11.5,+/-0.5
DP05,5001800US4501,"Congressional District 1 (118th Congress), South Carolina",13,55 to 59 years,"48,030","+/-3,706",6.4,+/-0.5
DP05,5001800US4501,"Congressional District 1 (118th Congress), South Carolina",14,60 to 64 years,"52,262","+/-3,402",7.0,+/-0.5
DP05,5001800US4501,"Congressional District 1 (118th Congress), South Carolina",15,65 to 74 years,"93,979","+/-2,772",12.6,+/-0.4
