TBLID,GEOID,GEONAME,PROFLN,TITLE,PRF_ESTIMATE,PRF_MG_ERROR,PCT_ESTIMATE,PCT_MG_ERROR
DP05,5001800US5501,"Congressional District 1 (118th Congress), Wisconsin",0,ACS DEMOGRAPHIC AND HOUSING ESTIMATES,,,,
DP05,5001800US5501,"Congressional District 1 (118th Congress), Wisconsin",0.5,,,,,
DP05,5001800US5501,"Congressional District 1 (118th Congress), Wisconsin",0.8,SEX AND AGE,,,,
DP05,5001800US5501,"Congressional District 1 (118th Congress), Wisconsin",1,Total population,"732,414","+/-5,179","732,414",(X)
DP05,5001800US5501,"Congressional District 1 (118th Congress), Wisconsin",2,Male,"365,355","+/-3,574",49.9,+/-0.4
DP05,5001800US5501,"Congressional District 1 (118th Congress), Wisconsin",3,Female,"367,059","+/-3,892",50.1,+/-0.4
DP05,5001800US5501,"Congressional District 1 (118th Congress), Wisconsin",4,Sex ratio (males per 100 females),99.5,+/-1.5,(X),(X)
DP05,5001800US5501,"Congressional District 1 (118th Congress), Wisconsin",4.3,,,,,
DP05,5001800US5501,"Congressional District 1 (118th Congress), Wisconsin",5,Under 5 years,"38,095","+/-2,128",5.2,+/-0.3
DP05,5001800US5501,"Congressional District 1 (118th Congress), Wisconsin",6,5 to 9 years,"40,245","+/-2,990",5.5,+/-0.4
DP05,5001800US5501,"Congressional District 1 (118th Congress), Wisconsin",7,10 to 14 years,"49,806","+/-3,140",6.8,+/-0.4
DP05,5001800US5501,"Congressional District 1 (118th Congress), Wisconsin",8,15 to 19 years,"48,310","+/-2,256",6.6,+/-0.3
DP05,5001800US5501,"Congressional District 1 (118th Congress), Wisconsin",9,20 to 24 years,"45,662","+/-2,396",6.2,+/-0.3
DP05,5001800US5501,"Congressional District 1 (118th Congress), Wisconsin",10,25 to 34 years,"91,171","+/-3,055",12.4,+/-0.4
DP05,5001800US5501,"Congressional District 1 (118th Congress), Wisconsin",11,35 to 44 years,"93,492","+/-2,890",12.8,+/-0.4
DP05,5001800US5501,"Congressional District 1 (118th Congress), Wisconsin",12,45 to 54 years,"91,531","+/-3,085",12.5,+/-0.4
DP05,5001800US5501,"Congressional District 1 (118th Congress), Wisconsin",13,55 to 59 years,"53,297","+/-3,125",7.3,+/-0.4
DP05,5001800US5501,"Congressional District 1 (118th Congress), Wisconsin",14,60 to 64 years,"54,931","+/-2,928",7.5,+/-0.4
DP05,5001800US5501,"Congressional District 1 (118th Congress), Wisconsin",15,65 to 74 years,"77,512","+/-2,678",10.6,+/-0.4
DP05,5001800US5501,"Congressional District 1 (118th Congress), Wisconsin",16,75 to 84 years,"33,910","+/-1,912",4.6,+/-0.3
DP05,5001800US5501,"Congressional District 1 (118th Congress), Wisconsin",17,85 years and over,"14,452","+/-1,822",2.0,+/-0.2
DP05,5001800US5501,"Congressional District 1 (118th Congress), Wisconsin",17.3,,,,,
DP05,5001800US5501,"Congressional District 1 (118th Congress), Wisconsin",18,Median age (years),40.7,+/-0.5,(X),(X)
DP05,5001800US5501,"Congressional District 1 (118th Congress), Wisconsin",18.3,,,,,
DP05,5001800US5501,"Congressional District 1 (118th Congress), Wisconsin",19,Under 18 years,"158,171","+/-3,947",21.6,+/-0.5
DP05,5001800US5501,"Congressional District 1 (118th Congress), Wisconsin",20,16 years and over,"594,358","+/-4,569",81.2,+/-0.5
DP05,5001800US5501,"Congressional District 1 (118th Congress), Wisconsin",21,18 years and over,"574,243","+/-4,487",78.4,+/-0.5
DP05,5001800US5501,"Congressional District 1 (118th Congress), Wisconsin",22,21 years and over,"547,421","+/-4,737",74.7,+/-0.5
DP05,5001800US5501,"Congressional District 1 (118th Congress), Wisconsin",23,62 years and over,"156,621","+/-3,649",21.4,+/-0.5
DP05,5001800US5501,"Congressional District 1 (118th Congress), Wisconsin",24,65 years and over,"125,874","+/-2,927",17.2,+/-0.4
DP05,5001800US5501,"Congressional District 1 (118th Congress), Wisconsin",24.3,,,,,
DP05,5001800US5501,"Congressional District 1 (118th Congress), Wisconsin",25,18 years and over,"574,243","+/-4,487","574,243",(X)
DP05,5001800US5501,"Congressional District 1 (118th Congress), Wisconsin",26,Male,"284,886","+/-2,802",49.6,+/-0.4
DP05,5001800US5501,"Congressional District 1 (118th Congress), Wisconsin",27,Female,"289,357","+/-3,495",50.4,+/-0.4
DP05,5001800US5501,"Congressional District 1 (118th Congress), Wisconsin",28,Sex ratio (males per 100 females),98.5,+/-1.5,(X),(X)
DP05,5001800US5501,"Congressional District 1 (118th Congress), Wisconsin",28.3,,,,,
DP05,5001800US5501,"Congressional District 1 (118th Congress), Wisconsin",29,65 years and over,"125,874","+/-2,927","125,874",(X)
DP05,5001800US5501,"Congressional District 1 (118th Congress), Wisconsin",30,Male,"57,879","+/-1,674",46.0,+/-0.9
DP05,5001800US5501,"Congressional District 1 (118th Congress), Wisconsin",31,Female,"67,995","+/-1,999",54.0,+/-0.9
DP05,5001800US5501,"Congressional District 1 (118th Congress), Wisconsin",32,Sex ratio (males per 100 females),85.1,+/-3.0,(X),(X)
DP05,5001800US5501,"Congressional District 1 (118th Congress), Wisconsin",32.3,,,,,
DP05,5001800US5501,"Congressional District 1 (118th Congress), Wisconsin",32.5,RACE,,,,
DP05,5001800US5501,"Congressional District 1 (118th Congress), Wisconsin",33,Total population,"732,414","+/-5,179","732,414",(X)
DP05,5001800US5501,"Congressional District 1 (118th Congress), Wisconsin",34,One race,"650,522","+/-7,121",88.8,+/-0.9
DP05,5001800US5501,"Congressional District 1 (118th Congress), Wisconsin",35,Two or more races,"81,892","+/-6,395",11.2,+/-0.9
DP05,5001800US5501,"Congressional District 1 (118th Congress), Wisconsin",35.3,,,,,
DP05,5001800US5501,"Congressional District 1 (118th Congress), Wisconsin",36,One race,"650,522","+/-7,121",88.8,+/-0.9
DP05,5001800US5501,"Congressional District 1 (118th Congress), Wisconsin",37,White,"564,053","+/-7,229",77.0,+/-0.8
DP05,5001800US5501,"Congressional District 1 (118th Congress), Wisconsin",38,Black or African American,"42,816","+/-3,046",5.8,+/-0.4
DP05,5001800US5501,"Congressional District 1 (118th Congress), Wisconsin",39,American Indian and Alaska Native,"5,428","+/-2,239",0.7,+/-0.3
DP05,5001800US5501,"Congressional District 1 (118th Congress), Wisconsin",40,Cherokee tribal grouping,(X),(X),(X),(X)
DP05,5001800US5501,"Congressional District 1 (118th Congress), Wisconsin",41,Chippewa tribal grouping,(X),(X),(X),(X)
DP05,5001800US5501,"Congressional District 1 (118th Congress), Wisconsin",42,Navajo tribal grouping,(X),(X),(X),(X)
DP05,5001800US5501,"Congressional District 1 (118th Congress), Wisconsin",43,Sioux tribal grouping,(X),(X),(X),(X)
DP05,5001800US5501,"Congressional District 1 (118th Congress), Wisconsin",44,Asian,"13,829","+/-2,716",1.9,+/-0.4
DP05,5001800US5501,"Congressional District 1 (118th Congress), Wisconsin",45,Asian Indian,"4,970","+/-2,037",0.7,+/-0.3
DP05,5001800US5501,"Congressional District 1 (118th Congress), Wisconsin",46,Chinese,"1,306",+/-778,0.2,+/-0.1
DP05,5001800US5501,"Congressional District 1 (118th Congress), Wisconsin",47,Filipino,"3,071","+/-1,544",0.4,+/-0.2
DP05,5001800US5501,"Congressional District 1 (118th Congress), Wisconsin",48,Japanese,462,+/-276,0.1,+/-0.1
DP05,5001800US5501,"Congressional District 1 (118th Congress), Wisconsin",49,Korean,748,+/-585,0.1,+/-0.1
DP05,5001800US5501,"Congressional District 1 (118th Congress), Wisconsin",50,Vietnamese,169,+/-163,0.0,+/-0.1
DP05,5001800US5501,"Congressional District 1 (118th Congress), Wisconsin",51,Other Asian,"3,103","+/-1,700",0.4,+/-0.2
DP05,5001800US5501,"Congressional District 1 (118th Congress), Wisconsin",52,Native Hawaiian and Other Pacific Islander,0,+/-157,0.0,+/-0.1
DP05,5001800US5501,"Congressional District 1 (118th Congress), Wisconsin",53,Native Hawaiian,N,N,N,N
DP05,5001800US5501,"Congressional District 1 (118th Congress), Wisconsin",54,Chamorro,N,N,N,N
DP05,5001800US5501,"Congressional District 1 (118th Congress), Wisconsin",55,Samoan,N,N,N,N
