District,First_Name,Last_Name,Party,PVI,Raw PVI,Rank
AL-01,Bradley,Byrne,R,R+16,R+15.72,359
AL-02,Martha,Roby,R,R+17,R+16.88,368
AL-03,Mike,Rogers,R,R+17,R+17.32,372
AL-04,Robert,Aderholt,R,R+32,R+31.9,433
AL-05,Mo,Brooks,R,R+18,R+18.02,377
AL-06,Gary,Palmer,R,R+25,R+24.82,417
AL-07,Terri,Sewell,D,D+20,D+20.17,68
AK-AL,Don,Young,R,R+9,R+9.44,297
AZ-01,Tom,O'Halleran,D,R+2,R+2.07,213
AZ-02,Ann,Kirkpatrick,D,EVEN,D+0.42,195
AZ-03,Raúl,Grijalva,D,D+14,D+13.6,101
AZ-04,Paul,Gosar,R,R+22,R+21.74,408
AZ-05,Andy,Biggs,R,R+13,R+13.45,338
AZ-06,David,Schweikert,R,R+8,R+7.9,271
AZ-07,Ruben,Gallego,D,D+24,D+23.93,53
AZ-08,Debbie,Lesko,R,R+13,R+12.81,327
AZ-09,Greg,Stanton,D,D+6,D+5.79,162
AR-01,Rick,Crawford,R,R+18,R+18.21,379
AR-02,French,Hill,R,R+7,R+7.11,259
AR-03,Steve,Womack,R,R+18,R+18.44,380
AR-04,Bruce,Westerman,R,R+18,R+17.54,373
CA-01,Doug,LaMalfa,R,R+11,R+11.37,315
CA-02,Jared,Huffman,D,D+23,D+22.7,58
CA-03,John,Garamendi,D,D+5,D+5.17,168
CA-04,Tom,McClintock,R,R+10,R+9.61,300
CA-05,Mike,Thompson,D,D+22,D+22.12,61
CA-06,Doris,Matsui,D,D+22,D+21.85,62
CA-07,Ami,Bera,D,D+4,D+3.79,174
CA-08,Paul,Cook,R,R+9,R+9.13,292
CA-09,Jerry,McNerney,D,D+8,D+8.3,138
CA-10,Josh,Harder,D,EVEN,D+0.33,197
CA-11,Mark,DeSaulnier,D,D+23,D+22.95,57
CA-12,Nancy,Pelosi,D,D+39,D+38.58,5
CA-13,Barbara,Lee,D,D+41,D+40.93,4
CA-14,Jackie,Speier,D,D+28,D+28.29,33
CA-15,Eric,Swalwell,D,D+22,D+21.78,63
CA-16,Jim,Costa,D,D+10,D+9.71,128
CA-17,Ro,Khanna,D,D+26,D+25.85,42
CA-18,Anna,Eshoo,D,D+25,D+25.03,46
CA-19,Zoe,Lofgren,D,D+25,D+24.81,48
CA-20,Jimmy,Panetta,D,D+23,D+23.32,55
CA-21,TJ,Cox,D,D+6,D+6.24,160
CA-22,Devin,Nunes,R,R+7,R+7,258
CA-23,Kevin,McCarthy,R,R+13,R+13.36,337
CA-24,Salud,Carbajal,D,D+8,D+8.22,139
CA-25,Katie,Hill,D,D+1,D+1.11,190
CA-26,Julia,Brownley,D,D+9,D+8.71,135
CA-27,Judy,Chu,D,D+17,D+17.17,85
CA-28,Adam,Schiff,D,D+24,D+24.09,52
CA-29,Tony,Cárdenas,D,D+30,D+30.09,26
CA-30,Brad,Sherman,D,D+20,D+20.11,69
CA-31,Pete,Aguilar,D,D+9,D+9.18,130
CA-32,Grace,Napolitano,D,D+18,D+18.33,78
CA-33,Ted,Lieu,D,D+18,D+18.17,79
CA-34,Jimmy,Gomez,D,D+37,D+36.51,10
CA-35,Norma,Torres,D,D+20,D+19.53,71
CA-36,Raul,Ruiz,D,D+3,D+2.51,180
CA-37,Karen,Bass,D,D+38,D+37.84,8
CA-38,Linda,Sánchez,D,D+18,D+18.47,76
CA-39,Gil,Cisneros,D,D+2,D+1.63,184
CA-40,Lucille,Roybal-Allard,D,D+34,D+34.36,16
CA-41,Mark,Takano,D,D+13,D+13,104
CA-42,Ken,Calvert,R,R+8,R+7.99,273
CA-43,Maxine,Waters,D,D+30,D+30.41,25
CA-44,Nanette,Barragán,D,D+36,D+35.56,13
CA-45,Katie,Porter,D,R+1,R+0.66,203
CA-46,Lou,Correa,D,D+17,D+17.19,84
CA-47,Alan,Lowenthal,D,D+14,D+14.21,98
CA-48,Harley,Rouda,D,R+2,R+2.14,215
CA-49,Mike,Levin,D,D+1,D+0.82,193
CA-50,Duncan D.,Hunter,R,R+10,R+10.22,309
CA-51,Juan,Vargas,D,D+23,D+23.27,56
CA-52,Scott,Peters,D,D+9,D+8.53,136
CA-53,Susan,Davis,D,D+16,D+15.79,90
CO-01,Diana,DeGette,D,D+22,D+22.42,60
CO-02,Joe,Neguse,D,D+10,D+9.78,127
CO-03,Scott,Tipton,R,R+7,R+6.95,256
CO-04,Ken,Buck,R,R+13,R+13.26,333
CO-05,Doug,Lamborn,R,R+14,R+13.93,342
CO-06,Jason,Crow,D,D+3,D+2.98,177
CO-07,Ed,Perlmutter,D,D+6,D+5.54,164
CT-01,John B.,Larson,D,D+11,D+11.22,114
CT-02,Joe,Courtney,D,D+2,D+1.51,186
CT-03,Rosa,DeLauro,D,D+8,D+8.03,140
CT-04,Jim,Himes,D,D+9,D+9.05,132
CT-05,Jahana,Hayes,D,D+1,D+1.32,188
DE-AL,Lisa,Blunt Rochester,D,D+6,D+5.53,165
FL-01,Matt,Gaetz,R,R+22,R+21.61,405
FL-02,Neal,Dunn,R,R+19,R+19.05,388
